"Popolazione per età, vista per singola area - Provincia: Parma"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Parma"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;3281;3306;3356;3682;3724;3756;3974;4069;4179;4178;3887;3897;3853;3783;3736;3693;3528;3418
1;3172;3316;3350;3425;3667;3761;3818;4040;4042;4169;4143;3920;3911;3868;3827;3758;3721;3559
2;3193;3233;3350;3382;3465;3666;3800;3870;4055;4042;4192;4191;3985;3922;3913;3843;3779;3757
3;2935;3225;3313;3402;3435;3491;3674;3863;3883;4094;4039;4240;4219;3990;3948;3937;3858;3826
4;2992;3000;3259;3359;3429;3454;3534;3700;3870;3872;4086;4102;4250;4239;4004;3947;3914;3909
5;2876;3055;3056;3287;3390;3444;3488;3609;3729;3905;3906;4129;4122;4274;4274;4017;3971;3945
6;2921;2922;3123;3107;3329;3432;3468;3540;3623;3737;3923;3967;4146;4156;4305;4287;4012;4011
7;2749;2976;2953;3193;3165;3356;3499;3548;3566;3666;3758;3965;3996;4153;4198;4311;4305;4047
8;2852;2789;3025;3022;3258;3222;3428;3591;3584;3593;3677;3780;4022;3983;4205;4186;4338;4326
9;2952;2892;2828;3077;3088;3332;3301;3487;3632;3604;3617;3699;3814;4041;4024;4230;4194;4350
10;3048;2993;2948;2901;3153;3147;3409;3392;3537;3688;3641;3669;3730;3846;4072;4021;4238;4202
11;3087;3113;3035;3013;2968;3213;3194;3543;3455;3609;3727;3670;3708;3766;3888;4086;4055;4269
12;2946;3120;3162;3102;3078;3014;3273;3286;3590;3494;3652;3761;3711;3719;3823;3896;4107;4074
13;2995;2979;3147;3222;3178;3117;3094;3361;3339;3643;3544;3707;3806;3733;3756;3842;3927;4126
14;2777;3035;2995;3190;3276;3242;3185;3194;3451;3385;3703;3581;3751;3840;3785;3769;3865;3964
15;2875;2805;3059;3028;3250;3321;3303;3279;3273;3497;3438;3738;3636;3795;3858;3802;3798;3885
16;3020;2900;2840;3107;3105;3289;3388;3428;3367;3318;3556;3487;3781;3670;3845;3896;3828;3832
