"Popolazione per età, vista per singola area - Provincia: Pavia"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Pavia"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;3814;3846;3965;4072;4349;4504;4549;4829;4824;4553;4516;4562;4346;4154;4193;3950;3790;3697
1;3748;3892;3907;4059;4147;4475;4601;4655;4889;4815;4560;4531;4539;4336;4158;4210;3946;3850
2;3740;3823;3990;4004;4126;4258;4578;4656;4737;4897;4809;4595;4537;4525;4325;4144;4208;3985
3;3724;3808;3867;4048;4091;4223;4381;4672;4704;4718;4899;4807;4611;4545;4493;4282;4141;4231
4;3734;3798;3878;3977;4126;4150;4311;4482;4687;4661;4731;4945;4799;4610;4524;4500;4283;4165
5;3675;3769;3848;3920;4074;4215;4256;4412;4519;4679;4654;4739;4905;4810;4613;4525;4485;4339
6;3558;3732;3818;3938;4030;4155;4348;4361;4459;4559;4695;4687;4729;4896;4796;4592;4472;4496
7;3627;3609;3779;3903;4033;4107;4270;4416;4409;4487;4570;4730;4692;4704;4854;4792;4599;4504
8;3665;3682;3641;3841;3991;4110;4221;4354;4456;4429;4513;4627;4701;4715;4707;4854;4764;4656
9;3736;3710;3724;3730;3902;4071;4213;4323;4416;4459;4463;4514;4638;4692;4699;4703;4850;4812
10;3804;3785;3767;3809;3792;3989;4190;4312;4343;4462;4513;4500;4508;4639;4713;4693;4695;4887
11;3911;3879;3832;3861;3874;3872;4082;4285;4356;4379;4503;4534;4493;4531;4640;4672;4694;4708
12;3765;3943;3916;3904;3951;3954;3970;4167;4340;4407;4428;4514;4574;4493;4525;4634;4678;4728
13;3774;3798;3982;3960;3949;4023;4048;4071;4198;4367;4454;4444;4537;4564;4513;4526;4634;4702
14;3642;3815;3865;4045;4030;4024;4136;4099;4131;4224;4420;4483;4461;4555;4567;4511;4528;4654
15;3604;3686;3843;3924;4117;4087;4120;4228;4137;4184;4246;4424;4467;4472;4594;4569;4515;4530
16;3863;3630;3722;3875;3985;4172;4160;4210;4278;4185;4231;4299;4413;4491;4489;4616;4599;4521
17;3810;3865;3643;3778;3928;4050;4254;4245;4255;4296;4245;4301;4291;4444;4533;4499;4625;4640
