"Popolazione per età, vista per singola area - Provincia: Perugia"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Perugia"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;4955;5409;5470;5725;5914;5938;6048;6285;6059;5931;5878;5801;5592;5306;5018;4881;4660;4349
1;4995;5057;5428;5541;5724;5932;6021;6088;6302;6085;5930;5882;5787;5552;5310;5013;4883;4638
2;4906;5058;5163;5423;5564;5727;5990;6056;6113;6314;6056;5948;5889;5724;5524;5292;5000;4892
3;4844;4964;5174;5224;5493;5599;5742;6045;6083;6132;6301;6082;5929;5841;5721;5479;5237;4997
4;4815;4892;5056;5232;5305;5500;5660;5782;6062;6099;6139;6332;6053;5902;5824;5720;5446;5234
5;4923;4884;4985;5121;5336;5382;5566;5741;5806;6101;6107;6148;6323;6033;5880;5815;5697;5428
6;4864;4997;4950;5052;5226;5424;5488;5609;5758;5828;6125;6108;6130;6323;5983;5852;5789;5710
7;4819;4954;5062;4991;5164;5285;5544;5563;5677;5783;5816;6116;6121;6116;6292;5951;5825;5790
8;5106;4914;5038;5112;5117;5219;5382;5610;5631;5708;5807;5831;6100;6090;6105;6277;5924;5813
9;5363;5179;5017;5132;5221;5178;5343;5463;5682;5670;5727;5841;5845;6067;6068;6096;6226;5929
10;5204;5455;5235;5069;5227;5271;5304;5425;5528;5728;5702;5766;5845;5839;6076;6050;6074;6216
11;5323;5267;5521;5330;5151;5294;5421;5410;5498;5580;5784;5744;5772;5812;5843;6060;6029;6070
12;5399;5363;5303;5591;5439;5225;5399;5484;5480;5544;5624;5820;5748;5740;5815;5829;6038;6034
13;5538;5438;5401;5392;5706;5501;5333;5490;5561;5529;5573;5644;5810;5740;5733;5803;5803;6017
14;5153;5593;5485;5453;5489;5802;5605;5423;5571;5615;5582;5611;5631;5819;5736;5717;5796;5817
15;5338;5173;5613;5557;5528;5536;5883;5691;5502;5626;5644;5598;5609;5627;5810;5724;5715;5785
16;5648;5335;5207;5697;5640;5568;5623;5961;5765;5562;5682;5653;5600;5600;5642;5787;5697;5718
17;5564;5659;5370;5258;5783;5711;5655;5722;6028;5814;5602;5694;5649;5600;5632;5635;5788;5706
18;6146;5622;5722;5529;5414;5866;5857;5773;5825;6145;5905;5640;5734;5657;5623;5659;5653;5816
19;5968;6192;5726;5788;5616;5521;6057;6025;5931;5968;6252;5984;5682;5758;5705;5694;5779;5751
20;6318;6044;6357;5833;5913;5677;5770;6295;6205;6092;6076;6306;6020;5714;5783;5753;5809;5868
21;6451;6386;6223;6535;5968;6003;5929;6036;6460;6398;6234;6178;6347;6027;5771;5856;5861;5863
22;6658;6556;6596;6389;6654;6119;6297;6211;6258;6661;6504;6344;6237;6352;6078;5807;5943;5927
23;7125;6786;6832;6787;6487;6762;6403;6584;6441;6465;6811;6613;6413;6267;6395;6118;5868;5968
24;7346;7208;7115;7054;6909;6575;7042;6695;6778;6640;6587;6924;6718;6405;6274;6436;6161;5901
25;7843;7521;7512;7385;7162;7014;6878;7367;6854;6986;6734;6704;7003;6679;6423;6300;6508;6197
26;8329;8013;7894;7770;7532;7294;7342;7182;7530;7063;7037;6885;6816;6985;6694;6463;6314;6541
27;8635;8467;8399;8112;7933;7659;7623;7627;7323;7696;7161;7163;6910;6786;6996;6680;6527;6343
28;8702;8837;8831;8630;8312;8038;7938;7888;7735;7476;7746;7299;7204;6853;6793;7059;6743;6554
29;8732;8874;9198;9097;8770;8428;8361;8134;7972;7803;7516;7854;7329;7176;6832;6804;7062;6788
30;8865;8920;9222;9500;9296;8897;8726;8607;8237;8075;7849;7599;7905;7287;7183;6870;6800;7130
31;8773;9021;9239;9477;9691;9403;9160;8922;8699;8382;8060;7947;7617;7864;7315;7209;6904;6848
32;9164;8910;9326;9375;9631;9744;9609;9374;9002;8753;8346;8093;7942;7591;7855;7313;7178;6919
33;8986;9276;9177;9439;9488;9633;9929;9710;9379;9038;8714;8415;8109;7896;7602;7848;7306;7180
34;8988;9152;9522;9317;9537;9507;9814;10103;9749;9418;8992;8744;8397;8082;7883;7631;7858;7334
35;9291;9109;9414;9629;9402;9573;9716;9921;10167;9769;9386;9061;8744;8331;8060;7916;7616;7865
36;9642;9427;9371;9567;9721;9475;9813;9868;10009;10214;9802;9414;9045;8697;8314;8046;7907;7641
37;9754;9730;9638;9569;9681;9753;9674;9913;9944;10078;10242;9850;9451;9010;8720;8323;8016;7917
38;9083;9852;9911;9778;9648;9707;9971;9811;10005;10002;10087;10292;9843;9412;9027;8698;8287;8055
39;8950;9178;10046;10048;9887;9664;9887;10109;9898;10084;10039;10133;10278;9852;9401;9012;8663;8303
40;9038;9001;9382;10170;10117;9919;9860;10012;10185;9911;10055;10082;10135;10255;9824;9391;9013;8696
41;9016;9091;9171;9492;10256;10181;10039;9995;10131;10236;9921;10096;10078;10086;10248;9813;9371;9051
42;8666;9087;9275;9283;9597;10316;10327;10100;10075;10183;10236;9976;10073;10018;10043;10219;9792;9352
43;8104;8715;9275;9415;9373;9639;10466;10427;10163;10135;10225;10280;9984;10049;9972;10058;10193;9775
44;7993;8153;8874;9356;9485;9412;9776;10563;10477;10195;10162;10283;10265;9992;10070;9988;10057;10187
45;8239;8079;8306;8953;9396;9498;9541;9862;10643;10555;10220;10206;10300;10250;9994;10042;9990;10084
