"Popolazione per età, vista per singola area - Provincia: Pesaro e Urbino"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Pesaro e Urbino"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;2898;3039;3095;3106;3310;3312;3370;3536;3467;3351;3462;3179;3081;2914;2830;2696;2537;2371
1;2923;2947;3073;3114;3141;3340;3399;3412;3532;3442;3356;3447;3163;3096;2891;2842;2696;2536
2;2860;2978;3017;3108;3164;3182;3405;3440;3402;3520;3410;3367;3434;3164;3072;2900;2863;2721
3;2808;2877;2990;3052;3161;3197;3255;3443;3444;3378;3499;3394;3336;3428;3138;3052;2918;2875
4;2783;2868;2925;3027;3116;3198;3261;3303;3462;3432;3372;3493;3357;3324;3430;3115;3067;2920
5;2784;2843;2922;2980;3093;3163;3267;3318;3313;3449;3415;3368;3479;3351;3297;3409;3095;3055
6;2841;2819;2901;2946;3042;3146;3217;3314;3311;3321;3447;3410;3364;3459;3348;3289;3384;3115
7;2752;2888;2853;2943;3004;3080;3220;3259;3327;3309;3323;3444;3410;3331;3471;3335;3284;3363
8;2752;2789;2936;2883;2991;3052;3151;3296;3267;3310;3320;3335;3437;3402;3332;3443;3345;3298
9;2951;2806;2833;2969;2942;3028;3128;3199;3337;3266;3322;3331;3310;3430;3392;3318;3445;3345
10;2976;3000;2852;2876;3012;3009;3099;3187;3219;3356;3278;3341;3319;3321;3426;3382;3328;3443
11;2987;3010;3048;2887;2922;3063;3090;3162;3200;3219;3405;3280;3323;3316;3311;3423;3377;3320
12;2998;3025;3051;3076;2919;2956;3149;3158;3200;3199;3232;3407;3266;3306;3328;3298;3400;3374
13;2969;3033;3041;3100;3130;2964;3033;3201;3196;3190;3208;3243;3401;3272;3296;3320;3299;3406
14;2944;3014;3076;3081;3132;3164;3031;3122;3235;3212;3208;3226;3239;3401;3267;3287;3339;3306
15;2929;2963;3073;3109;3116;3161;3221;3072;3154;3256;3212;3207;3219;3216;3397;3272;3275;3329
16;2988;2956;2996;3104;3148;3149;3232;3275;3111;3169;3266;3220;3196;3193;3217;3407;3283;3297
17;2955;3015;2986;3033;3153;3194;3222;3305;3334;3122;3185;3265;3217;3181;3181;3208;3436;3292
18;3265;3004;3059;3064;3099;3206;3293;3315;3374;3372;3167;3201;3256;3211;3199;3221;3295;3482
19;3365;3317;3058;3125;3130;3162;3353;3397;3390;3431;3420;3194;3228;3252;3209;3256;3352;3351
20;3446;3438;3387;3124;3184;3182;3298;3480;3467;3409;3471;3450;3183;3228;3241;3240;3332;3380
21;3521;3488;3518;3458;3194;3251;3362;3418;3541;3513;3427;3480;3453;3169;3238;3268;3318;3372
22;3660;3578;3622;3612;3510;3290;3399;3514;3460;3551;3532;3457;3479;3430;3170;3252;3329;3331
23;4073;3731;3698;3701;3685;3579;3493;3598;3582;3498;3589;3566;3468;3481;3434;3220;3324;3376
24;4259;4180;3894;3801;3784;3761;3774;3646;3634;3609;3541;3613;3584;3467;3487;3456;3242;3337
25;4512;4391;4376;3993;3883;3875;3949;3932;3688;3657;3635;3562;3629;3583;3469;3519;3500;3282
26;4795;4627;4579;4540;4048;3934;4038;4100;4022;3722;3676;3656;3589;3664;3596;3522;3542;3504
27;4961;4882;4819;4693;4630;4124;4180;4193;4131;4065;3753;3701;3646;3592;3641;3609;3579;3536
28;5068;5076;5060;5017;4823;4665;4356;4325;4249;4130;4064;3756;3697;3637;3603;3666;3611;3527
29;5015;5191;5312;5160;5164;4889;4857;4556;4321;4259;4148;4098;3756;3712;3625;3630;3699;3616
30;5367;5105;5409;5430;5262;5238;5113;5063;4542;4337;4265;4169;4089;3728;3689;3637;3670;3708
31;5178;5464;5269;5476;5522;5307;5435;5235;5100;4553;4320;4234;4165;4103;3715;3704;3646;3658
32;5493;5259;5591;5339;5496;5567;5531;5590;5228;5127;4511;4303;4227;4186;4074;3724;3728;3666
33;5263;5555;5347;5594;5405;5524;5783;5657;5564;5204;5057;4521;4322;4238;4165;4098;3735;3738
34;5414;5354;5647;5398;5646;5435;5724;5899;5599;5526;5169;5029;4527;4323;4208;4175;4084;3731
35;5418;5503;5499;5724;5454;5684;5600;5831;5847;5561;5475;5185;5020;4516;4318;4216;4204;4096
36;5433;5509;5632;5575;5806;5524;5841;5741;5855;5823;5549;5490;5184;5004;4494;4329;4240;4203
37;5590;5492;5626;5711;5659;5851;5662;5956;5737;5849;5809;5556;5460;5179;5006;4491;4336;4245
38;5377;5682;5596;5699;5780;5656;5989;5766;5996;5736;5813;5811;5527;5448;5155;4991;4493;4340
39;5058;5431;5779;5647;5765;5817;5800;6032;5784;5980;5727;5791;5780;5529;5431;5174;4989;4486
40;5104;5098;5543;5837;5684;5790;5962;5898;6051;5786;5938;5710;5752;5757;5472;5428;5185;5022
41;4928;5148;5184;5597;5850;5715;5901;6038;5926;6047;5747;5956;5686;5750;5748;5480;5454;5171
42;4828;4966;5261;5245;5661;5877;5804;6002;6049;5960;6032;5728;5936;5687;5754;5734;5481;5427
43;4617;4851;5070;5325;5299;5654;5980;5886;6020;6045;5915;5992;5720;5920;5673;5742;5743;5488
44;4469;4667;4927;5097;5361;5322;5724;6033;5914;6014;6023;5900;5985;5714;5895;5649;5729;5743
45;4493;4496;4759;4962;5112;5382;5405;5794;6039;5911;5998;6025;5880;5981;5685;5880;5636;5749
46;4221;4517;4588;4773;4965;5150;5460;5448;5747;6051;5908;5987;6018;5847;5936;5661;5873;5635
47;4141;4262;4599;4614;4771;4982;5265;5480;5443;5740;6026;5914;5975;6005;5832;5927;5666;5882
48;4151;4173;4325;4622;4641;4781;5083;5328;5492;5439;5735;6026;5885;5927;5984;5821;5945;5646
49;4074;4178;4244;4340;4599;4646;4868;5140;5332;5495;5452;5740;6024;5857;5921;5955;5803;5938
50;4234;4084;4254;4260;4360;4600;4729;4914;5160;5336;5476;5433;5715;6004;5833;5900;5946;5807
51;4502;4243;4131;4264;4263;4363;4650;4760;4923;5165;5309;5471;5421;5690;5960;5820;5905;5940
52;4504;4497;4298;4148;4260;4270;4399;4680;4756;4938;5152;5302;5430;5392;5666;5935;5810;5890
53;4541;4493;4540;4302;4159;4252;4304;4435;4689;4757;4931;5134;5290;5402;5366;5679;5909;5794
54;4305;4561;4547;4563;4298;4134;4304;4327;4455;4693;4762;4927;5110;5277;5395;5353;5667;5914
55;4671;4316;4589;4520;4572;4273;4169;4308;4339;4449;4687;4742;4924;5084;5244;5409;5362;5672
56;3695;4664;4344;4611;4501;4560;4299;4197;4308;4346;4433;4663;4711;4902;5064;5226;5396;5361
57;3877;3696;4699;4347;4613;4507;4571;4307;4177;4299;4335;4444;4653;4688;4846;5050;5210;5396
58;3951;3865;3690;4721;4363;4616;4527;4594;4305;4164;4267;4324;4439;4646;4666;4819;5057;5210
59;3713;3946;3879;3699;4722;4381;4644;4526;4596;4305;4161;4243;4310;4422;4612;4651;4825;5029
60;3771;3688;3939;3885;3708;4729;4400;4656;4518;4586;4291;4162;4222;4295;4392;4591;4623;4802
61;4204;3758;3691;3945;3892;3714;4735;4424;4650;4508;4561;4281;4144;4195;4271;4375;4570;4598
62;4250;4200;3753;3684;3936;3891;3714;4740;4423;4630;4489;4538;4274;4132;4174;4263;4375;4565
63;4400;4226;4199;3738;3675;3925;3894;3721;4731;4426;4611;4471;4511;4259;4090;4159;4247;4349
64;3868;4384;4220;4185;3714;3646;3912;3894;3698;4714;4389;4592;4447;4484;4225;4093;4104;4227
65;3781;3860;4363;4209;4153;3686;3640;3901;3872;3688;4686;4372;4551;4431;4452;4197;4049;4095
66;3894;3757;3834;4336;4187;4116;3684;3656;3874;3855;3661;4668;4363;4513;4397;4416;4182;4036
67;3926;3862;3721;3799;4315;4170;4101;3685;3633;3845;3840;3639;4619;4327;4503;4379;4393;4149
68;3814;3901;3818;3702;3777;4286;4147;4078;3655;3607;3811;3816;3595;4570;4282;4458;4346;4360
69;3530;3772;3873;3790;3671;3765;4266;4113;4044;3611;3583;3776;3757;3574;4520;4234;4413;4321
70;3820;3484;3701;3844;3733;3633;3723;4239;4058;3995;3571;3530;3735;3713;3532;4471;4172;4374
71;3772;3763;3432;3656;3787;3676;3593;3677;4186;4006;3928;3535;3490;3703;3646;3481;4426;4138
72;3335;3710;3702;3388;3591;3735;3638;3550;3630;4143;3945;3884;3491;3425;3661;3605;3441;4380
73;3403;3288;3625;3647;3325;3527;3680;3599;3484;3573;4079;3898;3823;3440;3365;3597;3551;3395
74;3491;3326;3220;3561;3567;3271;3463;3627;3532;3393;3499;4021;3840;3764;3374;3292;3543;3494
75;3315;3409;3245;3169;3499;3482;3193;3394;3548;3469;3340;3439;3965;3786;3675;3307;3248;3475
76;3321;3240;3347;3159;3073;3410;3423;3139;3318;3451;3390;3268;3386;3864;3705;3607;3258;3179
77;3056;3236;3159;3267;3089;2977;3322;3351;3056;3236;3356;3318;3200;3307;3783;3636;3530;3180
78;2941;2993;3121;3039;3154;2992;2888;3228;3237;2949;3163;3269;3226;3114;3209;3688;3535;3486
79;2861;2859;2887;3031;2955;3070;2896;2791;3122;3148;2868;3063;3170;3145;3013;3094;3581;3434
80;2819;2754;2720;2764;2920;2839;2976;2802;2693;2988;3025;2759;2946;3055;3048;2897;2966;3469
81;2726;2691;2604;2592;2624;2814;2733;2854;2663;2550;2853;2892;2656;2836;2933;2953;2786;2857
82;1636;2582;2543;2464;2439;2457;2654;2590;2733;2551;2424;2737;2760;2562;2697;2797;2833;2676
83;990;1529;2386;2387;2319;2313;2286;2460;2418;2560;2419;2270;2583;2626;2438;2542;2640;2681
84;1011;925;1395;2218;2228;2164;2138;2143;2294;2240;2368;2253;2109;2419;2463;2290;2390;2507
85;1230;924;855;1280;2053;2055;2001;1990;1998;2134;2069;2204;2100;1977;2230;2293;2135;2233
86;1477;1121;839;786;1176;1891;1880;1814;1849;1858;1965;1914;2052;1946;1810;2087;2117;1969
87;1317;1310;967;752;701;1074;1683;1714;1628;1684;1688;1780;1752;1881;1784;1659;1916;1940
88;1162;1166;1129;887;680;628;988;1515;1511;1431;1497;1500;1585;1595;1690;1599;1504;1706
89;1029;969;974;991;764;599;530;863;1348;1336;1243;1321;1308;1407;1395;1482;1401;1317
90;787;884;810;840;845;648;489;453;736;1186;1177;1066;1137;1160;1240;1214;1279;1233
91;660;644;734;676;699;720;544;413;387;614;1031;972;898;962;977;1049;1037;1109
92;458;544;504;601;547;585;611;450;341;323;529;834;823;758;784;823;895;892
93;318;371;439;401;488;442;458;501;378;269;261;423;667;677;615;657;659;721
94;231;264;277;343;323;401;350;372;409;290;215;204;329;546;544;506;506;536
95;164;180;188;216;249;246;312;275;288;322;225;160;149;245;407;423;377;391
96;105;127;138;147;159;162;186;234;225;225;258;164;130;113;185;300;330;279
97;76;70;93;102;95;112;121;143;165;163;171;181;125;100;81;126;222;243
98;41;54;45;68;69;71;85;75;97;129;118;120;125;95;56;55;88;148
99;44;28;35;28;49;44;44;50;52;71;89;88;78;90;66;32;47;60
100 e oltre;39;59;44;62;52;62;60;63;77;89;106;127;126;141;148;129;97;94
Totale;333721;336760;341485;344761;347759;350162;357069;362578;363902;364199;364117;363950;362931;361969;360203;359369;359033;358143
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Maschi
0;1472;1526;1558;1602;1730;1736;1768;1807;1739;1727;1749;1661;1604;1500;1423;1406;1315;1205
1;1526;1499;1549;1570;1624;1737;1785;1788;1803;1728;1735;1751;1652;1602;1495;1426;1399;1315
2;1488;1559;1532;1566;1587;1649;1774;1800;1782;1803;1704;1734;1745;1652;1586;1510;1429;1411
3;1465;1490;1566;1557;1602;1598;1708;1794;1796;1777;1800;1680;1714;1743;1640;1568;1520;1435
4;1450;1497;1510;1596;1586;1618;1631;1726;1804;1797;1771;1791;1658;1714;1738;1621;1574;1519
5;1448;1478;1520;1543;1626;1598;1655;1661;1733;1787;1785;1765;1786;1668;1696;1726;1613;1576
6;1473;1471;1497;1536;1585;1673;1625;1672;1649;1723;1779;1781;1761;1781;1673;1706;1718;1629
7;1426;1491;1485;1518;1563;1602;1717;1644;1685;1644;1722;1781;1781;1743;1792;1676;1697;1708
8;1391;1448;1521;1498;1540;1572;1631;1751;1657;1680;1664;1732;1776;1769;1745;1783;1679;1697
9;1536;1413;1468;1542;1533;1560;1609;1656;1774;1665;1694;1666;1720;1779;1762;1743;1780;1679
10;1561;1559;1432;1496;1565;1561;1602;1647;1662;1780;1670;1699;1656;1728;1783;1757;1745;1775
11;1493;1576;1573;1454;1520;1593;1604;1639;1648;1669;1804;1660;1695;1647;1729;1785;1762;1738
