"Popolazione per età, vista per singola area - Provincia: Pescara"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Pescara"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;2648;2603;2698;2777;2773;2866;2901;2989;2819;2927;2823;2762;2730;2685;2551;2536;2309;2157
1;2623;2685;2636;2718;2815;2783;2894;2948;2997;2829;2939;2831;2753;2701;2687;2560;2534;2348
2;2608;2654;2729;2642;2768;2836;2834;2921;2955;3007;2840;2954;2840;2747;2693;2701;2546;2529
3;2674;2633;2700;2754;2665;2803;2868;2886;2942;3003;2996;2832;2950;2854;2750;2682;2679;2550
4;2640;2730;2656;2713;2817;2706;2864;2910;2927;2954;3004;3014;2822;2943;2875;2728;2659;2673
5;2604;2672;2762;2680;2743;2831;2751;2910;2939;2917;2957;3024;3035;2842;2932;2883;2696;2671
6;2692;2633;2695;2808;2709;2783;2894;2781;2923;2963;2920;2969;3013;3043;2841;2955;2863;2709
7;2793;2722;2661;2729;2858;2739;2854;2939;2816;2941;2968;2911;2978;3009;3059;2835;2948;2873
8;2891;2825;2755;2680;2771;2862;2773;2883;2958;2840;2959;2979;2906;2978;3003;3061;2832;2944
9;3050;2927;2850;2764;2711;2798;2905;2797;2917;2981;2855;2964;2991;2916;2981;3000;3069;2840
10;3032;3076;2951;2875;2796;2742;2837;2950;2848;2946;3006;2882;2940;2994;2928;2983;2979;3070
11;2966;3062;3107;2984;2905;2828;2791;2878;3005;2858;2961;3007;2874;2948;2996;2926;2972;2964
12;2974;2984;3092;3141;2996;2933;2868;2816;2903;3027;2886;2967;3013;2882;2939;2995;2920;2980
13;2970;2992;3001;3109;3177;3016;2964;2905;2838;2915;3054;2890;2971;3015;2892;2935;2983;2928
14;2952;2977;3019;3026;3129;3199;3073;2988;2934;2865;2934;3062;2899;2981;3018;2919;2936;2997
15;3001;2965;3005;3030;3066;3148;3257;3111;3010;2952;2889;2937;3055;2901;2989;3018;2926;2928
16;3058;3029;2977;3024;3049;3103;3178;3294;3157;3032;2975;2906;2944;3061;2903;2990;3009;2928
