"Popolazione per età, vista per singola area - Provincia: Piacenza"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Piacenza"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;1978;2136;2161;2249;2289;2377;2412;2490;2628;2423;2392;2372;2375;2303;2255;2155;2034;2135
1;2070;2032;2171;2219;2268;2319;2404;2456;2512;2643;2446;2426;2401;2400;2336;2290;2172;2080
2;1959;2094;2092;2195;2264;2298;2357;2447;2464;2513;2632;2468;2436;2400;2379;2350;2305;2201
3;1986;1985;2141;2128;2225;2288;2333;2419;2474;2492;2534;2665;2491;2422;2396;2394;2366;2306
4;1989;2039;2019;2172;2191;2246;2319;2383;2459;2500;2508;2531;2671;2495;2395;2407;2396;2383
5;1930;2039;2079;2046;2233;2229;2275;2363;2416;2464;2517;2509;2516;2658;2482;2390;2433;2423
6;1939;1976;2080;2138;2096;2262;2266;2346;2389;2411;2484;2539;2521;2531;2639;2457;2413;2452
7;1895;1980;2007;2106;2182;2134;2285;2322;2365;2414;2423;2491;2546;2528;2520;2624;2467;2414
8;1925;1930;2012;2066;2170;2225;2191;2338;2334;2378;2436;2444;2487;2545;2531;2513;2616;2487
9;2018;1963;1966;2060;2109;2222;2262;2273;2376;2351;2393;2454;2446;2480;2549;2528;2519;2632
10;2058;2043;1993;2007;2097;2159;2280;2331;2313;2410;2372;2409;2467;2451;2469;2528;2531;2512
11;2066;2095;2091;2036;2063;2144;2185;2338;2364;2331;2454;2385;2415;2476;2443;2467;2530;2544
12;1996;2086;2123;2136;2090;2105;2179;2256;2387;2387;2336;2473;2397;2410;2455;2440;2458;2540
13;1931;2029;2109;2154;2201;2137;2141;2237;2287;2410;2412;2349;2468;2398;2423;2448;2455;2483
14;1860;1947;2067;2160;2203;2236;2176;2217;2276;2317;2438;2437;2371;2480;2382;2441;2464;2471
15;1873;1891;1982;2108;2203;2234;2298;2250;2262;2296;2346;2455;2448;2386;2464;2382;2458;2491
16;1883;1911;1932;2019;2151;2253;2292;2366;2294;2301;2321;2369;2471;2457;2395;2477;2401;2462
17;1972;1915;1959;1977;2073;2213;2320;2369;2397;2347;2329;2328;2382;2490;2457;2412;2477;2447
18;2057;2010;1962;2021;2036;2132;2293;2404;2474;2452;2395;2346;2358;2392;2517;2501;2478;2515
19;2119;2095;2069;2027;2079;2110;2203;2406;2487;2552;2506;2431;2381;2381;2428;2570;2617;2531
20;2119;2167;2177;2131;2070;2133;2226;2304;2484;2535;2597;2548;2462;2399;2425;2459;2663;2657
21;2312;2161;2273;2240;2177;2148;2223;2350;2371;2564;2621;2639;2571;2477;2443;2448;2558;2708
22;2363;2346;2268;2354;2287;2265;2278;2337;2446;2460;2634;2678;2680;2603;2524;2486;2545;2582
23;2634;2441;2467;2369;2428;2358;2406;2418;2429;2533;2553;2694;2748;2701;2649;2581;2570;2596
24;2792;2696;2634;2566;2456;2516;2480;2605;2524;2532;2627;2637;2743;2777;2745;2702;2678;2631
25;3044;2885;2857;2757;2637;2560;2668;2667;2712;2617;2621;2702;2710;2776;2825;2785;2799;2723
26;3280;3145;3085;3028;2859;2725;2700;2833;2765;2838;2714;2701;2767;2705;2820;2864;2882;2888
27;3664;3385;3327;3222;3152;2951;2852;2842;2922;2810;2904;2784;2762;2759;2732;2886;2982;2936
28;3697;3751;3592;3479;3341;3274;3113;3016;2911;3017;2913;2987;2845;2761;2769;2817;3002;3032
29;3733;3774;3984;3753;3617;3463;3423;3214;3114;2997;3103;2979;3034;2849;2794;2863;2883;3019
30;3916;3859;3992;4112;3885;3714;3604;3584;3278;3204;3091;3135;3035;3041;2894;2865;2930;2935
31;4005;3982;4020;4136;4259;3982;3822;3765;3630;3326;3222;3168;3134;3030;3081;2946;2919;2979
32;4044;4052;4100;4102;4176;4263;4076;3935;3733;3647;3334;3281;3156;3135;3026;3131;2966;2983
33;4135;4110;4118;4193;4137;4237;4384;4177;3959;3749;3667;3393;3320;3168;3144;3037;3158;3018
34;4048;4185;4203;4182;4242;4199;4311;4477;4155;3959;3735;3683;3407;3327;3200;3176;3050;3191
35;4301;4147;4318;4291;4223;4318;4281;4411;4462;4183;3958;3760;3697;3396;3354;3224;3201;3064
36;4283;4407;4289;4406;4331;4275;4390;4393;4468;4549;4222;3991;3801;3694;3419;3376;3235;3224
37;4270;4366;4535;4387;4495;4413;4359;4487;4406;4484;4575;4250;4015;3786;3707;3425;3375;3248
38;4118;4316;4467;4597;4408;4555;4515;4438;4531;4445;4508;4593;4262;4011;3784;3722;3424;3385
39;4011;4156;4402;4521;4629;4474;4607;4605;4499;4586;4461;4519;4599;4271;4025;3762;3710;3456
40;4036;4054;4276;4494;4553;4669;4563;4664;4626;4525;4597;4503;4528;4580;4263;4028;3768;3734
41;3840;4067;4134;4360;4550;4583;4741;4621;4708;4666;4533;4604;4534;4538;4564;4263;4016;3786
42;3736;3859;4155;4177;4394;4606;4662;4800;4638;4732;4673;4585;4651;4508;4518;4584;4269;4044
43;3726;3770;3947;4193;4199;4414;4660;4717;4797;4637;4746;4708;4607;4645;4492;4533;4586;4292
44;3606;3775;3831;4003;4223;4242;4477;4724;4721;4834;4671;4763;4726;4590;4627;4493;4537;4605
45;3725;3635;3828;3868;4024;4238;4293;4517;4746;4718;4829;4693;4778;4716;4572;4599;4478;4570
46;3597;3747;3700;3862;3884;4051;4279;4350;4533;4751;4735;4847;4706;4795;4702;4566;4603;4494
47;3439;3626;3807;3732;3894;3915;4094;4342;4350;4532;4761;4754;4844;4699;4770;4684;4558;4614
48;3232;3473;3676;3829;3769;3913;3962;4140;4365;4372;4553;4776;4761;4823;4689;4774;4664;4552
49;3286;3254;3517;3701;3843;3777;3947;3993;4154;4374;4370;4558;4781;4749;4791;4697;4774;4655
50;3199;3292;3285;3541;3718;3845;3815;3991;4013;4152;4384;4382;4567;4765;4753;4776;4687;4768
51;3467;3207;3306;3307;3546;3725;3866;3858;4002;4036;4162;4388;4382;4569;4743;4766;4779;4688
52;3474;3476;3231;3317;3316;3567;3758;3904;3881;4014;4043;4160;4392;4373;4582;4729;4746;4783
53;3588;3495;3501;3246;3308;3331;3605;3778;3909;3895;4015;4054;4162;4387;4351;4577;4729;4746
54;3703;3596;3512;3516;3234;3310;3357;3629;3786;3936;3908;4007;4039;4169;4354;4348;4564;4741
55;3914;3711;3610;3548;3527;3242;3332;3389;3631;3806;3946;3919;4007;4046;4157;4332;4329;4550
56;2959;3930;3735;3626;3539;3529;3239;3356;3371;3639;3813;3956;3903;3995;4031;4149;4328;4296
57;3205;2954;3939;3742;3623;3548;3515;3259;3347;3369;3638;3817;3949;3910;3963;4020;4152;4313
58;3348;3207;2957;3935;3743;3636;3571;3535;3262;3353;3365;3640;3797;3953;3878;3932;3997;4120
59;3489;3350;3210;2942;3943;3732;3650;3580;3517;3272;3352;3364;3635;3774;3927;3867;3913;3970
60;3591;3467;3341;3206;2938;3941;3739;3663;3564;3510;3263;3329;3367;3630;3742;3911;3852;3907
61;3739;3599;3461;3315;3188;2930;3927;3765;3646;3555;3517;3261;3304;3342;3598;3732;3883;3839
62;3830;3722;3585;3455;3285;3176;2922;3910;3772;3628;3545;3503;3265;3291;3334;3584;3709;3845
63;3806;3818;3711;3545;3440;3262;3173;2930;3901;3761;3611;3518;3486;3239;3273;3305;3557;3684
64;3516;3794;3800;3695;3533;3418;3258;3164;2917;3877;3748;3608;3488;3464;3214;3243;3270;3537
65;3345;3486;3777;3777;3674;3511;3401;3265;3146;2890;3848;3721;3572;3451;3439;3186;3209;3242
66;3445;3320;3466;3745;3724;3649;3481;3396;3246;3116;2870;3828;3685;3547;3427;3401;3158;3195
67;3432;3415;3268;3443;3702;3681;3631;3463;3382;3213;3084;2842;3780;3641;3521;3399;3389;3127
68;3297;3391;3366;3255;3397;3675;3619;3632;3445;3343;3180;3050;2814;3736;3589;3504;3388;3352
69;3368;3252;3347;3330;3213;3347;3650;3596;3595;3389;3299;3153;3026;2804;3695;3541;3467;3352
70;3383;3322;3221;3300;3291;3170;3305;3620;3567;3557;3352;3265;3108;2987;2760;3646;3509;3425
71;3476;3344;3286;3156;3249;3255;3112;3264;3559;3509;3508;3299;3227;3067;2949;2723;3583;3463
72;3202;3422;3269;3217;3109;3197;3212;3068;3202;3490;3474;3467;3246;3188;3034;2908;2681;3540
73;3136;3122;3343;3204;3156;3063;3144;3149;2997;3157;3439;3398;3409;3180;3126;2988;2857;2630
74;3175;3063;3041;3278;3142;3086;3004;3092;3087;2937;3106;3373;3345;3343;3124;3070;2918;2813
75;2984;3094;2962;2949;3185;3062;3025;2951;2991;3015;2887;3021;3305;3289;3240;3065;3016;2864
76;2936;2916;3011;2874;2869;3085;2968;2932;2869;2908;2948;2826;2951;3229;3202;3166;2985;2955
77;2798;2841;2816;2904;2764;2783;2992;2884;2843;2786;2837;2866;2733;2876;3145;3140;3090;2908
78;2675;2692;2743;2710;2775;2670;2687;2892;2814;2737;2711;2734;2762;2669;2778;3069;3051;3015
79;2677;2558;2604;2628;2626;2672;2560;2575;2806;2705;2617;2598;2656;2655;2572;2698;2980;2952
80;2384;2558;2417;2470;2502;2543;2552;2445;2472;2694;2589;2522;2509;2536;2559;2470;2606;2865
81;2238;2278;2402;2280;2363;2381;2403;2453;2327;2382;2575;2466;2394;2381;2434;2440;2356;2500
82;1371;2088;2119;2266;2125;2226;2253;2268;2325;2193;2259;2450;2344;2270;2264;2320;2316;2233
83;1061;1275;1952;1975;2120;1994;2082;2109;2134;2174;2081;2131;2340;2219;2130;2119;2197;2184
84;1030;980;1177;1797;1858;1973;1851;1953;1935;1955;2032;1930;1980;2202;2069;2007;1987;2035
85;1222;951;894;1102;1673;1708;1831;1698;1795;1780;1814;1856;1792;1842;2047;1930;1852;1873
86;1473;1089;862;813;1000;1520;1543;1693;1568;1646;1631;1643;1709;1658;1687;1867;1781;1723
87;1221;1319;980;786;731;895;1362;1404;1521;1424;1506;1478;1468;1560;1476;1526;1702;1624
88;1146;1068;1150;869;706;647;783;1196;1220;1343;1285;1340;1334;1317;1402;1316;1351;1542
89;964;994;873;991;756;613;566;672;1066;1096;1166;1142;1182;1177;1176;1242;1152;1189
90;786;839;822;739;838;654;533;479;595;933;938;1031;988;1024;1009;1023;1061;981
91;625;690;699;724;624;713;536;456;397;497;798;762;898;830;854;877;876;898
92;450;506;545;570;597;497;583;441;387;327;416;664;635;757;691;713;737;725
93;326;354;410;445;472;474;406;472;361;325;273;334;536;528;605;584;579;612
94;275;266;266;335;344;355;388;318;386;290;252;204;284;431;424;475;477;456
95;170;214;196;199;267;262;287;308;254;309;235;193;164;221;304;323;372;353
96;121;126;156;145;133;198;194;210;235;211;232;178;144;132;156;238;235;290
97;102;84;87;121;109;86;152;137;138;172;165;178;131;109;97;113;171;177
98;49;79;50;64;83;79;60;99;94;103;127;116;120;95;74;72;79;119
99;39;29;46;32;34;60;47;42;73;65;75;93;78;86;62;51;54;59
100 e oltre;51;53;53;80;71;63;73;85;74;97;111;101;127;133;128;131;114;97
Totale;263757;265483;268854;271578;273528;275593;278870;283165;284820;286139;287232;287953;288231;287469;286412;286162;286204;286265
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Maschi
0;1010;1098;1107;1134;1151;1182;1252;1311;1342;1266;1226;1239;1159;1223;1162;1108;1062;1146
1;1041;1042;1111;1147;1145;1160;1193;1280;1317;1338;1281;1256;1252;1165;1244;1177;1121;1100
2;1021;1060;1070;1118;1168;1154;1178;1224;1282;1315;1338;1292;1257;1243;1160;1230;1173;1137
3;1036;1036;1081;1087;1145;1185;1179;1220;1238;1304;1333;1357;1311;1248;1237;1184;1242;1180
4;1014;1065;1049;1100;1125;1157;1204;1206;1241;1254;1311;1324;1363;1309;1236;1246;1185;1249
5;981;1040;1086;1056;1129;1143;1178;1213;1220;1237;1256;1300;1313;1355;1306;1231;1266;1196
