"Popolazione per età, vista per singola area - Provincia: Pisa"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Pisa"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;3051;3139;3159;3423;3509;3556;3744;3820;3875;3854;3752;3680;3610;3573;3350;3259;3087;2873
1;3119;3065;3210;3196;3472;3549;3615;3826;3854;3893;3902;3775;3682;3615;3548;3377;3270;3094
2;3022;3167;3125;3240;3239;3535;3620;3639;3859;3858;3884;3911;3761;3687;3596;3558;3366;3246
3;2898;3038;3186;3176;3293;3296;3557;3647;3672;3885;3886;3924;3914;3766;3665;3591;3527;3364
4;2971;2925;3097;3249;3213;3335;3356;3624;3690;3673;3900;3894;3911;3904;3763;3634;3568;3522
5;2872;3015;2977;3140;3290;3276;3402;3391;3644;3697;3691;3918;3894;3901;3873;3755;3622;3572
6;2949;2912;3074;3010;3187;3347;3355;3460;3471;3673;3750;3714;3920;3918;3879;3868;3730;3627
7;2869;2961;2961;3108;3054;3216;3412;3408;3502;3491;3680;3766;3732;3920;3912;3864;3877;3726
8;2954;2886;2999;2990;3144;3111;3296;3488;3450;3526;3499;3687;3766;3738;3897;3911;3852;3888
9;3177;2993;2921;3037;3027;3192;3160;3346;3535;3459;3551;3532;3713;3766;3737;3893;3919;3843
10;3160;3206;3031;2975;3073;3041;3273;3227;3401;3552;3484;3569;3544;3731;3770;3754;3865;3926
11;3296;3174;3252;3073;3000;3129;3081;3309;3285;3425;3593;3499;3576;3563;3733;3781;3751;3876
12;3073;3310;3208;3261;3137;3037;3180;3143;3345;3310;3472;3638;3519;3580;3561;3746;3771;3746
13;3060;3113;3348;3251;3307;3161;3079;3223;3180;3382;3327;3500;3647;3527;3586;3571;3741;3753
14;2863;3083;3148;3371;3288;3328;3216;3136;3266;3223;3410;3362;3512;3652;3515;3599;3574;3712
15;3033;2864;3112;3162;3398;3289;3368;3257;3172;3295;3249;3442;3386;3523;3658;3509;3603;3576
16;3174;3050;2887;3139;3193;3432;3326;3393;3304;3217;3319;3255;3460;3411;3529;3665;3517;3608
17;3126;3174;3070;2906;3194;3205;3491;3367;3438;3361;3276;3354;3263;3500;3419;3546;3664;3531
18;3422;3163;3191;3114;2967;3248;3317;3551;3434;3515;3407;3322;3368;3301;3540;3454;3605;3688
19;3555;3440;3220;3244;3168;3044;3351;3419;3648;3537;3575;3463;3390;3428;3361;3644;3568;3670
20;3708;3588;3505;3280;3340;3218;3194;3470;3531;3729;3627;3641;3505;3446;3474;3461;3729;3619
21;3891;3731;3679;3574;3360;3405;3375;3350;3624;3643;3786;3719;3714;3558;3503;3575;3553;3761
22;4092;3927;3832;3743;3660;3444;3579;3496;3460;3768;3743;3900;3769;3791;3616;3580;3641;3593
23;4431;4144;4082;3896;3827;3737;3616;3762;3648;3601;3869;3851;3967;3859;3832;3743;3617;3713
24;4741;4483;4309;4166;3958;3903;3915;3770;3893;3774;3706;3993;3930;4064;3902;3955;3820;3691
25;5069;4824;4664;4451;4254;4062;4110;4053;3957;4049;3890;3863;4106;4026;4108;3986;4061;3875
26;5406;5146;4991;4833;4590;4344;4334;4317;4232;4146;4157;4013;3960;4208;4069;4256;4095;4152
27;6077;5491;5387;5129;4977;4720;4592;4554;4445;4430;4340;4307;4084;4021;4262;4235;4351;4139
28;5965;6195;5707;5555;5243;5135;4980;4749;4721;4648;4596;4505;4434;4128;4090;4408;4298;4413
29;6137;6042;6400;5862;5708;5393;5390;5170;4891;4870;4795;4756;4619;4490;4189;4226;4454;4328
30;6286;6206;6288;6540;6041;5866;5627;5554;5281;5057;4988;4935;4861;4668;4556;4317;4253;4443
31;5980;6349;6379;6399;6652;6116;6114;5795;5656;5406;5150;5108;4998;4906;4676;4607;4344;4323
32;6132;5981;6503;6500;6477;6750;6290;6227;5846;5801;5483;5263;5165;5031;4884;4763;4629;4331
33;5950;6207;6133;6594;6621;6609;6936;6370;6291;5949;5885;5559;5289;5177;5036;4935;4776;4698
34;6061;5996;6351;6208;6671;6707;6724;6991;6410;6341;6002;5919;5602;5331;5180;5040;4904;4781
35;6156;6074;6147;6436;6270;6753;6859;6798;7071;6445;6369;6097;5988;5602;5321;5202;5035;4894
36;6259;6188;6228;6262;6469;6320;6874;6933;6874;7139;6479;6414;6139;6017;5596;5352;5211;5035
37;6350;6286;6328;6287;6325;6521;6457;6947;6974;6912;7163;6523;6438;6138;5983;5589;5323;5214
38;5900;6383;6417;6378;6327;6371;6686;6516;7010;6999;6929;7161;6584;6442;6114;5971;5595;5328
39;5796;5930;6508;6480;6386;6378;6523;6755;6554;7021;7013;6955;7222;6612;6417;6116;5957;5581
40;5841;5814;6014;6569;6545;6461;6501;6590;6771;6554;7007;7039;6951;7228;6560;6429;6072;5961
41;5605;5851;5869;6046;6623;6565;6542;6563;6629;6820;6562;7017;7073;6950;7229;6590;6422;6045
42;5558;5604;5914;5884;6071;6618;6635;6609;6575;6631;6846;6603;7036;7073;6933;7213;6571;6408
43;5247;5564;5679;5968;5905;6100;6703;6702;6656;6607;6659;6857;6660;7061;7057;6933;7195;6548
44;5099;5285;5611;5705;5964;5946;6189;6728;6729;6714;6630;6667;6871;6656;7069;7085;6889;7165
45;5178;5107;5343;5632;5751;5987;6007;6251;6765;6764;6712;6666;6683;6886;6640;7068;7059;6899
46;5100;5164;5168;5366;5664;5767;6078;6059;6295;6762;6784;6730;6684;6705;6868;6662;7041;7036
