"Popolazione per età, vista per singola area - Provincia: Pistoia"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Pistoia"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;2174;2306;2261;2442;2466;2499;2542;2689;2564;2518;2572;2413;2237;2285;2200;2036;2059;2009
1;2223;2235;2331;2300;2451;2473;2537;2561;2691;2531;2539;2575;2407;2272;2308;2211;2064;2074
2;2133;2243;2279;2366;2331;2454;2500;2565;2575;2673;2512;2536;2577;2417;2267;2309;2219;2092
3;2189;2155;2299;2310;2398;2348;2480;2529;2590;2567;2654;2523;2553;2586;2428;2278;2318;2235
4;2117;2228;2195;2349;2353;2428;2393;2513;2514;2595;2570;2655;2535;2550;2589;2428;2279;2341
5;2043;2144;2277;2215;2396;2385;2461;2407;2514;2515;2582;2598;2661;2551;2539;2580;2439;2314
6;2063;2078;2178;2293;2244;2434;2411;2500;2451;2512;2513;2580;2589;2669;2564;2533;2584;2461
7;2005;2093;2120;2208;2338;2274;2466;2453;2506;2477;2526;2521;2578;2587;2677;2575;2534;2580
8;2090;2056;2122;2165;2243;2351;2303;2497;2474;2516;2501;2524;2535;2558;2601;2690;2594;2564
9;2098;2119;2094;2166;2233;2266;2388;2349;2535;2490;2530;2512;2534;2540;2572;2606;2710;2611
10;2180;2112;2142;2123;2188;2265;2339;2438;2369;2555;2495;2535;2502;2537;2541;2586;2615;2730
11;2189;2215;2158;2210;2166;2206;2297;2371;2457;2376;2583;2509;2540;2493;2545;2554;2585;2639
12;2217;2218;2253;2191;2255;2182;2253;2334;2393;2471;2407;2581;2506;2532;2486;2541;2564;2609
13;2183;2225;2247;2279;2220;2292;2225;2287;2350;2424;2492;2403;2582;2498;2539;2490;2561;2582
14;2076;2205;2249;2269;2312;2270;2318;2270;2307;2357;2436;2485;2415;2594;2504;2546;2499;2594
15;2152;2088;2228;2259;2312;2319;2308;2354;2302;2313;2358;2430;2466;2414;2597;2494;2545;2507
16;2319;2168;2116;2271;2286;2332;2345;2349;2373;2325;2321;2346;2430;2466;2422;2595;2503;2562
17;2299;2345;2180;2126;2314;2333;2366;2374;2389;2383;2332;2336;2355;2436;2455;2425;2602;2532
18;2402;2338;2390;2246;2185;2356;2406;2432;2436;2427;2406;2327;2332;2353;2436;2481;2467;2638
19;2425;2460;2406;2446;2295;2241;2436;2500;2519;2479;2454;2413;2345;2354;2391;2489;2601;2532
20;2460;2463;2516;2452;2497;2340;2327;2521;2563;2560;2522;2459;2429;2374;2381;2452;2565;2646
21;2690;2499;2559;2579;2484;2541;2440;2463;2585;2606;2590;2554;2480;2433;2358;2411;2517;2606
22;2892;2720;2585;2618;2633;2521;2675;2551;2507;2630;2654;2594;2586;2500;2436;2410;2469;2560
23;3035;2933;2837;2701;2650;2661;2668;2771;2645;2573;2653;2674;2601;2642;2532;2509;2471;2511
24;3288;3095;3076;2945;2778;2701;2821;2761;2838;2697;2604;2669;2688;2648;2647;2578;2540;2530
