"Popolazione per età, vista per singola area - Provincia: Pordenone"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Pordenone"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;2623;2628;2701;2874;2812;2977;3133;3099;3126;2987;2965;2834;2790;2704;2467;2422;2314;2227
1;2548;2669;2679;2706;2904;2841;3015;3150;3093;3123;2994;2963;2805;2777;2681;2464;2438;2343
2;2549;2607;2696;2690;2734;2925;2877;3049;3155;3098;3127;3016;2963;2777;2754;2650;2463;2481
3;2421;2594;2669;2735;2690;2743;2964;2898;3037;3152;3083;3133;3016;2934;2753;2743;2649;2503
4;2270;2455;2619;2677;2767;2706;2773;3012;2895;3033;3150;3087;3145;2992;2903;2736;2732;2669
5;2447;2336;2489;2626;2721;2788;2758;2794;2986;2885;3026;3148;3078;3125;2988;2887;2746;2766
6;2221;2498;2370;2539;2647;2764;2827;2813;2808;2986;2890;3045;3144;3059;3115;2980;2887;2768
7;2232;2253;2527;2391;2581;2696;2809;2859;2806;2818;2998;2888;3036;3136;3020;3079;2948;2889
8;2293;2273;2293;2553;2439;2623;2718;2872;2873;2808;2818;2997;2885;3009;3108;3009;3083;2951
9;2415;2329;2306;2333;2603;2495;2676;2750;2888;2878;2806;2822;2995;2891;3013;3084;3002;3082
10;2392;2454;2365;2362;2379;2647;2522;2720;2770;2902;2872;2813;2820;3000;2885;3001;3073;3021
11;2317;2425;2481;2420;2392;2428;2693;2589;2747;2787;2900;2896;2802;2818;2984;2875;2990;3098
12;2350;2371;2474;2515;2462;2432;2462;2742;2614;2751;2804;2911;2878;2785;2806;2965;2873;3001
13;2356;2370;2410;2512;2565;2509;2479;2515;2758;2621;2763;2813;2914;2867;2780;2795;2951;2885
14;2160;2374;2404;2438;2541;2616;2556;2529;2542;2769;2636;2753;2815;2892;2861;2770;2800;2955
15;2308;2201;2402;2422;2467;2564;2665;2590;2543;2557;2777;2654;2746;2810;2894;2851;2771;2819
16;2381;2324;2230;2432;2467;2520;2595;2709;2608;2549;2570;2789;2645;2717;2811;2883;2839;2774
17;2403;2425;2360;2267;2499;2516;2577;2648;2744;2634;2564;2575;2797;2625;2715;2797;2889;2844
18;2504;2450;2477;2425;2359;2568;2594;2661;2700;2758;2652;2592;2579;2796;2630;2717;2815;2927
19;2741;2545;2503;2515;2451;2436;2684;2684;2718;2741;2787;2681;2596;2591;2788;2646;2777;2865
20;2926;2784;2587;2530;2551;2569;2546;2786;2701;2744;2776;2801;2682;2589;2605;2810;2703;2839
21;3154;2990;2880;2664;2597;2647;2681;2683;2810;2759;2769;2816;2791;2697;2589;2616;2881;2761
22;3372;3231;3131;2974;2741;2729;2780;2809;2751;2870;2819;2840;2844;2795;2703;2615;2683;2937
23;3733;3506;3367;3224;3083;2873;2898;2941;2890;2830;2911;2895;2881;2852;2832;2730;2702;2746
24;3865;3907;3727;3507;3285;3257;3053;3074;3017;2979;2906;2996;2917;2901;2887;2843;2804;2775
25;4193;4023;4102;3796;3606;3395;3414;3211;3114;3084;3052;2956;3090;2941;2907;2900;2922;2861
26;4248;4321;4191;4202;3876;3753;3567;3625;3299;3186;3158;3132;3004;3068;2951;2912;2962;2979
27;4613;4394;4516;4282;4280;4001;3906;3789;3683;3350;3212;3246;3231;3009;3099;2956;2978;3086
28;4591;4744;4582;4604;4384;4350;4112;4088;3827;3722;3375;3291;3265;3204;2993;3105;3037;3045
29;4759;4723;4965;4677;4661;4464;4453;4245;4056;3820;3726;3443;3352;3303;3162;3008;3183;3104
30;4715;4914;4840;5095;4782;4749;4548;4607;4238;4040;3808;3780;3490;3324;3297;3141;3061;3211
