"Popolazione per età, vista per singola area - Provincia: Potenza"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Potenza"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;3473;3468;3288;3320;3100;3150;3097;3089;3050;2893;2770;2862;2550;2579;2628;2503;2549;2295
1;3561;3469;3453;3276;3292;3072;3134;3099;3093;3040;2874;2760;2848;2543;2558;2599;2499;2514
2;3702;3572;3484;3456;3281;3276;3074;3144;3103;3084;3048;2875;2768;2854;2548;2555;2600;2494
3;3596;3675;3564;3472;3456;3274;3285;3082;3125;3103;3085;3044;2889;2763;2847;2535;2549;2576
4;3570;3588;3666;3549;3469;3453;3282;3297;3101;3123;3102;3078;3050;2878;2763;2845;2542;2548
5;3673;3552;3592;3653;3559;3451;3461;3300;3303;3106;3138;3108;3086;3060;2856;2775;2847;2513
6;3822;3668;3546;3581;3649;3549;3467;3462;3302;3306;3111;3153;3117;3083;3056;2850;2769;2814
7;3946;3832;3672;3555;3590;3625;3550;3501;3473;3308;3312;3118;3156;3110;3086;3054;2849;2767
8;4062;3954;3826;3661;3557;3582;3614;3566;3515;3462;3305;3307;3132;3162;3111;3102;3041;2841
9;4486;4052;3948;3827;3673;3539;3598;3625;3569;3512;3455;3315;3318;3136;3153;3112;3090;3038
10;4395;4504;4051;3956;3811;3671;3557;3621;3639;3583;3523;3465;3318;3316;3137;3158;3106;3077
11;4574;4375;4493;4050;3965;3806;3669;3559;3616;3643;3589;3530;3466;3315;3316;3137;3160;3092
12;4620;4566;4366;4493;4046;3953;3816;3672;3565;3622;3649;3591;3525;3473;3310;3312;3145;3152
13;4568;4628;4560;4366;4481;4053;3958;3819;3680;3570;3640;3647;3584;3531;3473;3320;3313;3128
14;4557;4557;4622;4552;4361;4470;4061;3964;3820;3689;3560;3637;3632;3581;3531;3470;3330;3301
15;4682;4559;4542;4643;4538;4351;4480;4071;3962;3825;3693;3568;3646;3637;3583;3532;3468;3334
16;4879;4669;4572;4542;4645;4511;4365;4483;4083;3978;3828;3689;3574;3644;3642;3596;3535;3461
