"Popolazione per età, vista per singola area - Provincia: Prato"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Prato"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;2071;2277;2227;2512;2549;2677;2607;2593;2454;2483;2331;2406;2329;2204;2143;2126;2087;1887
1;2067;2122;2291;2280;2514;2581;2660;2559;2602;2523;2423;2386;2392;2316;2222;2167;2148;2097
2;2003;2109;2157;2326;2350;2516;2572;2632;2600;2605;2517;2481;2430;2371;2287;2252;2145;2169
3;1967;2033;2143;2175;2343;2394;2512;2517;2616;2592;2570;2520;2502;2388;2378;2302;2253;2169
4;1867;1984;2067;2160;2215;2366;2403;2477;2512;2576;2570;2589;2548;2470;2387;2423;2277;2272
5;1880;1912;2009;2091;2218;2234;2380;2393;2461;2498;2547;2570;2618;2532;2469;2410;2440;2280
6;1805;1894;1927;2046;2119;2256;2258;2369;2413;2424;2470;2575;2597;2581;2536;2507;2410;2440
7;1789;1832;1911;1963;2072;2141;2278;2254;2378;2407;2370;2496;2610;2577;2597;2530;2549;2436
8;1884;1822;1856;1934;1989;2105;2162;2300;2274;2345;2396;2399;2512;2595;2591;2627;2536;2574
9;1970;1901;1830;1876;1949;2004;2147;2176;2316;2302;2335;2418;2410;2510;2617;2603;2620;2558
10;1951;2008;1925;1863;1926;1975;2028;2161;2198;2317;2288;2360;2442;2398;2532;2633;2609;2655
11;1984;1970;2019;1949;1890;1975;1992;2037;2204;2218;2318;2319;2372;2446;2403;2562;2658;2633
12;2004;2006;2001;2044;1994;1938;1994;2030;2072;2208;2215;2358;2325;2384;2448;2427;2575;2690
13;1988;2043;2029;2022;2084;2043;1966;2017;2040;2096;2205;2228;2383;2332;2405;2470;2460;2615
14;1962;2029;2077;2052;2061;2113;2073;1978;2050;2066;2092;2226;2237;2392;2342;2419;2479;2486
15;2131;2004;2060;2125;2116;2105;2139;2088;2014;2072;2074;2097;2253;2253;2401;2371;2433;2517
16;2116;2143;2050;2094;2190;2142;2104;2175;2123;2059;2079;2111;2123;2244;2271;2407;2390;2466
17;2121;2149;2188;2088;2177;2247;2181;2133;2219;2149;2079;2108;2112;2141;2263;2302;2432;2425
18;2125;2142;2211;2278;2161;2246;2275;2204;2165;2259;2165;2096;2114;2130;2171;2296;2377;2486
19;2213;2158;2179;2261;2368;2230;2307;2316;2252;2229;2257;2206;2119;2119;2148;2226;2404;2397
20;2383;2228;2206;2262;2318;2408;2291;2329;2365;2296;2252;2324;2221;2125;2142;2198;2319;2449
21;2469;2406;2284;2274;2354;2324;2455;2309;2371;2414;2315;2316;2340;2219;2167;2145;2268;2346
22;2535;2525;2486;2402;2360;2385;2347;2487;2364;2442;2427;2399;2363;2363;2243;2195;2193;2316
