"Popolazione per età, vista per singola area - Provincia: Ragusa"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Ragusa"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;3021;3075;3168;3066;3047;3121;3069;3154;3222;3044;2980;3009;2855;2836;2782;2772;2846;2643
1;3025;3034;3099;3163;3077;3051;3143;3054;3193;3229;3024;3013;2998;2836;2827;2783;2781;2813
2;3147;3048;3076;3106;3158;3081;3081;3151;3064;3213;3219;3079;3036;2974;2844;2829;2802;2801
3;3068;3159;3087;3093;3135;3166;3091;3103;3177;3076;3234;3221;3079;3042;2959;2830;2834;2818
4;3164;3086;3186;3096;3129;3152;3201;3089;3134;3217;3065;3249;3213;3080;3045;2958;2830;2818
5;3241;3177;3099;3204;3141;3151;3168;3203;3114;3164;3236;3074;3248;3220;3070;3059;2955;2838
6;3268;3243;3214;3118;3228;3155;3185;3190;3217;3136;3166;3250;3082;3258;3205;3064;3050;2954
7;3299;3284;3278;3238;3120;3240;3183;3205;3207;3236;3143;3174;3254;3079;3239;3202;3058;3065
8;3530;3301;3317;3284;3280;3163;3272;3219;3250;3234;3249;3163;3162;3238;3074;3206;3191;3060
9;3576;3544;3327;3342;3317;3310;3199;3284;3235;3300;3252;3255;3172;3155;3233;3078;3197;3200
10;3552;3585;3590;3354;3370;3335;3339;3230;3328;3264;3320;3262;3261;3166;3164;3227;3084;3185
11;3664;3543;3601;3599;3374;3409;3368;3370;3247;3359;3292;3310;3262;3260;3172;3173;3226;3063
12;3510;3675;3559;3617;3631;3390;3446;3388;3426;3264;3375;3305;3302;3263;3270;3186;3161;3219
13;3649;3504;3690;3559;3637;3653;3410;3458;3409;3475;3288;3391;3313;3298;3274;3280;3170;3164
14;3591;3657;3517;3711;3561;3659;3685;3447;3492;3447;3498;3295;3400;3334;3311;3258;3286;3171
15;3617;3586;3678;3527;3723;3575;3668;3715;3474;3527;3460;3509;3297;3411;3374;3310;3248;3295
16;3537;3611;3601;3721;3546;3746;3597;3709;3760;3520;3557;3464;3512;3311;3412;3402;3315;3249
17;3688;3553;3639;3628;3762;3549;3785;3632;3755;3812;3555;3559;3458;3540;3344;3441;3422;3326
18;3712;3696;3582;3661;3660;3788;3593;3821;3677;3814;3836;3573;3571;3478;3579;3482;3556;3494
19;3922;3712;3723;3596;3670;3687;3843;3650;3879;3733;3861;3867;3603;3584;3527;3651;3509;3600
20;3895;3920;3739;3745;3604;3673;3734;3894;3693;3930;3784;3893;3890;3630;3631;3567;3646;3537
21;3966;3864;3950;3786;3761;3608;3732;3825;3945;3771;3982;3810;3929;3902;3666;3668;3567;3657
22;3847;3941;3922;3980;3781;3749;3676;3812;3900;4012;3816;4032;3855;3946;3937;3695;3678;3589
23;4006;3818;4002;3950;3956;3791;3804;3720;3886;4001;4080;3857;4065;3860;3973;3937;3667;3692
24;4046;3968;3887;4022;3940;3952;3837;3856;3794;3957;4071;4147;3881;4063;3902;3995;3907;3659
25;4327;4014;4057;3915;4025;3946;3983;3899;3905;3896;4021;4099;4169;3881;4088;3906;3967;3913
26;4444;4328;4110;4103;3911;4000;4016;4036;3943;3983;3981;4086;4100;4141;3900;4081;3888;3943
27;4582;4430;4411;4183;4074;3903;4082;4055;4083;4018;4035;4016;4139;4098;4153;3900;4042;3826
28;4471;4556;4514;4472;4206;4072;3966;4124;4093;4160;4062;4095;4015;4164;4090;4155;3901;4001
29;4447;4461;4632;4572;4475;4195;4141;3998;4182;4140;4215;4096;4094;4007;4164;4117;4117;3876
30;4539;4441;4548;4690;4560;4508;4240;4191;4037;4228;4182;4267;4081;4069;4012;4165;4107;4080
31;4407;4522;4491;4598;4684;4543;4580;4270;4224;4101;4258;4220;4306;4077;4071;4015;4154;4064
32;4564;4387;4557;4514;4570;4679;4621;4601;4329;4292;4162;4300;4253;4324;4107;4084;3995;4089
33;4507;4543;4435;4580;4520;4581;4753;4641;4650;4389;4359;4199;4312;4279;4341;4139;4066;3962
34;4489;4513;4566;4457;4584;4512;4642;4773;4681;4718;4423;4404;4207;4321;4299;4352;4103;4068
35;4565;4500;4568;4586;4485;4580;4563;4689;4812;4721;4742;4448;4411;4212;4353;4309;4324;4086
36;4436;4564;4556;4600;4608;4518;4640;4580;4759;4890;4743;4769;4463;4431;4223;4345;4280;4292
37;4397;4434;4588;4615;4624;4626;4579;4660;4590;4801;4912;4765;4743;4460;4453;4246;4331;4245
38;4256;4393;4475;4623;4632;4639;4716;4590;4690;4617;4832;4923;4780;4750;4457;4457;4226;4303
39;4330;4268;4430;4502;4636;4649;4689;4740;4612;4749;4639;4841;4923;4771;4748;4462;4441;4188
40;4290;4347;4310;4445;4547;4662;4704;4723;4769;4655;4775;4653;4807;4923;4779;4747;4460;4406
41;4343;4291;4401;4351;4469;4564;4701;4744;4771;4822;4682;4783;4659;4781;4963;4780;4751;4452
42;4115;4340;4329;4407;4373;4485;4595;4733;4763;4807;4840;4710;4780;4668;4787;4949;4771;4731
43;3841;4122;4387;4347;4417;4403;4522;4636;4757;4799;4847;4854;4701;4771;4684;4788;4941;4758
44;3740;3837;4159;4398;4360;4432;4436;4550;4662;4790;4820;4853;4839;4688;4772;4662;4778;4922
45;3873;3758;3870;4178;4408;4367;4469;4477;4577;4705;4793;4821;4848;4826;4695;4769;4660;4759
46;3747;3871;3796;3875;4201;4430;4396;4500;4513;4597;4730;4789;4829;4830;4843;4691;4759;4654
47;3845;3736;3889;3805;3891;4208;4453;4430;4516;4552;4600;4723;4787;4820;4814;4827;4665;4745
48;3579;3843;3760;3912;3814;3905;4227;4481;4440;4537;4568;4605;4698;4780;4803;4796;4820;4654
49;3482;3580;3881;3758;3902;3815;3928;4245;4482;4460;4545;4560;4598;4698;4777;4782;4779;4823
50;3477;3470;3593;3899;3765;3899;3844;3969;4262;4509;4459;4546;4550;4586;4697;4760;4789;4776
51;3560;3477;3480;3598;3913;3771;3910;3862;3980;4265;4500;4443;4534;4516;4583;4702;4767;4774
52;3856;3558;3477;3475;3601;3905;3784;3944;3860;3992;4281;4482;4424;4527;4509;4571;4675;4741
53;3839;3847;3565;3465;3460;3596;3927;3805;3951;3870;3997;4274;4465;4424;4526;4487;4546;4649
54;3960;3834;3853;3555;3451;3453;3599;3934;3808;3953;3875;3985;4261;4441;4432;4498;4481;4532
