"Popolazione per età, vista per singola area - Provincia: Ravenna"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Ravenna"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;2785;2919;3000;3105;3160;3382;3474;3618;3613;3503;3415;3339;3137;3061;2906;2817;2749;2654
1;2699;2839;2984;3062;3155;3216;3463;3513;3656;3612;3520;3410;3344;3119;3073;2905;2822;2776
2;2595;2760;2888;3039;3116;3192;3281;3556;3510;3665;3611;3544;3422;3326;3091;3073;2954;2821
3;2490;2648;2823;2940;3095;3193;3238;3310;3582;3523;3649;3637;3570;3393;3330;3096;3080;2968
4;2512;2542;2703;2884;3037;3131;3250;3284;3350;3589;3536;3678;3630;3550;3383;3331;3116;3074
5;2522;2588;2606;2759;2951;3107;3183;3292;3286;3374;3612;3567;3682;3622;3539;3375;3316;3114
6;2450;2573;2655;2660;2824;3010;3166;3232;3318;3301;3379;3630;3582;3656;3635;3533;3377;3303
7;2455;2525;2635;2711;2740;2880;3095;3231;3283;3342;3321;3394;3629;3558;3656;3616;3516;3367
8;2366;2515;2582;2699;2780;2792;2977;3166;3253;3300;3348;3338;3423;3648;3559;3651;3609;3528
9;2473;2432;2569;2633;2757;2835;2852;3041;3195;3283;3307;3354;3358;3431;3661;3544;3635;3606
10;2502;2536;2490;2626;2693;2809;2895;2920;3076;3232;3312;3322;3365;3355;3434;3653;3540;3630
11;2495;2565;2585;2567;2698;2743;2883;2956;2969;3097;3257;3342;3340;3365;3360;3422;3653;3553
12;2428;2540;2627;2639;2625;2762;2797;2935;3010;2993;3114;3292;3352;3348;3382;3369;3415;3646
13;2390;2463;2575;2682;2682;2691;2824;2850;2978;3057;3023;3110;3304;3344;3358;3393;3363;3423
14;2310;2418;2472;2631;2735;2728;2742;2897;2907;3030;3096;3045;3122;3314;3357;3341;3395;3390
15;2449;2339;2461;2511;2690;2787;2812;2784;2942;2936;3043;3114;3056;3119;3322;3348;3349;3403
16;2466;2477;2371;2502;2567;2719;2854;2875;2836;2972;2974;3085;3113;3071;3130;3325;3369;3366
17;2460;2502;2513;2412;2543;2616;2786;2939;2910;2870;3016;3016;3124;3126;3092;3160;3347;3377
18;2611;2510;2537;2597;2473;2612;2681;2880;3031;2982;2936;3061;3033;3132;3147;3190;3255;3370
19;2802;2669;2561;2579;2651;2535;2709;2816;2982;3096;3044;2993;3097;3054;3177;3270;3353;3293
20;2825;2848;2707;2645;2640;2703;2661;2861;2935;3073;3168;3114;3033;3127;3105;3274;3403;3379
21;2934;2884;2925;2784;2716;2715;2861;2842;2954;3012;3167;3236;3151;3068;3186;3205;3404;3434
22;3288;3002;2974;3021;2877;2808;2852;3016;2966;3058;3116;3226;3285;3218;3098;3268;3319;3438
23;3592;3397;3144;3111;3140;2967;2985;3037;3166;3074;3160;3181;3280;3306;3268;3181;3386;3349
24;3815;3710;3532;3288;3194;3268;3190;3171;3191;3275;3185;3267;3271;3312;3356;3372;3280;3416
25;4165;3969;3902;3663;3432;3313;3494;3390;3319;3293;3423;3308;3378;3307;3369;3441;3484;3348
