"Popolazione per età, vista per singola area - Provincia: Reggio di Calabria"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Reggio di Calabria"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;5423;5320;5437;5444;5409;5367;5468;5286;5293;5293;5031;4938;4908;4818;4792;4535;4599;4381
1;5794;5411;5310;5407;5427;5363;5410;5431;5295;5280;5282;5021;4943;4900;4805;4798;4508;4545
2;5854;5754;5420;5324;5372;5403;5380;5387;5422;5280;5245;5260;5013;4917;4871;4776;4748;4444
3;5770;5792;5714;5429;5313;5329;5411;5384;5392;5381;5251;5231;5283;4985;4899;4861;4749;4701
4;5685;5750;5784;5719;5441;5302;5363;5384;5395;5362;5386;5246;5236;5272;5005;4899;4825;4706
5;5930;5676;5745;5768;5741;5433;5347;5346;5381;5416;5382;5373;5235;5228;5248;4980;4850;4798
6;6192;5897;5663;5747;5741;5741;5463;5337;5361;5352;5400;5388;5374;5223;5219;5263;4938;4801
7;6147;6175;5920;5674;5755;5727;5756;5460;5344;5357;5360;5409;5397;5365;5206;5206;5239;4929
8;6620;6149;6169;5915;5706;5743;5753;5762;5509;5348;5351;5373;5410;5381;5353;5195;5176;5214
9;6902;6614;6147;6167;5907;5723;5779;5753;5785;5543;5365;5368;5376;5386;5383;5341;5187;5165
10;7020;6872;6630;6148;6156;5908;5776;5800;5761;5796;5562;5371;5378;5357;5389;5393;5311;5172
11;7207;7001;6861;6642;6169;6150;5949;5771;5847;5776;5799;5560;5361;5390;5356;5377;5366;5288
12;7335;7179;6992;6875;6637;6185;6192;5946;5785;5870;5775;5801;5572;5366;5396;5352;5344;5355
13;7420;7308;7167;6966;6893;6628;6229;6209;5970;5821;5877;5772;5797;5565;5335;5380;5334;5324
14;7456;7410;7321;7136;6952;6889;6683;6247;6227;5983;5835;5883;5775;5809;5568;5330;5380;5326
15;7605;7439;7407;7330;7119;6947;6916;6703;6275;6237;5991;5835;5887;5779;5808;5576;5336;5376
16;7528;7570;7446;7409;7335;7087;6965;6921;6724;6294;6242;6018;5830;5879;5801;5823;5607;5344
17;7565;7477;7556;7452;7441;7320;7101;6973;6934;6757;6316;6267;6031;5842;5898;5799;5871;5616
18;7637;7554;7487;7544;7493;7443;7405;7109;6990;6956;6789;6356;6285;6059;5877;5933;5994;5929
19;8123;7561;7556;7433;7516;7484;7523;7373;7116;6992;6948;6793;6377;6314;6105;5900;6011;6016
20;7989;8006;7523;7496;7377;7414;7532;7489;7342;7101;6980;6951;6805;6376;6318;6109;5863;5961
21;8201;7871;7994;7467;7431;7291;7472;7488;7499;7341;7088;6979;6957;6755;6341;6325;6091;5818
22;8193;8057;7871;7873;7410;7346;7385;7473;7432;7496;7329;7055;6976;6948;6749;6320;6294;6029
23;7947;8075;8035;7817;7796;7314;7370;7343;7449;7487;7480;7310;7056;6943;6909;6734;6295;6190
24;8240;7812;8061;7960;7683;7660;7366;7325;7278;7433;7484;7418;7332;7061;6920;6854;6686;6252
25;8496;8136;7876;8018;7785;7566;7717;7313;7324;7241;7382;7420;7421;7313;7024;6867;6787;6540
26;8598;8434;8216;7806;7899;7616;7609;7591;7268;7328;7205;7294;7386;7381;7228;6951;6782;6613
27;8575;8547;8628;8128;7667;7782;7672;7488;7501;7249;7276;7114;7264;7280;7287;7121;6856;6590
28;8448;8491;8626;8516;7990;7541;7830;7602;7388;7477;7205;7144;7034;7228;7197;7221;6961;6709
29;8291;8388;8576;8450;8377;7874;7608;7723;7466;7385;7376;7075;7047;6974;7116;7135;7096;6794
30;8321;8248;8464;8458;8297;8236;7922;7531;7620;7480;7323;7311;6996;6978;6915;7019;7045;6964
31;7962;8203;8247;8241;8259;8098;8325;7826;7407;7554;7382;7257;7214;6946;6903;6918;6917;6915
32;8282;7795;8217;8010;8011;8091;8105;8197;7679;7336;7426;7293;7179;7151;6851;6829;6810;6795
33;8154;8152;7823;8018;7852;7866;8075;7940;8030;7607;7250;7384;7203;7124;7102;6764;6776;6673
34;8121;8071;8224;7631;7882;7723;7853;7973;7841;8042;7481;7161;7301;7160;7029;7029;6724;6668
35;8268;8034;8109;8127;7529;7797;7751;7819;7876;7872;7979;7427;7147;7288;7140;6955;6931;6697
36;8420;8226;8071;8045;8079;7495;7900;7735;7809;7889;7841;7908;7423;7111;7257;7089;6914;6876
37;8358;8351;8265;8032;7996;8012;7590;7876;7683;7840;7853;7818;7875;7403;7099;7229;7030;6847
38;7927;8279;8390;8224;8007;7936;8063;7553;7858;7704;7813;7826;7813;7876;7349;7074;7156;6997
39;8094;7862;8331;8330;8192;7958;8056;8078;7565;7903;7661;7818;7812;7759;7845;7324;7014;7105
40;7997;8018;7919;8316;8246;8142;8045;8057;8072;7619;7879;7664;7813;7780;7737;7806;7290;6990
41;7772;7937;8075;7898;8300;8177;8164;8027;8042;8122;7612;7862;7636;7805;7759;7703;7778;7248
42;7712;7717;7951;8037;7850;8248;8248;8145;8059;8098;8094;7609;7863;7627;7770;7756;7683;7708
43;7092;7675;7805;7942;8006;7795;8302;8225;8135;8068;8127;8093;7593;7870;7603;7721;7717;7654
44;7269;7039;7707;7785;7894;7930;7869;8289;8225;8152;8072;8132;8091;7582;7828;7584;7689;7694
45;7048;7214;7084;7694;7738;7842;7998;7866;8298;8215;8140;8068;8147;8083;7564;7757;7537;7654
46;7227;7031;7311;7061;7643;7718;7896;7970;7855;8310;8188;8154;8079;8124;8065;7531;7720;7511
47;7212;7181;7081;7311;7057;7600;7747;7883;7925;7877;8295;8178;8122;8070;8093;8019;7478;7681
