"Popolazione per età, vista per singola area - Provincia: Reggio nell'Emilia"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Reggio nell'Emilia"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;4465;4805;4970;5287;5349;5388;5670;5763;5765;5793;5522;5359;5083;4779;4773;4478;4238;3979
1;4539;4555;4941;5043;5337;5382;5471;5704;5764;5753;5781;5522;5361;5105;4820;4799;4505;4267
2;4344;4633;4627;4981;5092;5383;5444;5537;5705;5745;5730;5783;5494;5299;5105;4793;4799;4511
3;4299;4438;4746;4698;5087;5107;5450;5515;5538;5672;5702;5754;5756;5418;5289;5074;4772;4810
4;4043;4379;4495;4811;4799;5158;5180;5491;5527;5546;5638;5721;5721;5707;5404;5262;5050;4769
5;4035;4135;4477;4530;4900;4834;5219;5246;5475;5504;5536;5643;5707;5662;5664;5358;5248;5011
6;3882;4119;4216;4583;4635;4977;4940;5269;5272;5428;5462;5535;5659;5630;5629;5633;5344;5206
7;3894;3975;4206;4285;4681;4720;5083;4969;5276;5278;5420;5468;5570;5602;5597;5583;5587;5282
8;3982;3987;4042;4300;4363;4742;4793;5149;5023;5277;5244;5411;5471;5505;5578;5604;5547;5560
9;3915;4078;4084;4113;4354;4447;4845;4880;5179;5053;5293;5270;5419;5439;5480;5560;5604;5535
10;3932;3999;4161;4207;4177;4426;4518;4922;4917;5195;5045;5329;5256;5414;5429;5481;5537;5580
11;3883;4012;4089;4250;4265;4235;4519;4629;4986;4912;5181;5060;5324;5232;5425;5400;5456;5523
12;3757;3938;4087;4172;4347;4329;4325;4602;4707;5005;4948;5196;5089;5319;5221;5394;5381;5440
13;3723;3814;4001;4172;4249;4404;4420;4420;4692;4743;5046;4964;5191;5064;5307;5204;5398;5364
14;3547;3800;3889;4065;4261;4312;4493;4538;4464;4716;4762;5063;4955;5182;5035;5284;5185;5378
15;3590;3573;3871;3945;4145;4327;4423;4560;4613;4508;4752;4786;5063;4970;5203;5024;5282;5179
16;3831;3632;3649;3931;4042;4213;4400;4543;4630;4653;4563;4787;4788;5051;4980;5198;5032;5289
17;3826;3891;3687;3691;4020;4123;4278;4498;4625;4689;4694;4622;4821;4796;5067;4974;5226;5055
18;3883;3899;3952;3770;3840;4165;4255;4434;4603;4717;4767;4729;4652;4838;4793;5086;5021;5249
19;4031;3935;3994;4034;3877;3983;4321;4452;4572;4640;4788;4835;4774;4655;4864;4851;5207;5091
20;4207;4144;4066;4122;4144;3964;4171;4504;4569;4638;4704;4869;4869;4796;4696;4933;4949;5281
21;4443;4337;4300;4203;4256;4270;4123;4342;4604;4679;4730;4783;4924;4867;4824;4830;5026;5036
22;4674;4566;4546;4489;4340;4429;4480;4336;4493;4726;4781;4844;4838;4886;4904;4911;4951;5091
23;5325;4815;4834;4781;4674;4513;4703;4724;4495;4683;4841;4901;4927;4887;4925;4960;4979;5002
24;5714;5486;5150;5113;5000;4840;4798;5003;4926;4668;4780;4974;4996;4939;4957;5000;5094;5059
25;6180;5964;5869;5449;5389;5214;5149;5096;5211;5131;4804;4922;5119;5033;5044;5055;5083;5176
26;6693;6448;6344;6252;5674;5605;5515;5467;5304;5424;5282;4991;5116;5194;5115;5151;5186;5187
27;7113;6968;6885;6688;6516;5864;5920;5815;5623;5506;5574;5484;5125;5145;5278;5188;5286;5333
28;7330;7340;7373;7316;6994;6759;6192;6238;6027;5812;5686;5709;5591;5164;5278;5362;5236;5447
29;7678;7536;7773;7743;7600;7254;7030;6564;6407;6152;6005;5854;5842;5617;5284;5369;5479;5387
30;7623;7957;7943;8208;8022;7805;7502;7360;6661;6630;6251;6171;5942;5873;5728;5381;5448;5610
31;7615;7834;8292;8303;8480;8248;8027;7743;7427;6784;6662;6366;6286;5962;5907;5807;5459;5576
32;7756;7802;8127;8592;8531;8691;8402;8280;7804;7544;6826;6791;6460;6260;6046;5957;5854;5551
33;7788;7939;8055;8421;8794;8729;8906;8589;8381;7873;7582;6956;6855;6466;6348;6062;5978;5920
34;7577;8006;8170;8312;8588;8910;8879;9080;8615;8480;7947;7740;7064;6809;6522;6416;6085;6064
35;7894;7732;8293;8403;8415;8733;9058;9066;9097;8669;8501;8023;7782;7019;6838;6554;6405;6159
36;7773;8080;7960;8518;8558;8550;8869;9205;9087;9130;8717;8583;8069;7738;7041;6867;6545;6458
37;7841;7886;8313;8165;8664;8664;8728;8959;9216;9145;9175;8767;8635;8028;7719;7014;6855;6576
38;7294;7956;8064;8477;8244;8719;8864;8840;9012;9271;9149;9186;8794;8582;8034;7722;7010;6891
39;7172;7358;8129;8211;8571;8304;8854;8942;8875;9078;9276;9161;9247;8721;8555;7987;7743;7017
40;6894;7219;7499;8247;8293;8656;8412;8932;8967;8919;9100;9368;9217;9154;8719;8581;7989;7734
41;6776;6984;7363;7625;8349;8389;8755;8511;8988;8976;8921;9132;9365;9182;9140;8689;8574;8004
42;6574;6860;7109;7509;7722;8395;8532;8849;8553;8990;8958;8952;9127;9298;9184;9098;8680;8594
43;6187;6632;6995;7224;7550;7776;8537;8585;8874;8565;8949;9000;8949;9069;9286;9159;9070;8702
44;6227;6250;6754;7118;7234;7578;7840;8593;8604;8884;8574;8981;9018;8912;9056;9259;9129;9092
45;6146;6282;6363;6821;7172;7291;7677;7920;8618;8662;8889;8642;9029;8934;8882;9041;9245;9106
46;5979;6170;6374;6464;6888;7269;7345;7761;7959;8640;8653;8880;8641;8960;8943;8856;9031;9232
47;6044;6014;6305;6466;6517;6928;7293;7419;7778;7996;8630;8695;8895;8593;8970;8939;8810;9006
48;5625;6068;6090;6396;6514;6529;7004;7354;7455;7815;7995;8649;8672;8848;8581;8956;8911;8807
49;5513;5662;6146;6190;6430;6567;6598;7048;7406;7459;7811;8033;8630;8617;8794;8540;8932;8885
50;5624;5537;5725;6190;6224;6455;6635;6635;7069;7470;7435;7817;8022;8610;8610;8779;8544;8898
51;5919;5630;5599;5781;6217;6274;6509;6686;6666;7105;7476;7437;7823;8018;8593;8551;8736;8505
52;6034;5945;5672;5647;5811;6246;6312;6545;6736;6698;7089;7459;7431;7788;7990;8535;8504;8704
53;6424;6058;5998;5715;5684;5827;6268;6351;6563;6737;6688;7116;7461;7419;7768;7980;8499;8496
54;6236;6466;6094;6088;5740;5668;5863;6293;6363;6561;6718;6709;7116;7434;7395;7755;7947;8479
55;6397;6257;6495;6122;6100;5726;5673;5895;6305;6380;6572;6728;6688;7082;7389;7364;7749;7939
56;4450;6419;6301;6538;6123;6105;5746;5691;5932;6292;6378;6577;6727;6667;7064;7354;7339;7693
57;5061;4463;6425;6318;6530;6132;6107;5759;5689;5932;6282;6365;6566;6730;6639;7016;7340;7332
58;5043;5071;4484;6441;6322;6546;6132;6132;5759;5701;5941;6289;6376;6529;6720;6609;7009;7304
59;5078;5047;5087;4501;6433;6338;6561;6134;6121;5760;5701;5925;6297;6344;6477;6702;6572;6978
60;5261;5077;5045;5086;4484;6410;6328;6579;6144;6118;5768;5696;5918;6284;6291;6449;6654;6570
61;5659;5231;5071;5045;5080;4483;6371;6333;6559;6147;6097;5764;5668;5918;6273;6271;6409;6614
62;5605;5661;5231;5060;5011;5069;4474;6374;6342;6556;6126;6062;5750;5628;5905;6237;6251;6393
63;5604;5588;5626;5231;5039;5002;5044;4463;6366;6317;6553;6102;6051;5697;5614;5879;6175;6206
64;5178;5580;5580;5579;5210;5022;4984;5041;4454;6343;6292;6504;6082;5993;5653;5563;5835;6125
65;4791;5162;5554;5541;5559;5183;4998;4995;5007;4451;6307;6246;6466;6026;5934;5598;5527;5787
66;5329;4763;5109;5539;5492;5534;5170;5000;4972;4959;4425;6265;6200;6408;5978;5877;5571;5502
67;5166;5306;4735;5094;5500;5443;5497;5146;4990;4946;4923;4394;6199;6157;6371;5924;5826;5523
68;4850;5151;5257;4701;5055;5455;5410;5472;5101;4948;4916;4874;4346;6113;6089;6333;5867;5787
69;4651;4804;5104;5190;4647;5002;5397;5372;5442;5062;4915;4876;4823;4321;6061;6041;6265;5823
70;4803;4580;4736;5066;5116;4606;4964;5369;5321;5380;5021;4863;4785;4785;4264;5997;5976;6193
71;4854;4754;4500;4673;5008;5045;4536;4907;5316;5270;5334;4972;4796;4732;4712;4192;5900;5912
72;4718;4770;4656;4428;4589;4947;4976;4494;4842;5254;5210;5264;4871;4718;4673;4653;4158;5835
73;4566;4651;4679;4558;4330;4516;4873;4914;4407;4777;5175;5151;5190;4798;4639;4584;4596;4100
74;4532;4475;4561;4575;4466;4258;4437;4800;4834;4294;4726;5069;5068;5118;4708;4557;4505;4526
75;4164;4456;4399;4459;4453;4374;4151;4345;4682;4766;4224;4645;4978;4973;5019;4594;4443;4433
76;4510;4043;4342;4300;4334;4359;4242;4073;4233;4597;4672;4142;4533;4862;4873;4902;4520;4366
77;4253;4360;3927;4223;4154;4231;4254;4149;3946;4138;4475;4544;4032;4412;4754;4762;4809;4406
78;4050;4087;4221;3805;4076;4019;4099;4131;4018;3823;4008;4331;4401;3940;4302;4618;4643;4690
