"Popolazione per età, vista per singola area - Provincia: Rieti"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Rieti"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;1074;1167;1140;1183;1158;1246;1221;1258;1307;1206;1260;1249;1147;1129;1116;1040;978;880
1;1157;1079;1188;1160;1178;1161;1240;1233;1265;1294;1173;1250;1232;1159;1108;1107;1026;985
2;1198;1183;1096;1179;1190;1192;1189;1280;1227;1272;1284;1192;1262;1216;1129;1107;1078;1023
3;1113;1215;1195;1113;1190;1232;1224;1219;1275;1229;1267;1281;1197;1239;1204;1116;1103;1063
4;1176;1142;1229;1206;1133;1202;1240;1246;1235;1292;1241;1289;1285;1207;1246;1194;1123;1094
5;1231;1200;1160;1233;1216;1153;1225;1260;1254;1237;1299;1270;1291;1287;1200;1241;1191;1110
6;1309;1241;1209;1170;1252;1238;1181;1244;1271;1255;1236;1316;1264;1281;1289;1211;1236;1173
7;1289;1340;1266;1227;1185;1270;1266;1207;1253;1271;1258;1242;1342;1261;1289;1285;1195;1234
8;1306;1314;1343;1278;1234;1204;1285;1296;1238;1265;1278;1263;1237;1338;1257;1277;1280;1193
9;1393;1329;1335;1356;1307;1252;1243;1300;1302;1245;1281;1284;1269;1231;1348;1250;1269;1266
10;1447;1409;1340;1344;1358;1318;1284;1269;1315;1315;1244;1295;1290;1273;1240;1326;1250;1268
11;1399;1453;1419;1360;1371;1361;1333;1318;1284;1329;1325;1250;1310;1285;1267;1242;1322;1237
12;1393;1403;1461;1427;1364;1379;1388;1364;1323;1295;1336;1339;1255;1298;1282;1270;1241;1316
13;1381;1389;1411;1486;1452;1378;1421;1407;1376;1337;1304;1358;1343;1256;1297;1286;1270;1210
14;1390;1398;1394;1411;1501;1469;1417;1452;1409;1379;1344;1308;1354;1346;1247;1302;1290;1267
15;1364;1393;1411;1415;1415;1508;1500;1446;1468;1431;1388;1343;1314;1362;1353;1254;1299;1285
16;1448;1359;1399;1420;1436;1422;1520;1527;1461;1492;1444;1387;1358;1320;1368;1342;1244;1292
17;1506;1459;1359;1410;1438;1452;1439;1549;1528;1467;1502;1449;1391;1364;1326;1371;1338;1244
18;1520;1508;1465;1362;1445;1450;1475;1464;1566;1565;1470;1513;1448;1401;1381;1359;1393;1343
19;1569;1521;1513;1466;1381;1452;1477;1510;1492;1579;1568;1489;1516;1473;1427;1415;1430;1394
20;1631;1572;1531;1518;1465;1382;1497;1545;1522;1501;1604;1576;1499;1534;1505;1467;1441;1440
21;1665;1629;1590;1531;1528;1502;1423;1558;1586;1572;1532;1628;1609;1498;1547;1527;1517;1460
22;1658;1654;1659;1612;1551;1550;1541;1495;1627;1595;1602;1577;1665;1640;1526;1592;1564;1530
23;1745;1642;1667;1681;1629;1553;1601;1592;1562;1671;1604;1635;1590;1683;1657;1521;1622;1549
24;1872;1766;1690;1697;1688;1624;1606;1651;1618;1605;1676;1665;1648;1597;1707;1687;1539;1632
25;1834;1882;1825;1728;1700;1673;1673;1649;1693;1642;1638;1735;1694;1648;1603;1690;1707;1538
26;2036;1856;1925;1845;1754;1673;1739;1701;1674;1710;1671;1687;1743;1691;1663;1638;1688;1666
27;2051;2021;1901;1984;1851;1763;1717;1796;1732;1693;1716;1727;1702;1716;1695;1660;1660;1673
28;2003;2083;2096;1928;2002;1890;1836;1775;1821;1727;1735;1747;1733;1695;1696;1668;1674;1630
29;2050;2025;2166;2147;1982;2007;1962;1914;1785;1845;1745;1772;1762;1717;1712;1707;1672;1663
30;2053;2083;2099;2250;2215;2003;2077;2068;1944;1777;1862;1771;1766;1786;1728;1694;1694;1634
31;2092;2075;2152;2141;2267;2208;2043;2131;2044;1926;1787;1892;1788;1756;1781;1711;1671;1661
32;2153;2101;2095;2163;2164;2247;2250;2071;2131;2060;1914;1875;1873;1780;1737;1763;1711;1662
33;2110;2169;2120;2111;2167;2169;2253;2285;2087;2120;2064;1965;1892;1866;1790;1710;1727;1673
34;2108;2142;2162;2147;2094;2183;2199;2325;2294;2104;2120;2118;1952;1875;1851;1771;1689;1685
35;2222;2123;2142;2209;2147;2094;2229;2246;2336;2270;2118;2142;2132;1949;1845;1831;1756;1666
36;2297;2261;2172;2194;2249;2171;2146;2293;2275;2328;2280;2151;2159;2130;1943;1823;1823;1732
37;2302;2327;2278;2215;2228;2277;2199;2209;2318;2272;2331;2299;2168;2161;2132;1934;1818;1787
38;2239;2314;2349;2325;2247;2249;2349;2270;2223;2338;2273;2362;2264;2147;2153;2122;1896;1795
39;2212;2258;2360;2378;2345;2275;2320;2400;2319;2233;2318;2310;2363;2272;2159;2121;2103;1889
40;2151;2227;2297;2387;2419;2363;2331;2372;2423;2348;2236;2337;2305;2336;2271;2141;2109;2097
41;2131;2174;2263;2333;2431;2451;2414;2389;2396;2409;2350;2262;2338;2307;2338;2252;2113;2074
42;2019;2145;2211;2282;2373;2452;2497;2463;2416;2419;2404;2379;2281;2330;2300;2334;2242;2114
43;1967;2027;2185;2232;2309;2395;2484;2558;2486;2423;2410;2434;2412;2289;2338;2303;2341;2235
44;1874;1994;2053;2215;2264;2319;2441;2524;2573;2474;2426;2432;2445;2406;2283;2324;2316;2335
45;1963;1899;2029;2080;2236;2288;2335;2485;2554;2594;2468;2451;2468;2438;2389;2281;2313;2319
46;1914;1970;1926;2052;2129;2237;2334;2370;2489;2577;2575;2496;2457;2467;2455;2369;2292;2302
47;1904;1918;2006;1957;2076;2132;2289;2366;2398;2491;2563;2588;2504;2446;2485;2463;2360;2275
48;1908;1925;1952;2020;1978;2090;2177;2329;2396;2401;2505;2567;2585;2503;2480;2466;2466;2364
49;1884;1916;1964;1991;2056;2010;2121;2196;2347;2410;2423;2533;2567;2587;2495;2477;2467;2478
