"Popolazione per età, vista per singola area - Provincia: Rimini"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Rimini"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;2696;2801;2787;2832;2959;2928;3078;3238;3093;3187;2972;3007;2914;2810;2744;2548;2429;2331
1;2650;2724;2802;2881;2861;2989;2966;3148;3238;3091;3163;2984;2994;2920;2827;2736;2551;2451
2;2631;2697;2765;2889;2878;2905;3015;3012;3160;3221;3092;3177;3004;2987;2901;2850;2726;2585
3;2403;2704;2744;2838;2913;2904;2910;3068;3041;3203;3216;3150;3212;2996;3011;2918;2845;2756
4;2463;2441;2738;2839;2861;2922;2908;2930;3073;3069;3212;3269;3185;3213;2997;3000;2918;2887
5;2466;2488;2471;2802;2881;2894;2925;2933;2949;3078;3064;3238;3282;3191;3216;3026;3003;2945
6;2450;2514;2535;2571;2845;2920;2911;2938;2930;2976;3086;3111;3251;3287;3191;3258;3037;3012
7;2394;2479;2552;2609;2620;2882;2957;2954;2949;2936;2978;3108;3143;3253;3282;3213;3274;3046
8;2398;2437;2495;2635;2651;2650;2917;2991;2979;2966;2940;3003;3122;3142;3271;3271;3212;3283
9;2464;2425;2478;2582;2672;2699;2677;2950;3006;2993;2974;2965;3012;3131;3142;3275;3273;3223
10;2575;2503;2466;2580;2622;2727;2739;2734;2989;3035;3024;2998;2983;3030;3141;3140;3280;3294
11;2531;2596;2538;2541;2627;2639;2739;2786;2757;3024;3045;3059;3003;2992;3036;3156;3142;3287
12;2468;2558;2605;2582;2601;2672;2653;2766;2812;2769;3035;3075;3068;3020;3011;3046;3160;3169
13;2419;2490;2595;2650;2632;2647;2705;2685;2806;2833;2788;3053;3078;3061;3039;3016;3057;3183
14;2230;2445;2522;2648;2690;2693;2683;2731;2722;2823;2852;2835;3071;3095;3085;3051;3030;3076
15;2367;2249;2457;2572;2701;2729;2729;2722;2754;2731;2847;2870;2846;3082;3106;3088;3068;3048
16;2506;2393;2268;2503;2630;2758;2770;2766;2775;2812;2753;2890;2886;2862;3104;3119;3098;3077
17;2581;2513;2415;2321;2554;2682;2805;2823;2799;2834;2848;2779;2914;2888;2879;3114;3138;3125
18;2693;2598;2524;2479;2378;2602;2709;2832;2855;2844;2874;2876;2807;2940;2926;2900;3155;3175
19;2798;2718;2649;2574;2528;2416;2648;2756;2884;2925;2903;2897;2912;2843;2970;2966;2945;3209
