"Popolazione per età, vista per singola area - Provincia: Roma"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Roma"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;33225;35989;37837;38920;38101;39705;39108;41923;39636;39090;39038;39889;39073;37709;35924;35059;32804;29188
1;33696;33582;36228;37745;38870;38234;39776;39638;41071;39582;39112;39783;40130;38989;37741;36043;35062;32864
2;33148;33910;33958;36268;37749;38890;38341;39654;39836;40296;39493;39830;40040;40277;38842;37623;36004;34754
3;33144;33348;34209;34276;36324;37890;38900;38409;39807;39979;39983;40207;40295;40207;40386;38597;37472;35899
4;32659;33398;33611;34464;34582;36439;38014;38735;38456;39686;40201;40644;40647;40508;40323;40403;38248;37264
5;32882;32894;33730;33819;34789;35004;36658;38084;38695;38487;39801;40797;41025;40833;40738;40324;40314;37904
6;32899;33110;33219;33966;34107;35188;35605;36890;38092;38601;38617;40391;41223;41209;41029;40865;40256;40342
7;32940;33108;33378;33439;34343;34444;35750;36129;36983;38089;38699;39130;40774;41441;41371;41129;40954;40269
8;33880;33265;33401;33642;33871;34760;34936;36278;36568;37074;38160;39170;39490;40949;41644;41470;41195;41068
9;35234;34130;33544;33553;34012;34189;35350;35389;36753;36989;37247;38644;39496;39616;41107;41747;41482;41271
10;34773;35430;34410;33841;33940;34383;34712;35899;35805;37214;37399;37722;38982;39672;39779;41261;41865;41608
11;35121;34913;35653;34662;34182;34331;34922;35218;36332;36110;37581;37877;38041;39163;39876;39858;41336;42006
12;33939;35288;35063;35866;35079;34589;34791;35357;35644;36716;36440;38056;38164;38257;39349;39991;39989;41485
13;34080;34015;35393;35245;36170;35469;35178;35233;35769;36035;37122;36995;38356;38323;38419;39443;40092;40126
14;32554;34179;34117;35510;35524;36531;36006;35663;35619;36100;36397;37597;37382;38555;38562;38533;39539;40261
15;32936;32633;34306;34274;35796;35808;36994;36456;36141;35981;36451;36864;37906;37532;38753;38662;38619;39699
16;34467;32936;32701;34417;34445;36149;36218;37474;36893;36503;36302;36910;37126;38141;37682;38865;38758;38769
17;34921;34425;32921;32768;34656;34794;36507;36605;37896;37298;36867;36874;37213;37357;38391;37708;38945;38989
18;36044;34905;34432;32945;33049;35026;35369;37025;37227;38342;37784;37524;37332;37552;37608;38630;38032;39288
19;37581;36001;34993;34535;33079;33549;35836;36168;37778;37914;38936;38542;38049;37832;38035;38066;39113;38528
20;37852;37449;36179;35140;34674;33422;34579;36847;37156;38569;38590;39982;39030;38454;38353;38577;38584;39556
21;39002;37603;37748;36558;35198;34961;34247;35773;37953;38118;39352;39596;40458;39416;38862;38886;39056;39007
22;40968;38802;38066;38270;36730;35554;36011;35535;37085;39104;39004;40579;40225;41004;39859;39326;39306;39465
23;43546;40878;39517;38940;38485;37107;36786;37486;37013;38401;40048;40320;41298;40744;41562;40344;39733;39812
24;45721;43545;41772;40513;39231;38954;38356;38466;38944;38416;39533;41579;41229;42025;41315;42020;40712;40084
25;48536;45772;44652;42951;41003;39858;40421;39943;40100;40464;39604;41228;42608;41807;42637;41797;42291;40989
