"Popolazione per età, vista per singola area - Provincia: Rovigo"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Rovigo"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;1585;1638;1684;1799;1834;1763;1876;1991;1981;1957;1813;1882;1724;1584;1573;1459;1485;1316
1;1742;1600;1663;1712;1801;1858;1792;1881;1976;1949;1961;1810;1876;1713;1585;1554;1450;1500
2;1663;1759;1628;1680;1752;1825;1878;1803;1890;1974;1935;1979;1814;1878;1687;1592;1558;1459
3;1715;1676;1773;1649;1707;1745;1833;1891;1800;1865;1953;1934;1960;1793;1848;1682;1584;1549
4;1746;1735;1718;1784;1690;1729;1775;1848;1887;1812;1864;1956;1922;1944;1776;1815;1670;1576
5;1745;1764;1766;1732;1818;1714;1750;1788;1853;1891;1816;1870;1965;1929;1941;1781;1820;1666
6;1674;1748;1790;1769;1746;1830;1734;1757;1816;1847;1867;1848;1869;1961;1908;1930;1777;1822
7;1683;1697;1780;1812;1785;1742;1854;1735;1754;1813;1842;1877;1839;1861;1961;1924;1929;1768
8;1651;1704;1710;1801;1829;1799;1776;1865;1748;1763;1797;1870;1863;1819;1858;1955;1919;1917
9;1869;1652;1737;1726;1825;1843;1824;1796;1882;1760;1769;1805;1854;1875;1823;1848;1940;1923
10;1946;1878;1680;1760;1748;1830;1875;1838;1823;1898;1767;1777;1807;1851;1858;1819;1844;1940
11;2025;1951;1908;1699;1772;1738;1866;1903;1863;1820;1887;1769;1784;1794;1869;1844;1804;1843
12;1947;2035;1958;1930;1706;1789;1775;1901;1924;1876;1827;1908;1764;1763;1777;1867;1846;1786
13;2053;1966;2044;1971;1938;1738;1825;1797;1914;1934;1869;1827;1912;1766;1768;1774;1865;1847
14;1904;2061;1977;2059;1990;1958;1772;1843;1827;1923;1944;1876;1818;1917;1765;1765;1772;1855
15;2037;1913;2084;1980;2074;1992;1982;1791;1852;1839;1924;1957;1883;1815;1912;1767;1763;1784
16;2190;2039;1933;2098;1998;2086;2019;2001;1807;1883;1847;1940;1955;1899;1821;1905;1774;1762
17;2172;2200;2057;1956;2109;2007;2122;2047;2017;1819;1895;1859;1937;1957;1897;1824;1903;1780
18;2221;2171;2209;2093;1986;2127;2037;2150;2066;2027;1847;1914;1859;1933;1962;1909;1819;1910
19;2298;2220;2188;2221;2107;2008;2167;2070;2185;2092;2055;1855;1917;1855;1937;1967;1898;1834
20;2402;2294;2239;2202;2229;2128;2050;2190;2090;2204;2116;2082;1861;1934;1846;1934;1966;1927
