"Popolazione per età, vista per singola area - Provincia: Salerno"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Salerno"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;10873;10554;10669;10568;10414;10250;10193;10201;10130;9816;9630;9694;9188;9184;8949;8814;8676;8323
1;11037;10872;10545;10706;10605;10403;10276;10180;10195;10160;9773;9632;9647;9160;9168;8917;8842;8705
2;11225;11096;10893;10594;10750;10597;10420;10311;10197;10228;10166;9788;9670;9634;9128;9187;8885;8847
3;10927;11215;11126;10911;10607;10752;10655;10429;10318;10200;10224;10169;9808;9679;9635;9142;9195;8899
4;10893;10918;11216;11165;10957;10620;10847;10733;10484;10357;10243;10247;10161;9811;9711;9652;9154;9209
5;11571;10907;10974;11311;11213;10976;10695;10894;10755;10531;10387;10278;10258;10158;9821;9745;9660;9164
6;11658;11583;10962;11056;11353;11248;11032;10769;10940;10811;10585;10374;10283;10268;10161;9829;9751;9660
7;11600;11679;11617;11004;11091;11353;11332;11132;10821;10992;10850;10605;10379;10296;10290;10189;9852;9760
8;12564;11583;11699;11677;11069;11117;11426;11411;11194;10889;11048;10893;10648;10404;10301;10273;10172;9850
9;13241;12605;11620;11725;11733;11117;11198;11504;11499;11262;10929;11063;10926;10657;10411;10315;10279;10167
10;13316;13244;12659;11679;11783;11755;11215;11276;11562;11562;11296;10946;11068;10950;10668;10414;10323;10295
11;13694;13303;13251;12728;11754;11772;11832;11310;11369;11638;11606;11323;10936;11059;10950;10675;10421;10353
12;13393;13703;13352;13299;12776;11803;11847;11909;11366;11438;11690;11637;11320;10960;11058;10942;10664;10418
13;13789;13388;13718;13365;13350;12817;11892;11895;11966;11420;11485;11692;11635;11339;10966;11058;10946;10664
14;13233;13794;13409;13742;13398;13393;12882;11981;11933;12047;11489;11510;11688;11645;11344;10972;11061;10943
15;13717;13260;13838;13431;13752;13406;13475;12941;12044;12007;12102;11515;11522;11710;11652;11355;10978;11085
16;13987;13696;13306;13909;13496;13769;13440;13542;12993;12145;12069;12117;11524;11543;11734;11654;11342;11000
17;14398;13978;13715;13386;13964;13520;13828;13479;13617;13064;12196;12078;12115;11563;11560;11759;11737;11383
18;14323;14387;13988;13748;13463;14004;13618;13903;13548;13712;13113;12256;12107;12137;11628;11636;11887;11819
19;14751;14279;14353;14001;13724;13470;14134;13684;13991;13654;13772;13166;12272;12152;12214;11737;11832;11996
20;14940;14654;14233;14309;13956;13684;13547;14235;13708;14037;13668;13796;13161;12306;12208;12259;11826;11832
21;14770;14814;14621;14240;14260;13912;13767;13684;14335;13796;14094;13705;13782;13163;12333;12259;12333;11859
22;14644;14620;14778;14643;14226;14224;13981;13833;13775;14477;13865;14080;13710;13816;13174;12337;12246;12316
23;15048;14527;14603;14753;14624;14139;14308;14056;13888;13941;14530;13906;14069;13710;13759;13175;12360;12237
24;15027;14953;14529;14605;14625;14480;14249;14391;14045;13981;14021;14512;13934;14079;13656;13719;13123;12265
25;15444;14910;14979;14593;14470;14430;14536;14254;14380;14089;13982;13969;14476;13922;14038;13586;13718;13003
26;16021;15348;15022;15075;14423;14306;14399;14504;14219;14402;14069;13940;13886;14422;13873;13910;13461;13555
27;16238;15871;15448;15129;14975;14232;14365;14380;14442;14249;14405;13982;13844;13794;14285;13721;13776;13324
28;16313;16147;15993;15632;15077;14807;14322;14340;14259;14350;14220;14306;13823;13764;13668;14159;13562;13616
29;16119;16189;16220;16102;15543;14942;14840;14347;14219;14193;14336;14050;14138;13726;13621;13595;13986;13411
30;16594;16076;16301;16417;16020;15448;15047;14840;14288;14147;14158;14335;13960;14082;13649;13498;13460;13816
31;16231;16483;16154;16459;16392;15866;15488;15037;14739;14262;14068;14074;14207;13890;13968;13513;13339;13290
32;16474;16147;16544;16217;16308;16196;15918;15443;14906;14685;14217;14042;14041;14105;13811;13851;13370;13188
33;16354;16373;16245;16624;16098;16187;16282;15884;15439;14872;14706;14167;13974;13978;14016;13710;13752;13272
34;16301;16312;16471;16277;16545;15956;16267;16219;15821;15467;14896;14696;14123;13967;13967;13935;13683;13679
35;16833;16278;16391;16559;16214;16397;16077;16277;16138;15825;15466;14838;14661;14145;13954;13985;13881;13611
36;16965;16861;16414;16561;16637;16156;16573;16175;16352;16254;15915;15492;14766;14639;14106;13875;13955;13833
37;17238;16977;16976;16571;16623;16590;16271;16686;16241;16381;16310;15933;15451;14765;14599;14113;13832;13916
38;16429;17235;17101;17141;16620;16570;16753;16371;16705;16337;16411;16339;15891;15499;14748;14528;14068;13821
39;16442;16356;17356;17195;17136;16623;16737;16896;16402;16768;16360;16466;16353;15905;15481;14769;14494;14045
40;16290;16437;16446;17508;17228;17088;16770;16878;16925;16442;16803;16342;16486;16384;15932;15486;14784;14488
41;15827;16256;16517;16577;17555;17189;17180;16933;17019;17028;16459;16803;16366;16515;16365;15879;15465;14763
42;15646;15836;16329;16619;16601;17544;17300;17280;17002;17084;17073;16481;16818;16378;16504;16354;15796;15435
43;14841;15647;15972;16453;16623;16560;17661;17419;17343;17096;17117;17083;16494;16843;16367;16484;16302;15748
44;14620;14851;15725;16087;16450;16603;16667;17744;17469;17414;17168;17129;17068;16479;16822;16318;16407;16274
45;14182;14620;14946;15854;16123;16410;16687;16742;17798;17519;17419;17213;17129;17096;16452;16822;16276;16372
46;14305;14173;14738;15069;15870;16102;16498;16752;16787;17856;17558;17404;17182;17144;17104;16397;16747;16227
47;14181;14323;14237;14854;15069;15843;16193;16565;16778;16836;17901;17576;17388;17153;17116;17086;16338;16722
48;13245;14165;14411;14324;14874;15047;15921;16308;16638;16867;16865;17914;17542;17391;17120;17049;17085;16320
49;12674;13246;14210;14465;14352;14882;15113;16000;16346;16649;16902;16835;17887;17578;17336;17091;17004;17034
50;13226;12631;13276;14265;14439;14315;14942;15128;16000;16389;16650;16860;16804;17830;17555;17304;17047;16953
51;13307;13163;12652;13358;14238;14388;14366;15035;15151;16015;16425;16633;16834;16769;17767;17514;17247;17003
52;13242;13244;13173;12678;13325;14191;14432;14441;15036;15213;15997;16385;16613;16789;16739;17710;17474;17215
53;13824;13221;13272;13211;12664;13287;14184;14461;14448;15082;15195;15970;16322;16567;16764;16697;17641;17399
54;13155;13808;13243;13304;13184;12599;13315;14198;14458;14502;15095;15171;15925;16291;16501;16711;16636;17574
55;12911;13132;13837;13299;13243;13128;12600;13338;14160;14439;14484;15051;15102;15894;16188;16433;16657;16566
56;10036;12894;13163;13851;13274;13172;13094;12588;13318;14142;14391;14431;14996;15036;15833;16124;16378;16578
57;9282;10013;12885;13155;13824;13262;13165;13095;12548;13281;14136;14358;14361;14936;14977;15775;16027;16285
58;10313;9258;9972;12867;13144;13773;13241;13118;13016;12545;13270;14086;14279;14289;14861;14893;15696;15939
59;10400;10288;9215;9950;12852;13105;13766;13209;13074;12990;12497;13207;14024;14194;14196;14750;14824;15607
60;9909;10364;10252;9193;9885;12842;13082;13748;13166;13008;12906;12399;13140;13940;14096;14131;14627;14748
61;11463;9851;10316;10206;9142;9834;12815;13033;13668;13125;12971;12835;12336;13078;13842;14014;14023;14545
62;12006;11410;9820;10259;10133;9101;9773;12791;12976;13618;13069;12889;12732;12258;12960;13763;13921;13915
63;10988;11943;11353;9773;10198;10061;9068;9680;12763;12923;13554;13001;12792;12645;12189;12867;13646;13816
64;10730;10941;11872;11273;9703;10134;9989;9042;9622;12685;12847;13469;12924;12702;12545;12081;12752;13522
65;10464;10663;10862;11810;11228;9603;10031;9943;8968;9532;12596;12718;13360;12835;12569;12449;11996;12662
66;11142;10377;10572;10808;11706;11148;9522;9970;9871;8901;9445;12509;12600;13243;12690;12448;12335;11905
67;10634;11022;10291;10525;10683;11615;11066;9432;9851;9809;8824;9332;12374;12476;13097;12560;12323;12184
68;10954;10529;10914;10151;10423;10560;11473;10934;9292;9737;9702;8709;9214;12231;12303;12947;12421;12191
69;10416;10807;10379;10751;10017;10322;10426;11321;10775;9162;9581;9559;8554;9083;12045;12129;12770;12226
70;10596;10246;10679;10220;10589;9873;10178;10278;11159;10635;9013;9441;9398;8406;8895;11866;11970;12591
71;11020;10410;10068;10470;10051;10428;9742;10060;10122;10994;10469;8823;9269;9229;8272;8763;11677;11756
72;9953;10824;10172;9904;10248;9877;10193;9552;9871;9951;10831;10262;8669;9101;9036;8130;8606;11495
73;9406;9762;10584;9910;9689;10017;9685;9961;9346;9678;9770;10595;10026;8500;8892;8860;7955;8444
74;8831;9188;9525;10340;9677;9463;9785;9434;9726;9114;9436;9524;10359;9819;8294;8738;8658;7803
75;8407;8622;8928;9264;10088;9418;9224;9534;9155;9482;8871;9221;9292;10081;9585;8129;8514;8428
76;8281;8182;8347;8664;8957;9808;9121;8919;9246;8889;9252;8602;8960;9056;9809;9310;7893;8274
77;7719;7971;7869;8124;8354;8650;9464;8783;8606;8967;8587;8944;8288;8699;8764;9523;9033;7658
78;7187;7443;7648;7569;7781;8049;8332;9102;8440;8299;8655;8301;8607;8007;8370;8451;9167;8722
79;6446;6842;7106;7322;7252;7475;7743;7958;8684;8047;7966;8309;7964;8240;7670;8055;8088;8801
80;5889;6132;6512;6769;6940;6920;7147;7391;7608;8278;7694;7577;7897;7639;7883;7328;7702;7765
81;5165;5569;5773;6146;6369;6598;6560;6747;6976;7207;7852;7286;7194;7468;7231;7536;6956;7348
82;3275;4807;5198;5446;5725;5940;6178;6111;6338;6567;6781;7431;6803;6826;7017;6810;7103;6590
83;2333;3024;4408;4869;5045;5334;5426;5720;5618;5864;6099;6349;6932;6400;6355;6611;6366;6687
84;2223;2137;2781;4006;4481;4645;4934;4995;5266;5132;5383;5657;5863;6457;5890;5900;6134;5956
85;2548;2006;1952;2549;3637;4136;4260;4563;4563;4840;4701;4939;5152;5398;5864;5424;5412;5701
86;2747;2280;1787;1728;2309;3311;3739;3859;4166;4159;4373;4288;4457;4700;4848;5295;4906;4945
87;2373;2420;2021;1578;1557;2035;2922;3340;3464;3742;3720;3878;3834;4041;4191;4371;4708;4380
88;2247;2075;2075;1777;1402;1380;1773;2537;2884;3062;3345;3250;3425;3403;3581;3761;3867;4154
89;1831;1918;1695;1773;1535;1203;1198;1514;2265;2537;2610;2900;2838;2992;2923;3130;3220;3361
90;1405;1531;1579;1451;1451;1341;1010;1030;1289;1935;2164;2195;2451;2455;2497;2505;2638;2776
91;1244;1152;1262;1306;1222;1209;1123;835;839;1099;1640;1844;1862;2070;2058;2104;2061;2213
92;877;1000;944;1003;1067;998;993;924;683;667;932;1344;1556;1560;1651;1678;1701;1714
93;624;706;803;737;790;877;815;810;744;552;549;724;1076;1257;1223;1349;1358;1369
94;463;483;504;635;554;619;643;652;651;567;439;432;577;865;974;982;1076;1079
95;342;342;366;376;472;419;464;506;503;529;452;341;330;428;662;765;755;804
96;231;249;246;282;280;342;307;345;397;390;421;345;252;254;296;517;564;580
97;160;155;178;189;182;194;242;228;269;318;290;307;241;184;177;211;366;433
98;108;111;111;127;132;137;139;173;165;208;249;217;215;178;137;139;142;283
99;71;77;72;70;89;81;95;92;115;116;158;174;148;157;114;91;97;103
100 e oltre;97;125;141;138;132;152;166;163;175;209;230;239;268;285;272;254;214;197
Totale;1072927;1074077;1079473;1086346;1088131;1087924;1093905;1098578;1100822;1104369;1106182;1105702;1103254;1102188;1098529;1095614;1091434;1087055
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Maschi
0;5640;5392;5418;5449;5271;5264;5187;5160;5228;5097;4964;5014;4592;4824;4632;4541;4541;4364
1;5800;5633;5392;5433;5459;5255;5276;5188;5143;5245;5058;4961;4962;4577;4800;4612;4556;4565
2;5840;5823;5651;5436;5474;5464;5249;5297;5209;5151;5255;5056;4970;4965;4573;4809;4586;4549
3;5651;5838;5851;5653;5445;5471;5473;5277;5298;5216;5148;5249;5090;4979;4976;4585;4824;4583
4;5632;5649;5835;5858;5678;5454;5514;5526;5321;5306;5255;5169;5258;5088;5001;4996;4592;4824
5;5902;5644;5665;5894;5895;5694;5492;5524;5538;5357;5333;5270;5180;5248;5101;5022;5006;4604
6;5920;5919;5664;5701;5908;5900;5711;5536;5550;5562;5373;5338;5285;5202;5251;5097;5020;5017
7;6008;5940;5934;5690;5718;5921;5948;5761;5569;5581;5571;5397;5343;5295;5201;5258;5109;5027
8;6433;5996;5959;5971;5726;5732;5969;5992;5789;5612;5607;5599;5405;5366;5295;5192;5254;5093
9;6768;6459;6008;5979;6012;5768;5776;6009;6040;5831;5623;5630;5607;5418;5369;5302;5191;5244
10;6889;6769;6479;6037;6009;6021;5816;5809;6055;6069;5853;5626;5631;5609;5425;5373;5288;5215
11;7023;6873;6770;6512;6068;6015;6066;5874;5876;6095;6092;5862;5625;5624;5614;5431;5379;5302
12;6908;7015;6881;6798;6556;6094;6045;6100;5904;5921;6121;6109;5852;5643;5624;5607;5418;5379
13;6995;6914;7012;6888;6830;6563;6144;6073;6136;5938;5929;6119;6109;5858;5657;5627;5603;5417
14;6775;7005;6942;7024;6895;6865;6604;6182;6090;6174;5971;5940;6105;6117;5851;5661;5622;5601
15;6974;6798;7017;6958;7031;6900;6920;6637;6222;6123;6199;5986;5942;6129;6115;5858;5662;5634
16;7183;6973;6824;7064;6999;7041;6910;6970;6679;6283;6147;6201;5991;5954;6150;6121;5861;5680
17;7370;7176;6988;6871;7089;7005;7075;6931;7007;6715;6300;6145;6199;6021;5974;6163;6195;5902
18;7359;7372;7188;7012;6923;7113;7066;7114;6959;7076;6736;6330;6182;6222;6087;6043;6283;6250
19;7589;7334;7343;7195;6995;6922;7178;7105;7151;7007;7098;6762;6341;6210;6284;6186;6216;6356
20;7689;7523;7316;7330;7177;6971;6954;7206;7105;7172;6997;7089;6732;6355;6250;6334;6265;6216
21;7569;7624;7518;7329;7280;7136;6993;7016;7239;7140;7191;7003;7075;6732;6372;6278;6401;6279
22;7413;7487;7595;7544;7301;7263;7144;7026;7039;7293;7155;7157;6994;7099;6741;6383;6296;6386
23;7681;7350;7473;7574;7511;7226;7288;7176;7055;7117;7321;7140;7141;6998;7080;6746;6396;6293
24;7556;7609;7358;7463;7480;7389;7258;7339;7160;7104;7139;7269;7149;7153;6958;7032;6751;6338
25;7758;7494;7609;7386;7378;7344;7388;7249;7309;7169;7084;7086;7233;7140;7133;6909;7037;6685
26;8043;7700;7553;7641;7292;7243;7283;7331;7210;7307;7132;7043;7026;7222;7114;7077;6850;6955
27;8109;7973;7740;7618;7595;7166;7242;7258;7287;7231;7311;7058;6983;6979;7194;7036;7010;6769
28;8171;8068;8015;7818;7566;7503;7134;7227;7154;7217;7209;7263;6993;6953;6943;7130;6962;6934
29;7970;8122;8113;8080;7765;7499;7510;7129;7143;7132;7229;7107;7171;6969;6912;6927;7033;6892
30;8314;7951;8189;8233;8020;7710;7530;7511;7125;7124;7124;7213;7033;7175;6948;6873;6847;6950
31;8020;8256;7983;8292;8228;7933;7687;7540;7456;7133;7095;7076;7177;7012;7124;6888;6761;6747
32;8129;8000;8280;8012;8231;8168;7971;7676;7485;7464;7128;7085;7067;7158;7017;7045;6823;6677
33;8091;8068;8019;8303;7933;8170;8195;7951;7689;7466;7459;7099;7057;7062;7094;6979;6962;6777
34;8042;8019;8066;8005;8200;7800;8143;8067;7862;7701;7457;7434;7079;7084;7085;7070;6964;6924
35;8218;8020;8056;8106;7955;8096;7829;8109;7991;7865;7731;7457;7425;7102;7096;7110;7044;6914
36;8347;8250;8072;8129;8150;7934;8170;7863;8132;8045;7915;7758;7440;7404;7095;7060;7095;7015
37;8509;8360;8299;8145;8166;8136;7969;8222;7878;8150;8094;7915;7732;7472;7394;7108;7028;7076
38;8024;8508;8402;8360;8158;8145;8179;8011;8228;7936;8146;8123;7901;7742;7476;7359;7059;7016
39;7938;7974;8540;8430;8355;8165;8215;8237;7998;8269;7971;8178;8136;7920;7750;7487;7354;7043
40;8030;7932;7993;8610;8452;8328;8227;8258;8232;8013;8285;7942;8203;8160;7934;7758;7495;7372
41;7811;8016;7930;8053;8630;8421;8369;8308;8308;8281;8011;8299;7957;8225;8109;7890;7730;7477
42;7869;7811;8023;7952;8073;8617;8436;8411;8337;8336;8286;8037;8307;7971;8206;8097;7851;7721
