"Popolazione per età, vista per singola area - Provincia: Sassari"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Sassari"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;3784;3991;4122;3952;4028;3958;4182;4187;4114;4182;3950;3887;3607;3551;3429;3309;3219;2910
1;3864;3803;3994;4114;3965;4021;3973;4211;4164;4081;4147;3969;3856;3580;3539;3428;3309;3187
2;3986;3912;3850;3997;4124;3974;4058;4010;4212;4153;4059;4140;3978;3848;3564;3528;3426;3280
3;3804;4005;3931;3898;3986;4140;3997;4104;4038;4208;4139;4075;4139;3985;3847;3568;3529;3426
4;3862;3836;4026;3959;3931;4003;4171;4018;4096;4051;4217;4168;4107;4167;3989;3851;3559;3519
5;3983;3886;3850;4047;4007;3938;4048;4195;4024;4118;4061;4243;4158;4114;4171;3990;3856;3563
6;4040;4017;3901;3871;4071;4033;3958;4051;4195;4057;4128;4085;4248;4158;4124;4170;4013;3838
7;4042;4069;4049;3934;3904;4089;4074;3985;4059;4220;4062;4160;4111;4238;4157;4128;4169;4046
8;4310;4071;4098;4076;4006;3935;4106;4121;4015;4086;4225;4075;4179;4117;4241;4180;4122;4163
9;4509;4334;4092;4119;4099;4021;3971;4145;4130;4029;4089;4257;4089;4166;4126;4247;4182;4136
10;4702;4539;4365;4120;4150;4124;4068;4009;4175;4150;4054;4107;4263;4094;4167;4120;4253;4190
11;4801;4713;4567;4401;4160;4177;4168;4109;4054;4195;4181;4086;4122;4272;4097;4176;4129;4253
12;4878;4824;4730;4598;4432;4191;4207;4207;4129;4078;4213;4199;4101;4137;4267;4096;4169;4139
13;4779;4893;4844;4753;4627;4449;4236;4235;4231;4144;4107;4242;4209;4097;4147;4269;4090;4172
14;4820;4815;4904;4848;4775;4648;4508;4271;4281;4245;4163;4125;4271;4218;4098;4146;4266;4106
15;5039;4842;4822;4912;4872;4772;4694;4543;4286;4301;4264;4197;4125;4284;4233;4103;4138;4272
16;5263;5033;4855;4828;4926;4888;4796;4721;4573;4319;4322;4282;4208;4155;4296;4237;4106;4149
17;5264;5262;5031;4872;4849;4940;4917;4817;4758;4594;4326;4343;4302;4231;4169;4318;4262;4126
18;5350;5254;5275;5033;4901;4866;4989;4934;4827;4788;4635;4352;4372;4313;4254;4222;4441;4313
19;5696;5349;5257;5247;5024;4943;4911;5024;5002;4847;4820;4668;4388;4399;4357;4292;4319;4475
20;5878;5682;5364;5253;5246;5045;5015;4968;5081;5034;4869;4870;4668;4411;4413;4408;4386;4367
21;5981;5831;5685;5365;5246;5237;5115;5085;5004;5124;5066;4910;4892;4703;4458;4473;4466;4414
22;6091;5954;5821;5698;5374;5223;5327;5176;5167;5056;5152;5116;4951;4916;4742;4507;4500;4483
23;6575;6059;5970;5795;5676;5386;5286;5383;5222;5225;5112;5190;5151;4958;4937;4782;4527;4534
24;6671;6591;6066;5974;5795;5689;5483;5392;5437;5283;5262;5153;5252;5173;4985;4971;4809;4557
25;7078;6683;6634;6068;5979;5804;5791;5542;5445;5477;5314;5308;5170;5275;5232;5033;4977;4811
26;7517;7120;6784;6656;6082;5989;5872;5851;5583;5486;5501;5373;5374;5188;5296;5223;5011;4988
27;7610;7510;7223;6846;6696;6112;6115;5936;5886;5635;5534;5539;5384;5390;5223;5292;5167;5018
28;7796;7680;7594;7289;6874;6688;6251;6173;5927;5912;5674;5574;5607;5385;5403;5241;5270;5176
29;7571;7853;7759;7679;7283;6926;6818;6350;6194;5933;5942;5700;5596;5650;5412;5414;5221;5302
30;7548;7610;7969;7842;7699;7359;7065;6936;6388;6234;5963;5969;5703;5614;5664;5422;5395;5236
31;7399;7596;7711;8052;7824;7742;7495;7176;6997;6421;6227;6005;6002;5706;5650;5659;5421;5424
32;7609;7375;7662;7706;8006;7811;7816;7509;7129;7009;6389;6273;6038;6015;5721;5636;5656;5439
33;7370;7614;7420;7695;7686;8027;7905;7867;7465;7132;6999;6433;6330;6049;6042;5740;5592;5634
34;7368;7402;7619;7461;7706;7710;8092;7965;7911;7486;7116;7056;6477;6356;6069;6069;5722;5591
35;7799;7385;7436;7662;7504;7714;7814;8152;7989;7928;7472;7154;7062;6487;6384;6083;6054;5715
36;7809;7816;7495;7519;7728;7531;7842;7909;8183;8022;7965;7498;7218;7065;6494;6392;6074;6063
37;7875;7859;7836;7572;7575;7795;7642;7935;7934;8249;8063;7993;7551;7219;7081;6508;6383;6094
38;7594;7931;7924;7880;7637;7629;7924;7730;7939;7980;8262;8106;8024;7562;7214;7108;6510;6373
39;7339;7649;7987;7981;7935;7714;7749;8017;7773;7984;8026;8304;8160;8016;7584;7214;7114;6525
40;7216;7391;7715;8020;8019;7969;7846;7807;8074;7837;8030;8036;8353;8208;8024;7600;7200;7133
41;7173;7235;7458;7743;8067;8051;8045;7903;7864;8134;7895;8062;8064;8383;8234;8025;7605;7210
42;6832;7220;7305;7490;7784;8112;8153;8123;7966;7894;8156;7903;8092;8099;8381;8249;7992;7609
43;6792;6867;7242;7331;7547;7829;8194;8213;8155;8003;7927;8214;7934;8101;8108;8410;8224;8048
44;6613;6832;6895;7285;7353;7569;7916;8272;8228;8163;8041;7980;8258;7966;8121;8093;8425;8251
45;6498;6649;6871;6919;7342;7369;7612;7977;8309;8254;8172;8100;7999;8259;7989;8114;8100;8445
46;6402;6529;6696;6924;6958;7339;7431;7628;8001;8345;8281;8216;8140;8010;8236;8009;8123;8116
47;6582;6415;6557;6740;6951;6988;7404;7458;7668;8010;8366;8298;8250;8133;8022;8245;8021;8143
48;6153;6608;6439;6587;6777;6976;7038;7416;7465;7673;8000;8389;8313;8287;8153;8043;8251;8036
49;6159;6175;6640;6477;6616;6808;7009;7072;7444;7492;7688;8008;8403;8353;8280;8149;8065;8244
50;6219;6177;6199;6662;6483;6636;6867;7061;7083;7474;7510;7696;8010;8376;8348;8264;8155;8081
51;6210;6242;6185;6235;6682;6529;6674;6910;7049;7123;7466;7522;7697;8016;8363;8349;8274;8146
52;5990;6245;6264;6199;6267;6695;6580;6698;6919;7066;7105;7482;7566;7690;8037;8384;8340;8257
53;6325;6017;6270;6267;6228;6264;6741;6615;6691;6945;7059;7112;7503;7548;7679;8024;8372;8339
54;5999;6338;6042;6283;6265;6249;6295;6766;6622;6699;6959;7053;7117;7502;7553;7679;8009;8372
55;5791;6027;6349;6060;6295;6280;6278;6313;6762;6647;6713;6944;7077;7098;7500;7518;7682;8002
56;5440;5826;6052;6382;6077;6327;6285;6306;6311;6768;6654;6720;6952;7076;7094;7487;7495;7697
57;5509;5429;5844;6078;6404;6110;6333;6303;6313;6311;6759;6663;6718;6939;7037;7083;7496;7494
58;5339;5522;5445;5872;6105;6430;6151;6358;6290;6304;6313;6741;6641;6706;6927;7038;7057;7482
59;5459;5344;5539;5441;5906;6164;6461;6189;6352;6249;6277;6298;6726;6616;6693;6905;7036;7040
60;5279;5484;5351;5554;5461;5924;6227;6475;6174;6344;6236;6252;6287;6712;6579;6660;6886;7003
61;5779;5312;5467;5345;5562;5459;5963;6231;6466;6176;6350;6230;6214;6257;6695;6566;6670;6851
62;5482;5766;5289;5480;5346;5577;5502;5949;6208;6456;6156;6330;6219;6178;6240;6663;6523;6641
63;5012;5488;5747;5264;5447;5365;5578;5499;5936;6174;6410;6128;6297;6194;6129;6223;6654;6495
64;4666;5001;5485;5729;5248;5451;5372;5563;5475;5921;6139;6340;6086;6246;6164;6099;6185;6606
65;4622;4685;4975;5461;5721;5227;5465;5348;5541;5440;5874;6114;6263;6051;6219;6129;6081;6147
66;4420;4603;4665;4924;5420;5694;5226;5435;5321;5512;5398;5840;6068;6232;6009;6159;6065;6057
67;4695;4408;4564;4646;4899;5401;5667;5198;5381;5286;5472;5347;5770;6011;6159;5932;6097;6011
68;4469;4666;4379;4494;4622;4892;5337;5621;5144;5353;5235;5422;5264;5705;5966;6076;5883;6037
69;4266;4433;4613;4335;4481;4596;4845;5291;5551;5055;5293;5181;5343;5226;5636;5892;5991;5827
70;4166;4198;4374;4562;4290;4432;4545;4800;5237;5486;4994;5238;5121;5279;5161;5560;5808;5937
71;4352;4101;4132;4312;4489;4229;4395;4501;4722;5172;5406;4931;5155;5018;5209;5080;5474;5729
72;3793;4289;4015;4064;4256;4443;4166;4329;4435;4654;5076;5290;4847;5059;4950;5105;5010;5372
73;3692;3710;4208;3922;3992;4170;4367;4098;4231;4358;4582;4968;5187;4751;4965;4843;5009;4934
74;3416;3594;3621;4109;3856;3892;4075;4290;4005;4153;4271;4504;4864;5084;4651;4863;4743;4907
75;3380;3357;3515;3550;3977;3764;3814;3971;4205;3912;4071;4173;4413;4758;4994;4550;4745;4639
76;3087;3300;3261;3427;3467;3870;3664;3724;3860;4090;3812;3959;4086;4305;4646;4884;4406;4628
77;3235;2993;3182;3172;3334;3355;3734;3551;3570;3734;4006;3713;3855;3978;4184;4519;4759;4289
78;3004;3146;2877;3072;3082;3234;3241;3619;3404;3462;3600;3873;3616;3725;3872;4072;4395;4625
79;2673;2896;2995;2763;2966;2994;3090;3117;3475;3268;3328;3471;3734;3473;3614;3767;3930;4240
80;2315;2563;2746;2882;2626;2846;2870;2931;2981;3315;3165;3187;3364;3604;3316;3470;3624;3773
81;2167;2190;2386;2602;2741;2518;2717;2749;2771;2844;3151;3015;3058;3222;3439;3208;3310;3490
82;1630;2018;2047;2278;2446;2545;2368;2552;2598;2601;2689;2978;2861;2924;3074;3260;3037;3151
83;1130;1514;1867;1927;2102;2251;2379;2179;2353;2441;2451;2515;2802;2723;2733;2913;3058;2869
84;1185;1042;1391;1716;1761;1953;2118;2215;2030;2187;2243;2281;2347;2626;2530;2564;2722;2876
85;1231;1062;971;1280;1557;1638;1794;1968;2039;1862;2019;2062;2120;2160;2442;2326;2399;2534
86;1390;1109;968;863;1147;1426;1499;1633;1806;1871;1701;1850;1861;1933;2004;2248;2128;2206
87;1029;1229;964;904;769;1050;1278;1340;1467;1642;1720;1537;1681;1692;1765;1826;2045;1963
88;993;879;1052;874;789;681;918;1118;1154;1275;1450;1516;1404;1514;1521;1580;1662;1850
89;840;830;716;910;741;693;591;812;992;1019;1087;1278;1311;1234;1327;1342;1390;1491
90;724;707;690;621;746;633;576;510;687;847;879;924;1123;1149;1071;1146;1177;1211
91;584;605;596;569;500;625;521;478;435;598;715;729;786;975;995;891;955;1030
92;477;481;504;486;469;408;528;420;380;376;492;581;616;665;818;825;738;810
93;340;385;349;417;373;361;320;437;332;302;300;384;498;500;563;653;656;617
94;257;264;292;272;325;281;278;256;343;257;230;233;298;392;403;442;513;531
95;186;189;208;232;199;249;215;220;211;278;207;178;184;236;287;303;347;394
96;131;134;141;158;176;149;178;162;177;169;216;153;135;132;182;224;248;274
97;84;100;83;115;119;131;96;137;116;131;130;138;122;98;97;142;177;183
98;43;48;66;61;77;86;87;65;92;84;111;98;96;85;65;73;110;133
99;43;29;24;50;40;53;67;61;40;65;52;77;67;65;59;43;48;74
100 e oltre;55;58;53;43;55;58;75;90;104;83;99;98;110;118;116;111;117;102
Totale;460277;462602;465358;468012;470188;472539;477508;481280;483032;485100;486257;487737;488789;488917;488904;488453;487509;486689
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Maschi
0;1922;2019;2094;2031;2046;2032;2166;2163;2138;2178;2013;2014;1866;1846;1797;1695;1669;1490
1;2001;1933;2021;2090;2044;2034;2045;2179;2153;2122;2151;2019;2001;1852;1825;1795;1697;1670
2;2072;2036;1955;2025;2109;2046;2052;2057;2168;2148;2106;2144;2030;2002;1837;1816;1784;1681
3;1985;2073;2056;1976;2022;2112;2062;2073;2070;2164;2146;2105;2142;2032;1995;1845;1826;1785
4;1964;2006;2074;2074;1992;2027;2137;2081;2068;2078;2167;2157;2128;2156;2039;1997;1835;1815
5;2075;1976;2013;2089;2102;2002;2048;2143;2088;2082;2080;2182;2150;2130;2156;2041;1992;1840
6;2095;2092;1987;2019;2096;2118;2014;2051;2142;2108;2086;2109;2186;2152;2133;2160;2056;1988
7;2066;2110;2108;2010;2040;2103;2132;2029;2044;2161;2110;2105;2118;2178;2150;2135;2171;2076
8;2214;2086;2135;2118;2069;2053;2120;2154;2038;2056;2167;2123;2121;2118;2179;2158;2133;2178
9;2307;2233;2094;2151;2135;2078;2067;2144;2160;2049;2057;2181;2121;2113;2123;2182;2157;2140
10;2409;2324;2248;2110;2170;2144;2106;2081;2161;2172;2055;2067;2182;2128;2109;2123;2179;2162
11;2433;2417;2338;2261;2134;2185;2162;2129;2094;2164;2193;2068;2067;2183;2130;2114;2130;2180
12;2505;2445;2420;2355;2272;2156;2206;2179;2130;2099;2176;2206;2075;2073;2178;2125;2110;2136
13;2419;2514;2467;2435;2379;2287;2190;2222;2197;2132;2113;2200;2207;2071;2083;2175;2116;2112
14;2511;2438;2522;2468;2452;2394;2316;2205;2240;2211;2148;2119;2221;2214;2075;2079;2176;2129
15;2627;2528;2437;2531;2487;2456;2419;2336;2215;2253;2224;2170;2126;2233;2223;2078;2074;2181
16;2695;2625;2538;2442;2540;2496;2475;2433;2353;2238;2265;2238;2180;2141;2251;2224;2079;2086
17;2725;2696;2625;2551;2460;2550;2515;2491;2462;2363;2247;2286;2264;2193;2155;2271;2249;2099
18;2683;2722;2707;2623;2563;2477;2573;2526;2495;2473;2390;2264;2305;2268;2206;2204;2397;2288
19;2979;2683;2725;2693;2616;2589;2503;2590;2560;2505;2492;2404;2297;2327;2295;2236;2302;2428
20;3061;2970;2697;2726;2683;2621;2624;2531;2617;2563;2508;2511;2403;2304;2334;2330;2320;2341
21;3109;3030;2957;2693;2721;2678;2646;2654;2533;2624;2577;2514;2510;2417;2342;2386;2373;2341
22;3034;3094;3014;2951;2692;2701;2715;2670;2686;2574;2627;2600;2538;2516;2450;2369;2408;2397
23;3313;3004;3099;2982;2934;2699;2717;2740;2690;2704;2590;2647;2615;2539;2527;2481;2384;2435
24;3426;3315;3010;3093;2974;2919;2750;2765;2754;2710;2720;2607;2678;2619;2551;2543;2499;2401
25;3611;3427;3333;3012;3093;2979;2955;2786;2785;2772;2715;2738;2619;2688;2656;2598;2550;2500
26;3813;3620;3481;3335;3005;3087;3015;2970;2793;2789;2779;2734;2776;2620;2714;2671;2584;2582
27;3885;3801;3670;3490;3357;3001;3136;3050;2972;2814;2807;2790;2754;2778;2642;2715;2645;2599
28;3921;3921;3846;3703;3505;3344;3050;3163;3031;2986;2826;2833;2838;2756;2791;2656;2711;2656
29;3805;3947;3958;3913;3706;3533;3395;3096;3149;3030;2996;2836;2833;2855;2767;2787;2663;2731
30;3743;3824;4030;3997;3944;3749;3583;3453;3108;3188;3042;3011;2850;2852;2866;2771;2781;2664
31;3716;3754;3886;4072;3977;3970;3808;3640;3493;3138;3192;3049;3021;2866;2876;2872;2775;2787
32;3864;3720;3805;3922;4060;3977;4031;3830;3631;3524;3133;3217;3075;3042;2867;2875;2864;2778
33;3651;3871;3760;3832;3914;4082;4002;4059;3819;3642;3525;3176;3267;3069;3062;2864;2853;2853
34;3667;3644;3852;3762;3818;3904;4096;3991;4066;3794;3621;3554;3198;3274;3096;3073;2860;2864
35;3854;3666;3661;3877;3772;3807;3926;4112;3999;4057;3802;3651;3560;3206;3282;3099;3060;2853
36;3899;3870;3716;3714;3903;3801;3860;3969;4144;4024;4087;3807;3688;3573;3227;3285;3085;3082
37;3880;3922;3879;3754;3753;3944;3850;3896;3985;4182;4040;4092;3829;3676;3602;3222;3290;3089
38;3694;3897;3959;3902;3790;3798;4023;3885;3887;3997;4194;4074;4123;3827;3680;3617;3223;3290
39;3665;3734;3923;3997;3924;3834;3856;4053;3897;3908;4032;4213;4120;4124;3852;3691;3608;3222
40;3544;3698;3762;3948;4019;3931;3893;3889;4064;3929;3935;4040;4247;4158;4124;3871;3688;3629
41;3567;3546;3729;3782;3975;4035;3970;3917;3930;4101;3966;3945;4066;4267;4178;4116;3874;3680
42;3382;3588;3597;3763;3804;3992;4082;3996;3934;3935;4112;3977;3970;4080;4266;4190;4093;3879
43;3393;3397;3607;3605;3809;3832;4039;4113;4013;3947;3943;4135;3995;3982;4077;4273;4179;4111
44;3260;3407;3402;3624;3619;3819;3872;4072;4112;4025;3954;3967;4161;4011;4005;4071;4285;4201
45;3293;3273;3420;3407;3674;3630;3832;3896;4084;4136;4031;3990;3988;4164;4029;4001;4069;4303
46;3207;3306;3309;3438;3444;3670;3654;3843;3907;4083;4153;4046;4007;3985;4161;4032;3996;4088
47;3318;3212;3327;3331;3446;3461;3694;3674;3853;3903;4088;4152;4062;4017;3992;4157;4043;4001
48;3138;3338;3231;3342;3354;3450;3486;3692;3656;3840;3890;4099;4154;4092;4024;4002;4160;4058
49;3058;3152;3349;3245;3351;3374;3461;3502;3699;3671;3847;3889;4112;4182;4081;4019;4025;4156
50;3047;3063;3164;3355;3243;3355;3403;3468;3500;3714;3672;3850;3889;4107;4175;4065;4018;4044
51;3077;3059;3056;3176;3370;3261;3365;3422;3446;3516;3714;3682;3835;3893;4088;4172;4063;4014
52;3038;3099;3064;3061;3197;3374;3279;3368;3423;3436;3502;3716;3694;3837;3900;4106;4172;4059
53;3115;3050;3111;3057;3078;3196;3380;3294;3347;3433;3429;3507;3730;3683;3832;3891;4111;4178
54;3045;3121;3062;3105;3053;3085;3200;3390;3287;3344;3444;3422;3511;3729;3691;3835;3892;4107
55;2885;3058;3120;3068;3110;3056;3090;3195;3390;3296;3349;3429;3441;3495;3718;3669;3838;3885
56;2666;2901;3067;3127;3063;3126;3047;3100;3188;3382;3295;3357;3426;3436;3493;3710;3659;3846
57;2705;2656;2897;3073;3129;3082;3123;3056;3095;3173;3375;3296;3348;3415;3412;3479;3709;3664
58;2584;2711;2652;2904;3092;3134;3097;3134;3037;3086;3173;3366;3290;3334;3410;3410;3464;3702
59;2624;2586;2709;2654;2921;3106;3142;3109;3129;3012;3058;3166;3353;3260;3328;3393;3408;3448
60;2489;2638;2591;2718;2662;2922;3141;3141;3094;3117;2997;3034;3150;3338;3234;3308;3378;3398
