"Popolazione per età, vista per singola area - Provincia: Savona"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Savona"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;1875;2030;2069;2108;2161;2094;2156;2143;2112;2052;1993;2045;1909;1904;1799;1687;1581;1499
1;1945;1928;2041;2082;2136;2187;2118;2179;2157;2131;2052;2006;2064;1897;1900;1801;1675;1581
2;1851;1978;1948;2080;2092;2160;2216;2163;2188;2170;2135;2068;2024;2041;1888;1905;1820;1681
3;1851;1885;2007;1971;2094;2105;2187;2227;2167;2217;2185;2164;2074;2023;2050;1890;1915;1808
4;1823;1888;1909;2048;1996;2131;2122;2221;2246;2185;2225;2199;2190;2075;2026;2052;1875;1908
5;1825;1860;1942;1924;2090;2018;2164;2148;2216;2282;2184;2240;2221;2184;2085;2031;2048;1890
6;1780;1858;1907;1969;1971;2118;2044;2198;2156;2242;2287;2216;2246;2218;2181;2073;2019;2053
7;1875;1822;1891;1956;2012;1994;2157;2077;2215;2176;2274;2303;2233;2258;2227;2170;2083;2016
8;1820;1919;1851;1917;1989;2047;2033;2200;2125;2246;2195;2286;2307;2241;2254;2223;2162;2077
9;2028;1851;1943;1869;1966;2020;2083;2070;2221;2156;2252;2217;2290;2307;2244;2243;2225;2180
10;1867;2050;1880;1963;1910;1989;2063;2127;2093;2269;2171;2276;2238;2290;2300;2242;2234;2229
11;1949;1893;2081;1914;2002;1927;2027;2099;2130;2112;2284;2185;2293;2234;2289;2298;2246;2252
12;1873;1967;1915;2127;1936;2042;1953;2060;2127;2156;2136;2313;2174;2304;2233;2286;2304;2242
13;1877;1895;2004;1943;2167;1961;2083;1980;2090;2153;2161;2152;2317;2180;2308;2245;2280;2299
14;1751;1893;1930;2020;1958;2194;1993;2101;1993;2122;2162;2174;2159;2324;2200;2300;2270;2272
15;1786;1775;1907;1961;2041;1961;2220;2028;2113;2027;2142;2176;2176;2167;2322;2209;2295;2277
16;1879;1808;1786;1915;2003;2069;2004;2251;2058;2141;2039;2171;2189;2191;2168;2339;2195;2298
17;1950;1897;1819;1816;1941;2034;2104;2036;2260;2093;2153;2063;2178;2201;2188;2172;2340;2207
18;1952;1971;1931;1857;1874;2009;2063;2161;2088;2284;2124;2181;2094;2202;2204;2217;2239;2354
19;2028;1964;2000;1953;1901;1918;2090;2111;2217;2112;2326;2163;2204;2127;2208;2262;2292;2252
20;2026;2046;2013;2031;1991;1938;1969;2162;2172;2259;2151;2377;2182;2230;2149;2255;2325;2315
21;2066;2043;2095;2053;2066;2000;1994;2042;2206;2224;2293;2187;2395;2217;2263;2214;2293;2350
22;2255;2105;2129;2115;2098;2113;2059;2051;2075;2257;2273;2354;2215;2413;2241;2295;2269;2318
23;2432;2276;2193;2172;2159;2149;2222;2136;2087;2159;2299;2325;2373;2235;2452;2255;2296;2296
24;2699;2484;2379;2266;2193;2200;2226;2324;2186;2133;2179;2382;2375;2392;2242;2483;2267;2300
25;2838;2735;2605;2431;2296;2232;2303;2301;2379;2277;2189;2229;2422;2372;2396;2244;2513;2298
26;3221;2901;2869;2660;2470;2301;2308;2399;2371;2448;2273;2235;2280;2446;2387;2425;2274;2515
27;3443;3282;3028;2920;2706;2493;2399;2366;2441;2417;2480;2339;2283;2273;2449;2403;2428;2274
28;3570;3508;3411;3128;3004;2776;2604;2519;2471;2495;2460;2520;2398;2289;2279;2472;2419;2420
29;3792;3618;3624;3466;3190;3052;2855;2693;2552;2490;2493;2536;2560;2385;2315;2280;2444;2438
30;3870;3847;3716;3702;3546;3255;3134;2921;2701;2562;2544;2528;2574;2561;2392;2343;2296;2453
31;3970;3920;3956;3755;3789;3604;3297;3204;2963;2727;2564;2580;2551;2575;2520;2418;2354;2306
32;4146;4019;4020;3990;3758;3820;3626;3368;3245;2992;2756;2602;2571;2580;2570;2536;2438;2346
33;4112;4219;4131;4059;4000;3770;3834;3667;3406;3236;2981;2789;2620;2560;2583;2579;2530;2443
34;4149;4226;4333;4194;4091;4019;3826;3884;3675;3402;3245;3011;2808;2584;2599;2581;2585;2546
35;4259;4203;4319;4398;4226;4143;4086;3859;3907;3681;3390;3277;3042;2788;2577;2605;2581;2587
36;4437;4311;4310;4398;4460;4275;4256;4150;3925;3996;3670;3450;3317;3060;2803;2589;2611;2594
37;4434;4510;4421;4356;4430;4529;4354;4316;4164;3981;4005;3711;3456;3322;3060;2847;2597;2624
38;4222;4519;4618;4451;4400;4465;4579;4422;4356;4224;3991;4034;3727;3438;3299;3061;2830;2587
39;3995;4279;4601;4710;4489;4465;4566;4647;4450;4384;4217;4006;4048;3745;3449;3284;3062;2836
40;4008;4048;4362;4641;4732;4543;4538;4637;4667;4467;4388;4270;4013;4049;3749;3459;3288;3074
41;3647;4030;4117;4413;4686;4775;4600;4593;4682;4660;4490;4421;4282;4022;4047;3733;3492;3276
42;3795;3693;4101;4157;4454;4745;4842;4661;4644;4742;4665;4503;4399;4289;4013;4052;3752;3513
43;3619;3835;3735;4123;4228;4503;4818;4863;4704;4694;4754;4710;4526;4405;4288;4026;4041;3765
44;3443;3637;3902;3787;4147;4262;4547;4838;4894;4717;4706;4794;4718;4512;4414;4295;4049;4054
45;3530;3473;3695;3942;3842;4199;4330;4608;4855;4957;4734;4733;4783;4727;4532;4424;4314;4054
46;3488;3561;3541;3725;3979;3880;4252;4375;4640;4886;4945;4754;4751;4775;4735;4522;4428;4332
47;3459;3502;3627;3583;3741;3985;3928;4314;4404;4666;4889;4977;4784;4738;4752;4721;4522;4433
48;3355;3490;3571;3644;3610;3774;4033;3956;4342;4444;4664;4886;4964;4788;4727;4747;4707;4541
49;3331;3389;3536;3608;3659;3644;3817;4054;3985;4362;4437;4685;4869;4964;4774;4726;4760;4710
50;3379;3340;3425;3541;3634;3689;3686;3832;4071;4005;4350;4445;4676;4888;4942;4773;4717;4744
51;3611;3388;3378;3453;3571;3675;3718;3738;3862;4080;3997;4346;4429;4673;4876;4929;4771;4728
52;3639;3616;3418;3411;3482;3581;3671;3755;3744;3890;4084;3997;4322;4440;4626;4878;4921;4767
53;3842;3652;3635;3443;3408;3510;3604;3691;3745;3774;3890;4082;4005;4312;4425;4623;4867;4911
54;4126;3871;3695;3664;3458;3429;3521;3619;3711;3765;3778;3895;4076;3996;4315;4414;4622;4862
55;4243;4171;3894;3724;3665;3484;3457;3540;3614;3726;3772;3793;3878;4062;3996;4302;4428;4605
56;3312;4249;4210;3926;3744;3677;3491;3495;3551;3611;3723;3764;3782;3867;4065;3971;4290;4426
57;3599;3318;4269;4218;3963;3785;3713;3485;3512;3546;3617;3712;3748;3782;3854;4060;3946;4275
58;3601;3633;3339;4304;4237;3995;3833;3718;3497;3526;3538;3595;3707;3733;3746;3852;4058;3946
59;3884;3620;3652;3354;4299;4260;4002;3837;3741;3494;3523;3516;3597;3704;3740;3721;3843;4042
60;3964;3890;3634;3665;3367;4337;4282;4032;3856;3726;3508;3523;3524;3581;3700;3724;3750;3854
61;4336;3985;3906;3658;3691;3385;4343;4283;4055;3858;3717;3499;3509;3499;3570;3684;3714;3751
62;4289;4355;3978;3902;3661;3698;3408;4345;4269;4063;3848;3695;3491;3477;3494;3557;3703;3718
63;4349;4290;4383;3992;3907;3657;3720;3394;4358;4276;4023;3835;3690;3474;3454;3479;3552;3690
64;4154;4359;4302;4367;3970;3919;3671;3696;3373;4356;4257;3999;3799;3695;3452;3438;3460;3547
65;3856;4159;4357;4289;4353;3972;3916;3666;3679;3370;4337;4190;3958;3768;3691;3445;3408;3446
66;4058;3841;4127;4341;4279;4352;3977;3908;3642;3640;3350;4290;4155;3906;3721;3659;3430;3378
67;3920;4039;3827;4116;4330;4254;4310;3947;3883;3634;3625;3300;4231;4103;3865;3695;3651;3400
68;3786;3906;4005;3803;4092;4314;4218;4260;3922;3843;3584;3575;3265;4159;4062;3836;3656;3612
69;3829;3763;3894;3950;3777;4065;4300;4200;4224;3896;3781;3506;3541;3219;4110;4003;3785;3635
