"Popolazione per età, vista per singola area - Provincia: Siena"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Siena"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;1919;2021;2100;2202;2199;2215;2384;2298;2400;2411;2338;2280;2175;2136;2017;1968;1863;1768
1;1957;1962;2035;2125;2204;2215;2238;2404;2329;2416;2416;2344;2271;2178;2128;2011;1966;1850
2;1938;2006;1998;2059;2146;2214;2254;2264;2404;2324;2410;2438;2337;2242;2179;2139;2025;1968
3;1768;1970;2045;2025;2066;2155;2229;2276;2284;2428;2355;2382;2423;2339;2250;2154;2136;2025
4;1835;1816;2004;2079;2069;2092;2204;2256;2303;2306;2416;2352;2386;2407;2335;2256;2155;2142
5;1932;1878;1862;2007;2128;2098;2114;2237;2266;2323;2315;2436;2369;2405;2420;2314;2257;2161
6;1789;1972;1916;1904;2032;2172;2123;2138;2248;2261;2318;2314;2426;2362;2391;2386;2304;2260
7;1843;1825;2011;1956;1955;2068;2216;2170;2162;2277;2258;2325;2321;2412;2335;2375;2373;2289
8;1857;1873;1859;2051;1996;1976;2108;2283;2200;2172;2276;2279;2336;2319;2410;2321;2365;2373
9;1959;1877;1899;1907;2099;2009;2024;2142;2308;2229;2177;2271;2280;2342;2327;2395;2329;2394
10;1868;1980;1926;1949;1952;2119;2056;2073;2173;2334;2244;2183;2281;2280;2333;2318;2397;2329
11;2010;1910;2014;1960;2003;1963;2171;2092;2096;2184;2354;2252;2167;2259;2288;2329;2294;2395
12;1934;2020;1945;2043;1978;2022;2017;2222;2122;2129;2209;2353;2249;2173;2255;2272;2311;2299
13;1966;1953;2036;1982;2079;2006;2065;2070;2246;2144;2146;2221;2337;2240;2179;2252;2277;2305
14;1877;1997;1972;2060;2017;2117;2051;2108;2100;2265;2163;2149;2235;2332;2229;2180;2265;2283
15;1929;1898;2022;1998;2082;2039;2159;2089;2127;2124;2281;2166;2153;2213;2334;2232;2185;2277
16;1946;1933;1914;2043;2019;2094;2067;2210;2123;2157;2155;2267;2160;2133;2190;2325;2245;2188
17;2011;1960;1944;1940;2064;2029;2141;2110;2245;2145;2185;2170;2272;2163;2147;2194;2316;2249
18;2104;2041;1996;1995;1991;2103;2093;2209;2173;2280;2193;2178;2180;2269;2180;2163;2240;2344
19;2208;2130;2121;2074;2038;2028;2192;2207;2276;2219;2328;2226;2196;2194;2292;2217;2253;2294
20;2188;2263;2188;2166;2106;2079;2117;2301;2269;2357;2266;2388;2271;2223;2204;2319;2293;2300
21;2247;2234;2350;2246;2224;2145;2158;2192;2372;2338;2403;2309;2413;2276;2236;2227;2387;2323
22;2382;2314;2328;2439;2280;2259;2274;2285;2249;2441;2380;2470;2345;2441;2281;2252;2314;2468
23;2731;2445;2439;2398;2497;2339;2398;2366;2376;2327;2501;2426;2522;2359;2452;2323;2337;2358
24;2853;2785;2592;2532;2467;2559;2434;2520;2479;2424;2407;2585;2475;2543;2387;2493;2405;2390
25;2962;2917;2914;2709;2573;2545;2715;2593;2634;2583;2493;2476;2667;2527;2555;2404;2589;2441
26;3235;3091;3118;3026;2768;2643;2682;2856;2669;2734;2651;2574;2563;2671;2562;2593;2508;2662
27;3423;3318;3262;3243;3133;2838;2770;2807;2936;2747;2787;2720;2622;2598;2718;2581;2687;2563
28;3373;3530;3502;3399;3350;3231;2999;2925;2886;2982;2818;2840;2781;2636;2630;2719;2643;2766
29;3696;3506;3700;3657;3529;3427;3386;3103;2975;2927;3031;2867;2886;2816;2670;2651;2775;2685
30;3614;3797;3703;3832;3756;3606;3575;3522;3176;3006;2976;3087;2934;2897;2817;2678;2666;2810
31;3637;3697;3911;3781;3904;3804;3720;3688;3563;3222;3045;3029;3130;2954;2936;2817;2710;2696
32;3821;3749;3830;3966;3837;3905;3895;3767;3719;3598;3236;3077;3015;3159;2991;2939;2842;2728
33;3749;3883;3850;3881;3998;3870;3979;3904;3783;3698;3562;3270;3109;3016;3156;3018;2944;2845
34;3894;3828;4015;3885;3915;4047;3920;4058;3918;3756;3679;3542;3271;3111;3021;3175;3007;2963
35;4132;3972;3943;4047;3892;3936;4111;3988;4056;3930;3748;3703;3573;3288;3087;2998;3147;2982
36;3895;4225;4072;4057;4074;3924;3998;4173;4012;4102;3940;3735;3718;3572;3256;3095;2989;3144
37;4031;3949;4320;4149;4090;4105;4004;4064;4222;4049;4080;3952;3773;3737;3575;3257;3129;3029
38;3694;4073;4009;4377;4181;4101;4179;4077;4096;4253;4041;4078;3960;3771;3745;3567;3277;3118
39;3603;3763;4152;4078;4382;4195;4210;4242;4086;4130;4262;4049;4098;3935;3777;3740;3547;3270
40;3615;3633;3816;4205;4097;4385;4273;4283;4264;4094;4137;4261;4015;4090;3937;3759;3776;3559
41;3470;3637;3720;3883;4227;4120;4454;4345;4278;4306;4089;4134;4266;4030;4078;3920;3753;3809
42;3587;3478;3689;3744;3909;4227;4178;4500;4373;4294;4320;4100;4114;4243;4019;4070;3921;3788
43;3394;3623;3545;3746;3753;3937;4278;4224;4513;4417;4293;4323;4102;4125;4264;4011;4063;3913
44;3271;3412;3692;3582;3767;3754;3985;4357;4230;4530;4433;4305;4305;4097;4123;4255;4000;4061
45;3278;3273;3476;3728;3589;3784;3833;4055;4373;4234;4528;4439;4326;4297;4083;4090;4230;4002
46;3262;3298;3315;3517;3729;3612;3856;3894;4070;4392;4242;4516;4434;4296;4286;4096;4102;4213
47;3264;3290;3343;3347;3556;3751;3660;3907;3907;4105;4400;4241;4504;4407;4304;4286;4099;4103
48;3256;3285;3340;3360;3364;3566;3831;3685;3942;3945;4083;4404;4258;4508;4409;4279;4310;4098
49;3170;3246;3333;3375;3387;3382;3599;3871;3722;3956;3948;4078;4401;4256;4497;4384;4275;4295
50;3183;3173;3289;3382;3389;3400;3419;3658;3886;3740;3965;3958;4072;4387;4236;4486;4379;4258
51;3271;3187;3214;3304;3386;3401;3449;3449;3679;3886;3734;3957;3954;4064;4400;4202;4491;4354
52;3452;3294;3213;3243;3325;3392;3429;3470;3469;3683;3876;3732;3961;3952;4069;4384;4217;4483
53;3853;3457;3313;3223;3228;3326;3423;3447;3492;3483;3694;3892;3718;3947;3950;4046;4389;4205
54;3773;3864;3474;3345;3203;3213;3346;3452;3448;3511;3493;3701;3881;3719;3924;3939;4026;4355
55;3559;3784;3884;3486;3350;3202;3245;3348;3471;3442;3518;3507;3664;3864;3705;3913;3935;4014
56;2884;3560;3806;3887;3487;3349;3220;3268;3377;3475;3441;3513;3503;3645;3845;3707;3920;3901
57;2837;2887;3579;3814;3863;3492;3346;3230;3266;3360;3454;3433;3471;3495;3654;3823;3699;3912
58;3030;2839;2894;3582;3807;3849;3502;3372;3230;3238;3363;3423;3429;3456;3480;3651;3801;3685
59;2783;3034;2838;2890;3566;3798;3837;3511;3346;3231;3232;3357;3420;3420;3443;3450;3636;3791
60;3027;2780;3040;2853;2884;3573;3789;3853;3527;3344;3226;3239;3341;3412;3388;3415;3427;3604
61;3689;3021;2794;3036;2854;2871;3568;3820;3844;3515;3328;3220;3233;3329;3387;3389;3395;3388
62;3458;3676;3017;2786;3008;2852;2856;3577;3820;3816;3499;3313;3198;3218;3292;3371;3368;3375
63;3527;3442;3666;2998;2757;2979;2844;2848;3584;3825;3807;3485;3291;3186;3203;3259;3370;3350
64;3239;3515;3426;3640;2985;2753;2965;2834;2851;3554;3812;3797;3481;3271;3171;3177;3241;3350
65;3065;3241;3503;3421;3631;2972;2736;2964;2831;2833;3544;3787;3773;3453;3228;3123;3153;3214
66;3296;3043;3235;3475;3409;3591;2961;2733;2949;2800;2818;3521;3744;3748;3432;3197;3107;3129
67;3239;3273;3022;3238;3455;3383;3565;2934;2712;2928;2785;2789;3492;3709;3726;3415;3178;3082
68;3268;3217;3237;2984;3199;3425;3339;3551;2924;2699;2909;2765;2754;3453;3669;3695;3404;3141
