"Popolazione per età, vista per singola area - Provincia: Siracusa"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Siracusa"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;3757;3867;4013;3937;3826;3818;3692;3845;3812;3787;3673;3629;3492;3467;3291;3235;3102;3026
1;3766;3766;3885;4028;3937;3832;3841;3703;3836;3788;3763;3655;3614;3482;3457;3278;3236;3088
2;3885;3742;3793;3879;4011;3939;3852;3868;3740;3837;3764;3754;3632;3596;3458;3445;3275;3209
3;3891;3863;3763;3804;3883;4011;3945;3872;3886;3755;3808;3778;3752;3626;3598;3419;3396;3245
4;3815;3894;3871;3766;3825;3883;4025;3936;3894;3894;3764;3810;3775;3735;3605;3594;3393;3356
5;3898;3831;3914;3864;3799;3853;3909;4019;3945;3907;3885;3763;3815;3765;3737;3581;3581;3369
6;4198;3899;3839;3938;3876;3831;3880;3939;4050;3965;3914;3884;3759;3812;3768;3705;3556;3582
7;4161;4186;3912;3856;3961;3897;3879;3911;3948;4065;3948;3904;3882;3741;3808;3740;3670;3543
8;4474;4169;4183;3927;3875;3960;3926;3921;3946;3964;4060;3945;3914;3889;3732;3787;3701;3665
9;4737;4482;4170;4186;3935;3890;3986;3966;3948;3992;3968;4051;3946;3898;3884;3722;3762;3691
10;4730;4745;4489;4169;4211;3963;3924;3985;3988;3967;4009;3961;4046;3945;3876;3861;3691;3752
11;4805;4735;4745;4504;4175;4212;3999;3965;4029;4013;3985;4013;3969;4029;3929;3856;3842;3681
12;4816;4823;4736;4743;4534;4179;4225;4035;3992;4050;4016;3988;3987;3947;4017;3918;3844;3839
13;4791;4813;4808;4747;4744;4547;4209;4240;4050;4011;4065;4007;3983;3982;3933;4002;3895;3829
14;4730;4796;4821;4821;4761;4745;4581;4246;4270;4077;4023;4068;3994;3977;3987;3918;3998;3885
15;4892;4745;4790;4834;4833;4766;4779;4618;4260;4281;4100;4016;4071;4000;3946;3999;3906;4012
16;4898;4901;4744;4800;4841;4836;4785;4813;4643;4282;4289;4096;4011;4067;4001;3991;4028;3914
17;5045;4900;4900;4761;4821;4856;4875;4809;4833;4664;4305;4291;4088;4033;4080;4035;4109;4047
18;5120;5036;4904;4899;4772;4825;4904;4926;4834;4871;4679;4299;4276;4103;4063;4178;4167;4166
19;5409;5094;5033;4883;4889;4796;4859;4979;4960;4843;4900;4673;4300;4285;4113;4103;4161;4177
20;5379;5370;5085;5003;4857;4897;4872;4960;5014;4937;4840;4884;4652;4299;4311;4104;4086;4142
21;5561;5341;5354;5057;4995;4855;4963;4964;4984;5008;4952;4828;4860;4679;4287;4297;4060;4073
22;5567;5498;5330;5349;5049;4995;4942;4998;4973;4977;5031;4952;4821;4866;4662;4265;4250;4047
23;5699;5504;5459;5295;5315;5047;5114;5030;4994;4975;4978;5012;4945;4812;4850;4602;4227;4200
24;5693;5648;5490;5425;5286;5296;5112;5206;5026;4987;4972;4986;4993;4944;4780;4810;4548;4187
25;5962;5625;5619;5478;5387;5231;5379;5187;5197;5010;4990;4945;4956;4975;4890;4717;4728;4480
26;6111;5885;5611;5599;5457;5350;5311;5400;5132;5202;5015;4960;4890;4933;4936;4832;4636;4634
27;6288;6045;5864;5610;5554;5418;5402;5304;5367;5120;5217;4977;4942;4860;4895;4882;4742;4537
