"Popolazione per età, vista per singola area - Provincia: Sondrio"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Sondrio"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;1580;1653;1641;1604;1607;1668;1588;1653;1556;1622;1600;1596;1479;1502;1442;1448;1400;1337
1;1685;1577;1662;1630;1621;1614;1681;1599;1658;1541;1599;1614;1601;1467;1503;1439;1457;1420
2;1674;1690;1601;1660;1641;1632;1613;1698;1586;1670;1534;1600;1630;1602;1469;1508;1444;1452
3;1673;1669;1710;1606;1679;1663;1649;1611;1725;1593;1672;1534;1606;1629;1598;1485;1512;1440
4;1674;1684;1680;1732;1624;1683;1690;1663;1620;1720;1597;1695;1554;1616;1633;1595;1469;1513
5;1758;1679;1692;1679;1750;1628;1692;1696;1671;1631;1715;1601;1693;1557;1622;1631;1589;1482
6;1650;1754;1708;1706;1692;1743;1628;1695;1699;1664;1629;1711;1600;1688;1556;1632;1622;1585
7;1612;1653;1764;1722;1716;1696;1753;1640;1704;1695;1665;1621;1716;1599;1690;1550;1644;1617
8;1680;1620;1666;1779;1735;1722;1699;1759;1655;1708;1703;1673;1628;1717;1598;1687;1543;1640
9;1696;1689;1626;1674;1808;1739;1722;1708;1761;1667;1707;1701;1682;1629;1724;1610;1689;1536
10;1722;1710;1710;1637;1685;1812;1747;1738;1730;1783;1669;1715;1720;1679;1636;1718;1614;1690
11;1732;1725;1731;1712;1645;1684;1813;1765;1752;1733;1790;1663;1722;1724;1675;1640;1729;1624
12;1670;1741;1736;1738;1715;1657;1700;1834;1767;1762;1731;1789;1675;1717;1724;1666;1654;1721
13;1708;1680;1752;1738;1745;1718;1657;1710;1836;1783;1760;1729;1799;1676;1715;1716;1657;1648
14;1646;1717;1687;1757;1734;1759;1732;1685;1725;1849;1794;1766;1743;1785;1681;1710;1713;1659
15;1766;1650;1719;1692;1778;1740;1769;1731;1690;1739;1854;1799;1760;1728;1789;1680;1716;1721
16;1746;1766;1659;1723;1711;1780;1752;1770;1735;1698;1753;1850;1802;1759;1729;1795;1677;1706
17;1847;1745;1774;1665;1742;1716;1782;1762;1777;1743;1697;1750;1859;1797;1764;1729;1796;1671
18;1839;1863;1754;1787;1669;1749;1727;1795;1767;1781;1764;1693;1745;1850;1803;1786;1756;1795
19;1948;1839;1869;1772;1791;1680;1764;1734;1806;1787;1795;1763;1675;1739;1854;1827;1830;1777
20;1952;1943;1845;1868;1779;1797;1704;1789;1739;1803;1793;1799;1764;1671;1754;1877;1864;1834
21;2060;1953;1957;1861;1890;1797;1822;1746;1794;1744;1824;1793;1799;1762;1677;1782;1925;1874
22;1994;2065;1985;1978;1890;1913;1828;1838;1767;1799;1746;1844;1796;1803;1773;1692;1814;1942
23;2189;2002;2095;2002;2000;1927;1933;1864;1853;1773;1827;1759;1852;1797;1818;1773;1734;1822
24;2276;2193;2038;2115;2018;2013;1943;1942;1888;1871;1805;1845;1769;1834;1804;1827;1807;1746
25;2412;2296;2203;2057;2114;2036;2033;1945;1927;1888;1866;1812;1863;1781;1850;1830;1866;1832
26;2612;2425;2311;2222;2052;2120;2052;2049;1954;1923;1919;1874;1832;1848;1801;1871;1847;1864
27;2619;2633;2443;2326;2235;2063;2138;2083;2086;1946;1940;1933;1893;1842;1846;1794;1905;1838
