"Popolazione per età, vista per singola area - Provincia: Sud Sardegna"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Sud Sardegna"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;2637;2721;2551;2621;2574;2622;2617;2584;2674;2599;2622;2426;2457;2288;2191;2043;1932;1887
1;2983;2673;2761;2583;2632;2609;2651;2636;2581;2688;2616;2634;2406;2447;2318;2199;2054;1926
2;2788;3008;2684;2784;2598;2663;2660;2666;2665;2619;2704;2644;2631;2392;2429;2288;2181;2047
3;2720;2803;3007;2695;2812;2644;2696;2671;2681;2691;2638;2706;2667;2624;2401;2411;2284;2169
4;2792;2729;2809;3030;2724;2842;2672;2714;2679;2704;2704;2635;2715;2649;2618;2395;2399;2266
5;3025;2805;2760;2814;3049;2744;2852;2692;2726;2694;2713;2706;2635;2703;2640;2606;2384;2403
6;3112;3031;2821;2766;2834;3073;2777;2855;2705;2744;2696;2705;2723;2636;2695;2635;2587;2380
7;3179;3107;3045;2847;2785;2855;3092;2778;2872;2706;2748;2694;2726;2713;2631;2699;2630;2584
8;3307;3197;3110;3038;2867;2803;2862;3104;2792;2882;2722;2730;2703;2717;2695;2641;2685;2614
9;3578;3301;3214;3110;3047;2872;2831;2878;3118;2823;2897;2710;2723;2699;2712;2674;2654;2682
10;3855;3599;3304;3209;3113;3044;2892;2837;2885;3111;2824;2895;2728;2714;2701;2693;2662;2648
11;3905;3841;3592;3333;3228;3121;3053;2900;2862;2886;3113;2814;2884;2726;2700;2701;2679;2654
12;3957;3901;3831;3597;3335;3235;3131;3061;2906;2872;2898;3108;2823;2864;2721;2693;2691;2663
13;3962;3967;3887;3843;3596;3340;3253;3138;3069;2930;2873;2894;3091;2825;2872;2707;2690;2694
14;3988;3964;3976;3883;3853;3604;3363;3261;3133;3076;2927;2846;2890;3099;2811;2859;2702;2672
15;4216;4004;3972;3991;3892;3848;3612;3355;3269;3137;3086;2919;2849;2893;3095;2802;2872;2699
16;4578;4226;4019;3980;4012;3886;3848;3617;3361;3280;3153;3080;2912;2850;2871;3084;2800;2876
17;4619;4567;4238;4039;4002;4001;3876;3839;3607;3374;3279;3138;3087;2909;2844;2859;3115;2802
18;4802;4609;4564;4226;4052;4011;4018;3874;3830;3616;3383;3274;3135;3079;2904;2860;2951;3137
19;5107;4790;4586;4535;4195;4046;3994;4007;3878;3805;3620;3368;3257;3130;3070;2915;2895;2946
20;5221;5048;4733;4564;4489;4187;4040;3970;3992;3865;3789;3599;3341;3250;3124;3062;2951;2871
21;5200;5160;4979;4705;4551;4465;4160;4029;3956;3987;3860;3781;3613;3330;3204;3121;3085;2925
22;5174;5129;5078;4913;4674;4533;4442;4139;4016;3940;3987;3847;3743;3590;3319;3172;3123;3067
23;5388;5094;5066;5007;4883;4644;4536;4422;4080;4026;3939;3987;3813;3717;3558;3308;3164;3096
24;5528;5355;5005;5024;4939;4864;4612;4520;4391;4061;4022;3923;3962;3783;3685;3545;3297;3142
25;5634;5510;5337;4995;5002;4885;4837;4573;4500;4362;4075;4009;3877;3905;3758;3639;3519;3236
26;5789;5584;5461;5325;4950;4948;4854;4770;4514;4478;4357;4075;3987;3822;3857;3750;3616;3446
27;5898;5760;5539;5425;5278;4907;4892;4804;4733;4507;4466;4309;4033;3909;3794;3798;3688;3543
