"Popolazione per età, vista per singola area - Provincia: Taranto"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Taranto"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;5547;5032;4979;5507;5381;5118;5495;5617;5823;5364;5196;5095;4798;4830;4449;4316;4190;3848
1;5624;5587;5083;5090;5515;5395;5259;5486;5460;5349;5312;5188;5081;4773;4784;4429;4270;4171
2;5662;5640;5617;5169;5192;5556;5482;5335;5472;5398;5345;5313;5216;5090;4737;4758;4390;4241
3;5665;5671;5649;5658;5249;5268;5593;5524;5394;5457;5364;5355;5327;5195;5064;4724;4742;4373
4;5697;5699;5691;5687;5716;5317;5455;5624;5552;5453;5448;5362;5366;5317;5175;5032;4695;4733
5;5888;5709;5703;5715;5711;5750;5477;5563;5657;5602;5509;5444;5356;5349;5315;5181;5030;4676
6;5959;5921;5738;5727;5721;5755;5798;5573;5664;5687;5609;5530;5466;5361;5326;5306;5187;5009
7;6110;5981;5913;5791;5744;5723;5790;5831;5627;5749;5715;5621;5524;5481;5351;5325;5304;5171
8;6373;6118;6027;5949;5830;5776;5745;5826;5874;5709;5828;5726;5621;5525;5479;5345;5314;5295
9;6717;6389;6149;6060;5948;5854;5803;5769;5880;5902;5763;5835;5742;5625;5502;5456;5327;5296
10;6773;6742;6404;6167;6094;5949;5885;5831;5806;5906;5919;5759;5848;5711;5629;5503;5448;5324
11;6829;6772;6778;6440;6175;6122;5971;5918;5861;5810;5918;5908;5773;5828;5711;5601;5478;5438
12;6862;6837;6768;6811;6464;6182;6128;5994;5952;5885;5820;5925;5911;5773;5826;5692;5574;5479
13;7057;6856;6854;6796;6827;6497;6213;6155;6024;5976;5901;5813;5930;5899;5773;5823;5693;5569
14;6874;7071;6851;6873;6801;6842;6509;6244;6181;6025;5985;5871;5799;5895;5884;5754;5812;5695
15;7279;6889;7072;6861;6889;6809;6867;6542;6284;6195;6047;5973;5865;5787;5898;5882;5747;5804
16;7328;7282;6908;7101;6875;6898;6814;6877;6578;6298;6205;6044;5976;5854;5780;5885;5887;5755
17;7592;7319;7298;6924;7123;6876;6919;6800;6911;6584;6318;6199;6042;5980;5864;5800;5932;5883
18;7751;7600;7316;7309;6946;7155;6883;6929;6816;6929;6595;6319;6214;6059;6002;5967;5989;5972
19;7889;7732;7617;7308;7278;6957;7166;6883;6957;6810;6950;6583;6302;6204;6062;6042;6037;6037
20;8273;7838;7725;7580;7266;7271;6968;7153;6900;6948;6813;6931;6567;6297;6193;6067;6046;6034
21;8482;8229;7824;7684;7551;7230;7247;6943;7165;6927;6941;6791;6916;6532;6264;6179;6078;6031
22;8726;8398;8160;7764;7666;7514;7199;7217;6951;7149;6924;6922;6761;6879;6502;6227;6154;6026
23;8908;8636;8357;8097;7690;7637;7499;7167;7233;6929;7137;6882;6883;6721;6830;6451;6137;6098
24;9188;8822;8571;8270;8032;7617;7603;7466;7121;7196;6890;7084;6827;6808;6682;6744;6389;6070
25;9374;9046;8730;8523;8164;7924;7525;7527;7392;7087;7140;6832;6982;6790;6730;6595;6628;6292
26;9602;9240;8981;8647;8411;8054;7842;7401;7458;7278;6995;7070;6740;6875;6673;6601;6468;6470
27;9386;9447;9162;8894;8588;8294;7963;7746;7343;7368;7203;6872;6960;6666;6765;6576;6481;6302
28;9083;9302;9396;9091;8833;8496;8251;7848;7672;7227;7277;7099;6756;6874;6546;6649;6396;6343
29;8859;8972;9273;9325;9007;8782;8414;8155;7790;7531;7146;7129;6968;6687;6772;6455;6517;6231
30;8775;8807;8924;9183;9253;8894;8767;8343;8113;7672;7449;7023;6990;6860;6585;6635;6329;6385
31;8392;8773;8765;8865;9157;9191;8884;8722;8314;8059;7534;7327;6964;6880;6764;6540;6514;6214
32;8755;8326;8684;8685;8783;9116;9154;8818;8711;8228;7925;7459;7222;6865;6802;6671;6427;6444
33;8609;8748;8327;8660;8624;8753;9128;9099;8839;8689;8134;7874;7385;7148;6799;6747;6614;6336
34;8484;8609;8747;8317;8621;8602;8774;9124;9130;8836;8638;8043;7833;7351;7119;6726;6693;6572
35;8827;8485;8611;8734;8255;8642;8618;8746;9151;9096;8796;8577;8008;7800;7311;7045;6654;6634
36;8982;8824;8483;8631;8768;8275;8668;8662;8768;9170;9106;8738;8536;7965;7779;7270;7007;6636
37;8818;8959;8831;8506;8643;8786;8309;8691;8692;8753;9154;9041;8724;8517;7928;7739;7197;6983
38;8205;8875;8934;8861;8539;8616;8780;8303;8712;8670;8746;9128;9037;8687;8465;7898;7698;7154
39;8159;8209;8868;8951;8870;8555;8634;8807;8292;8732;8660;8717;9119;9001;8662;8429;7880;7667
40;8482;8156;8211;8909;8957;8882;8605;8686;8827;8310;8745;8624;8701;9079;8995;8618;8382;7854
41;8231;8461;8186;8230;8914;8969;8926;8651;8753;8840;8323;8724;8632;8671;9050;8956;8570;8344
42;7944;8215;8471;8221;8263;8931;8991;8952;8709;8775;8838;8314;8713;8608;8647;9003;8903;8529
43;7637;7946;8204;8475;8219;8286;8955;9007;8969;8744;8809;8794;8310;8672;8584;8628;8967;8876
44;7854;7645;7952;8216;8471;8236;8313;8961;9041;8981;8746;8799;8769;8294;8653;8533;8616;8946
45;7663;7855;7649;7976;8239;8483;8280;8339;8998;9075;8980;8735;8772;8747;8283;8619;8502;8575
46;7809;7668;7847;7650;7998;8238;8493;8286;8355;8991;9081;8953;8728;8754;8735;8260;8608;8492
47;7439;7801;7661;7875;7670;8024;8234;8486;8281;8358;8994;9053;8926;8714;8713;8710;8261;8575
