"Popolazione per età, vista per singola area - Provincia: Teramo"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Teramo"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;2534;2527;2591;2691;2771;2600;2707;2806;2683;2697;2591;2734;2570;2446;2366;2362;2291;2060
1;2502;2567;2572;2605;2695;2754;2651;2714;2805;2657;2684;2631;2678;2562;2444;2369;2342;2281
2;2478;2533;2581;2587;2647;2708;2799;2693;2722;2787;2644;2674;2628;2687;2524;2428;2380;2352
3;2546;2511;2576;2608;2606;2656;2720;2815;2718;2695;2763;2645;2671;2641;2656;2506;2412;2365
4;2587;2573;2552;2616;2647;2625;2694;2751;2805;2700;2679;2760;2647;2682;2621;2607;2498;2421
5;2666;2617;2608;2573;2657;2670;2651;2717;2771;2788;2678;2691;2764;2638;2668;2599;2580;2489
6;2577;2690;2652;2636;2613;2684;2709;2680;2738;2766;2792;2690;2700;2770;2623;2667;2586;2545
7;2821;2618;2743;2669;2684;2626;2710;2761;2712;2745;2764;2783;2683;2694;2752;2626;2658;2587
8;2881;2838;2648;2761;2694;2717;2666;2756;2769;2714;2744;2753;2796;2678;2685;2741;2627;2664
9;2942;2896;2872;2668;2799;2738;2749;2688;2777;2793;2714;2736;2779;2796;2665;2690;2733;2647
10;3036;2961;2931;2927;2723;2811;2762;2778;2700;2794;2812;2709;2728;2774;2797;2672;2697;2735
11;3116;3058;2994;2992;2979;2755;2840;2792;2804;2726;2803;2822;2737;2711;2767;2790;2660;2702
12;2999;3127;3085;3038;3028;2983;2801;2870;2822;2838;2752;2791;2819;2734;2703;2767;2776;2664
13;3054;3030;3150;3114;3065;3052;3014;2843;2888;2827;2846;2744;2786;2808;2737;2704;2772;2793
14;2941;3077;3061;3179;3144;3095;3081;3061;2876;2885;2845;2856;2746;2780;2789;2742;2712;2785
15;3036;2957;3098;3096;3218;3150;3124;3131;3093;2881;2887;2842;2854;2749;2774;2790;2732;2723
16;3196;3039;2987;3149;3133;3253;3187;3141;3162;3095;2895;2888;2838;2863;2754;2786;2785;2742
17;3251;3212;3059;3030;3179;3150;3298;3208;3183;3185;3114;2897;2884;2845;2881;2757;2790;2803
18;3274;3267;3241;3098;3073;3208;3215;3337;3237;3211;3195;3130;2904;2908;2849;2920;2781;2829
19;3372;3279;3311;3280;3117;3094;3274;3295;3402;3282;3261;3223;3130;2910;2941;2898;2932;2808
20;3393;3386;3320;3357;3313;3145;3179;3363;3343;3419;3328;3292;3247;3148;2915;2967;2930;2969
21;3440;3395;3428;3336;3397;3333;3223;3312;3414;3363;3438;3348;3299;3263;3174;2957;2992;2972
22;3534;3467;3433;3485;3358;3441;3434;3333;3378;3423;3403;3480;3372;3310;3286;3195;2974;3056
23;3712;3597;3540;3482;3531;3392;3559;3537;3405;3424;3481;3455;3508;3382;3339;3316;3179;3008
24;3679;3735;3665;3604;3532;3578;3520;3681;3607;3447;3468;3524;3470;3505;3411;3367;3307;3248
25;3962;3721;3816;3742;3652;3575;3708;3638;3727;3629;3484;3526;3519;3488;3510;3408;3385;3310
26;4001;3998;3824;3886;3799;3674;3673;3773;3685;3781;3670;3516;3530;3504;3449;3510;3394;3401
27;4076;4042;4073;3900;3928;3819;3776;3777;3822;3684;3809;3702;3510;3520;3522;3411;3485;3370
28;4211;4132;4156;4117;3967;3991;3933;3872;3795;3845;3737;3805;3688;3533;3487;3532;3383;3468
29;4339;4244;4243;4249;4187;4010;4095;3981;3896;3774;3881;3758;3755;3690;3493;3498;3536;3374
30;4418;4392;4352;4367;4287;4206;4142;4179;4049;3951;3782;3907;3769;3780;3710;3523;3430;3533
31;4355;4468;4509;4413;4435;4317;4311;4205;4220;4029;3924;3801;3847;3774;3737;3706;3510;3410
32;4579;4349;4586;4565;4445;4424;4350;4364;4229;4191;4029;3952;3766;3829;3753;3720;3636;3514
33;4508;4649;4504;4644;4603;4466;4488;4392;4377;4195;4190;4039;3942;3784;3817;3717;3702;3617
34;4650;4555;4778;4566;4664;4634;4524;4544;4395;4345;4185;4177;4045;3947;3755;3785;3690;3681
35;4751;4676;4633;4848;4604;4719;4688;4595;4583;4377;4352;4185;4167;4078;3956;3745;3788;3686
36;4806;4787;4784;4717;4897;4664;4820;4761;4652;4596;4383;4384;4174;4185;4053;3943;3734;3785
37;4750;4843;4892;4838;4799;4931;4756;4890;4793;4642;4619;4384;4363;4188;4180;4041;3928;3732
38;4458;4771;4908;4947;4903;4849;5008;4822;4909;4795;4650;4667;4400;4350;4174;4180;4010;3933
39;4314;4488;4857;4987;4991;4953;4947;5089;4836;4890;4828;4655;4635;4407;4350;4168;4176;4008
40;4255;4321;4538;4912;5034;5041;5029;4996;5116;4830;4897;4846;4640;4628;4403;4344;4158;4180
41;4129;4267;4379;4575;4934;5068;5109;5071;5024;5131;4839;4919;4847;4621;4628;4422;4318;4165
42;4236;4144;4308;4430;4629;4976;5107;5155;5110;5039;5140;4850;4947;4845;4637;4639;4394;4310
43;4055;4270;4197;4355;4461;4660;5022;5150;5188;5148;5041;5155;4864;4929;4831;4656;4616;4393
44;3878;4078;4314;4225;4377;4485;4724;5095;5175;5196;5157;5069;5153;4837;4918;4835;4645;4615
45;3870;3913;4118;4329;4256;4405;4514;4750;5122;5186;5209;5184;5041;5143;4833;4910;4792;4653
46;3777;3905;3962;4125;4357;4294;4433;4549;4792;5130;5182;5225;5191;5006;5149;4827;4880;4802
47;3780;3788;3936;3991;4155;4387;4356;4472;4556;4811;5147;5174;5206;5187;5003;5143;4802;4906
48;3501;3805;3819;3964;4010;4161;4422;4385;4495;4562;4812;5155;5187;5194;5163;4997;5151;4799
49;3472;3514;3849;3856;3988;4040;4196;4467;4401;4500;4552;4819;5140;5185;5184;5144;4991;5145
50;3548;3493;3539;3878;3885;4000;4069;4199;4490;4423;4522;4549;4824;5125;5173;5180;5115;4982
51;3707;3547;3522;3557;3890;3901;4045;4083;4229;4495;4426;4526;4548;4789;5101;5158;5145;5105
