"Popolazione per età, vista per singola area - Provincia: Terni"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Terni"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;1621;1676;1637;1817;1777;1818;1952;1902;1737;1925;1705;1788;1724;1655;1448;1445;1367;1341
1;1647;1626;1695;1638;1844;1790;1844;1953;1913;1745;1924;1725;1779;1719;1643;1447;1452;1354
2;1726;1670;1644;1704;1675;1854;1811;1857;1977;1930;1765;1917;1734;1765;1720;1629;1429;1460
3;1631;1753;1699;1664;1746;1700;1872;1826;1879;1990;1936;1773;1929;1731;1755;1713;1614;1444
4;1607;1650;1767;1720;1677;1756;1744;1882;1857;1886;1995;1944;1787;1929;1724;1763;1711;1605
5;1552;1631;1676;1778;1743;1709;1808;1762;1892;1873;1907;2020;1953;1768;1910;1731;1774;1694
6;1639;1573;1659;1705;1817;1772;1740;1830;1768;1888;1890;1929;2029;1957;1766;1907;1747;1762
7;1641;1657;1613;1689;1743;1816;1807;1746;1864;1792;1899;1909;1936;2042;1935;1781;1905;1758
8;1612;1663;1682;1646;1722;1765;1862;1835;1764;1891;1809;1922;1916;1926;2039;1936;1783;1909
9;1712;1638;1692;1711;1681;1732;1807;1897;1866;1788;1898;1820;1921;1904;1909;2036;1927;1794
10;1714;1717;1655;1721;1729;1706;1766;1835;1914;1886;1814;1915;1827;1931;1897;1900;2031;1922
11;1782;1729;1748;1681;1754;1743;1740;1793;1849;1921;1903;1840;1922;1827;1918;1910;1919;2034
12;1711;1797;1756;1777;1704;1754;1764;1788;1822;1865;1940;1915;1842;1912;1830;1916;1914;1920
13;1729;1724;1813;1779;1797;1716;1790;1787;1810;1830;1879;1957;1925;1839;1918;1828;1918;1915
14;1662;1736;1729;1844;1797;1805;1731;1832;1799;1832;1847;1896;1961;1923;1828;1916;1831;1914
15;1822;1674;1769;1759;1865;1789;1846;1764;1862;1821;1852;1861;1900;1953;1929;1830;1906;1837
16;1845;1822;1688;1793;1800;1872;1814;1877;1791;1873;1829;1863;1864;1901;1961;1920;1831;1926
17;1788;1870;1838;1690;1826;1797;1899;1853;1892;1805;1879;1844;1861;1860;1915;1969;1934;1838
18;1965;1792;1889;1861;1718;1850;1840;1921;1900;1913;1825;1898;1857;1859;1886;1936;2004;1951
19;2084;1967;1822;1892;1877;1744;1887;1881;1963;1942;1924;1845;1923;1859;1859;1925;1977;2019
20;2131;2088;1996;1845;1918;1881;1820;1953;1920;2026;1956;1968;1875;1945;1866;1907;1951;2012
21;2109;2132;2136;2037;1881;1946;1973;1916;2020;1998;2047;2011;2015;1886;1981;1901;1928;1965
22;2303;2101;2195;2150;2061;1915;2062;2056;1953;2095;2023;2097;2037;2006;1899;2002;1917;1950
23;2377;2315;2167;2222;2182;2091;2008;2124;2104;2038;2148;2078;2131;2044;2011;1925;2013;1932
24;2580;2397;2404;2221;2253;2186;2172;2079;2162;2189;2079;2187;2091;2136;2049;2020;1927;2006
25;2738;2601;2468;2438;2256;2292;2294;2269;2110;2221;2211;2120;2201;2094;2142;2079;2046;1940
26;2855;2745;2689;2512;2480;2272;2360;2405;2312;2150;2249;2262;2168;2208;2098;2143;2097;2051
27;2978;2872;2817;2730;2543;2504;2360;2452;2447;2364;2191;2274;2302;2167;2192;2114;2159;2093
28;3082;3013;2994;2860;2799;2592;2585;2431;2469;2501;2394;2217;2300;2306;2140;2192;2124;2150
29;3068;3133;3118;3045;2900;2825;2671;2658;2456;2486;2504;2416;2229;2311;2300;2155;2198;2122
30;3232;3132;3239;3187;3118;2925;2923;2759;2665;2457;2507;2520;2420;2218;2306;2290;2178;2187
31;3106;3280;3208;3286;3203;3124;3016;2943;2813;2688;2482;2524;2534;2407;2239;2291;2298;2184
32;3263;3125;3349;3246;3295;3181;3177;3083;2966;2833;2660;2499;2566;2543;2401;2242;2289;2302
33;3212;3318;3177;3349;3248;3301;3249;3197;3091;2990;2833;2711;2526;2604;2536;2405;2250;2308
34;3144;3213;3375;3197;3383;3230;3370;3319;3215;3071;2984;2889;2730;2528;2589;2557;2422;2261
35;3259;3179;3305;3427;3242;3383;3314;3407;3363;3222;3096;3020;2906;2720;2542;2601;2565;2450
36;3419;3299;3265;3347;3461;3255;3458;3377;3436;3370;3220;3110;3031;2894;2710;2538;2599;2570
37;3387;3443;3374;3306;3395;3484;3342;3508;3408;3466;3378;3263;3111;3023;2878;2703;2521;2581
38;3202;3402;3506;3405;3332;3406;3549;3382;3535;3431;3456;3420;3300;3124;3041;2863;2702;2532
39;3072;3229;3462;3533;3438;3341;3504;3589;3417;3551;3441;3504;3437;3324;3123;3037;2850;2713
40;3014;3093;3282;3503;3550;3457;3452;3585;3604;3433;3571;3475;3515;3440;3298;3117;3016;2868
41;3001;3027;3166;3323;3543;3547;3514;3498;3632;3630;3447;3592;3491;3507;3442;3292;3123;3009
42;2899;3022;3085;3211;3358;3540;3628;3566;3533;3670;3640;3473;3604;3480;3508;3457;3294;3101
43;2837;2897;3088;3108;3226;3367;3598;3676;3590;3540;3648;3682;3485;3610;3488;3509;3457;3296
44;2682;2860;2964;3135;3136;3250;3443;3636;3696;3585;3551;3666;3684;3483;3599;3484;3504;3468
45;2910;2693;2942;3005;3157;3149;3285;3483;3669;3719;3602;3585;3671;3686;3477;3605;3472;3485
46;2900;2926;2743;2979;3009;3153;3203;3311;3521;3710;3712;3630;3604;3675;3681;3494;3603;3464
47;2828;2916;2980;2780;2995;3026;3208;3269;3343;3538;3711;3710;3635;3598;3693;3694;3504;3607
48;2745;2842;2976;3009;2794;3009;3077;3236;3277;3375;3558;3726;3729;3628;3610;3688;3707;3495
49;2840;2762;2895;2983;3017;2798;3034;3102;3241;3299;3382;3579;3744;3744;3612;3592;3671;3685
50;2940;2839;2793;2920;2999;3011;2845;3066;3101;3255;3297;3394;3582;3739;3752;3610;3594;3687
51;2951;2923;2870;2819;2924;2990;3051;2888;3088;3111;3256;3310;3411;3576;3729;3749;3608;3589
52;3125;2944;2951;2873;2823;2921;3030;3076;2917;3083;3098;3259;3315;3418;3575;3722;3752;3612
53;3330;3143;2978;2953;2872;2831;2953;3044;3099;2915;3077;3114;3283;3307;3418;3594;3703;3739
54;3215;3353;3167;3001;2958;2869;2840;2970;3057;3093;2896;3064;3116;3277;3305;3417;3588;3694
55;3196;3226;3393;3174;2998;2945;2873;2867;2981;3075;3083;2916;3069;3108;3275;3307;3407;3578
56;2659;3199;3244;3414;3178;2995;2948;2880;2881;2984;3055;3074;2924;3057;3097;3271;3301;3406
57;2662;2657;3227;3261;3405;3187;2984;2960;2885;2885;2987;3063;3087;2921;3059;3081;3267;3294
58;2949;2656;2660;3235;3251;3408;3197;2973;2964;2883;2875;2980;3058;3063;2913;3071;3093;3251
59;2843;2945;2655;2660;3237;3245;3414;3187;2975;2943;2871;2883;2969;3047;3067;2922;3059;3108
60;2917;2848;2945;2657;2662;3237;3228;3428;3179;2973;2939;2878;2886;2951;3048;3053;2931;3069
61;3190;2917;2849;2919;2666;2658;3235;3234;3423;3180;2960;2946;2878;2876;2939;3049;3052;2923
62;3055;3168;2922;2838;2929;2658;2643;3215;3245;3431;3175;2965;2926;2859;2869;2912;3030;3071
63;3146;3045;3174;2908;2828;2918;2647;2620;3230;3239;3432;3167;2952;2893;2859;2878;2898;3026
64;2972;3136;3038;3161;2894;2817;2911;2651;2614;3218;3233;3419;3169;2933;2868;2860;2852;2890
65;2642;2960;3121;3040;3143;2874;2797;2887;2640;2596;3202;3215;3407;3144;2913;2864;2856;2835
66;2866;2625;2939;3101;3020;3133;2860;2781;2890;2616;2586;3178;3200;3384;3138;2901;2845;2824
67;2714;2836;2614;2910;3089;2997;3115;2826;2761;2873;2604;2556;3157;3187;3371;3124;2870;2828
68;2855;2681;2824;2590;2878;3056;2970;3097;2800;2755;2857;2571;2530;3127;3162;3347;3083;2861
69;2650;2840;2661;2789;2571;2850;3040;2945;3072;2772;2734;2829;2556;2492;3088;3136;3330;3045
70;2731;2621;2818;2644;2754;2552;2807;3010;2913;3028;2743;2708;2796;2539;2473;3049;3090;3292
71;3008;2705;2573;2795;2614;2714;2520;2772;2988;2879;2996;2711;2676;2768;2515;2443;3011;3070
72;2731;2962;2657;2542;2752;2589;2666;2477;2745;2952;2845;2965;2672;2641;2719;2481;2414;2965
73;2639;2673;2912;2627;2496;2703;2545;2624;2447;2707;2913;2811;2918;2619;2598;2682;2448;2377
74;2647;2585;2603;2844;2571;2441;2667;2495;2567;2402;2654;2853;2746;2869;2577;2541;2641;2406
75;2510;2576;2526;2550;2778;2503;2399;2597;2436;2511;2340;2610;2803;2703;2818;2530;2493;2595
76;2524;2456;2519;2449;2465;2711;2457;2325;2527;2399;2456;2289;2564;2735;2660;2765;2477;2453
77;2406;2447;2375;2444;2358;2386;2632;2360;2260;2453;2333;2395;2238;2509;2664;2606;2692;2421
78;2351;2337;2355;2291;2380;2275;2293;2524;2299;2191;2386;2260;2345;2175;2431;2596;2535;2639
79;2257;2264;2260;2278;2215;2265;2207;2229;2438;2212;2120;2280;2194;2283;2095;2360;2497;2461
80;2102;2145;2185;2145;2167;2124;2178;2104;2148;2349;2115;2039;2183;2104;2205;2020;2288;2408
81;2070;2010;2029;2094;2043;2036;2025;2076;2022;2043;2239;2026;1950;2072;2009;2111;1934;2187
82;1181;1947;1891;1932;1969;1950;1920;1910;1990;1915;1928;2126;1915;1855;1986;1944;1979;1845
83;922;1121;1824;1787;1809;1839;1822;1769;1781;1847;1795;1817;2007;1815;1730;1888;1822;1886
84;856;855;1052;1682;1659;1656;1714;1674;1646;1680;1693;1667;1701;1870;1687;1619;1775;1703
85;910;778;777;998;1548;1503;1521;1578;1552;1514;1536;1563;1547;1586;1747;1547;1493;1665
86;1101;840;696;693;902;1398;1368;1378;1450;1401;1372;1398;1426;1435;1427;1612;1424;1392
87;887;966;732;629;616;805;1211;1224;1229;1302;1282;1203;1267;1265;1282;1304;1436;1324
88;764;794;835;658;551;554;700;1065;1069;1091;1147;1132;1077;1138;1125;1112;1162;1296
89;675;641;670;697;602;511;473;613;950;938;950;1012;984;969;999;988;974;1039
90;475;565;546;572;582;514;436;418;520;816;808;807;870;838;841;862;874;840
91;427;399;456;456;454;491;435;370;359;423;673;683;679;758;703;735;717;749
92;289;354;312;367;362;377;398;361;295;292;352;555;564;567;624;589;620;596
93;229;220;276;257;286;283;299;315;291;239;234;269;448;463;447;485;480;512
94;132;178;170;204;196;232;228;222;232;230;194;184;208;359;381;347;397;379
95;116;93;120;126;166;154;177;184;180;180;186;144;144;169;275;305;262;319
96;71;86;65;81;96;125;105;130;136;137;142;134;110;112;131;204;229;197
97;51;51;64;48;53;64;82;80;92;95;102;88;99;85;70;90;138;169
98;35;28;31;40;34;33;46;50;68;73;74;63;56;69;57;43;59;100
99;26;28;21;18;28;25;18;32;40;42;54;56;45;41;45;43;30;43
100 e oltre;27;36;34;38;33;35;39;29;45;58;75;72;92;100;88;86;84;73
Totale;219690;220122;222245;223457;224329;224366;226942;228680;229604;230321;230055;230490;230461;229469;228095;227190;225953;224915
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Maschi
0;835;840;852;913;946;932;1005;1006;896;974;880;919;899;874;735;725;683;669
1;845;833;853;852;932;952;939;1001;1008;893;977;875;910;897;876;728;724;688
2;896;851;847;858;872;943;963;947;1011;1024;903;966;885;897;889;875;718;732
3;866;911;862;862;880;881;953;963;956;1023;1025;901;967;882;885;880;862;721
4;842;884;928;877;861;885;903;954;981;958;1025;1031;906;976;876;891;879;853
5;797;862;902;936;890;878;921;905;960;986;970;1033;1030;896;964;888;903;875
6;863;805;883;916;955;904;904;938;908;967;995;985;1042;1035;895;966;896;899
7;827;873;822;897;932;952;925;902;951;926;973;1005;987;1041;1016;902;968;899
8;796;839;883;835;918;943;975;945;912;969;940;981;1011;984;1040;1015;902;963
9;869;807;854;897;855;926;963;992;956;918;973;950;980;1005;978;1043;1008;917
10;881;874;824;871;905;874;944;970;997;964;933;980;952;985;999;973;1042;1009
11;883;893;887;840;894;910;891;955;971;999;975;949;977;948;984;1002;989;1050
12;874;889;911;899;851;896;923;919;967;979;1009;983;948;968;954;984;1012;989
13;910;881;902;924;909;857;914;940;929;967;989;1022;986;948;970;954;986;1011
14;863;918;878;916;934;912;861;938;947;944;973;994;1016;978;939;967;951;984
15;925;874;938;891;924;930;935;877;955;956;954;982;1003;1011;980;940;963;956
16;956;921;886;947;917;928;939;958;890;958;960;962;987;1008;1017;976;937;974
17;939;968;935;890;968;916;941;955;963;897;963;966;962;984;1017;1023;986;949
18;987;942;971;953;907;985;946;953;984;976;903;971;977;960;1001;1037;1050;1002
19;1062;988;963;973;959;915;997;961;978;1006;983;918;981;976;964;1027;1065;1062
20;1110;1059;1006;968;984;956;955;1028;977;1001;1012;997;930;1004;979;1006;1049;1082
21;1095;1115;1085;1030;978;993;998;996;1060;1014;1009;1047;1021;932;1034;1004;1028;1058
22;1176;1084;1147;1098;1045;996;1054;1042;1015;1097;1022;1039;1058;1023;942;1054;1024;1040
23;1178;1174;1121;1161;1111;1060;1043;1087;1056;1050;1118;1040;1062;1053;1037;957;1051;1032
