"Popolazione per età, vista per singola area - Provincia: Torino"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Torino"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;17978;18938;19411;19805;19859;19980;20523;20912;20690;20277;19830;19619;18841;18195;17394;16479;16051;14767
1;18623;18086;18989;19578;19730;19947;20234;20656;20953;20727;20193;19839;19620;18803;18164;17390;16636;16073
2;17995;18754;18197;18965;19610;19732;20135;20322;20659;20930;20738;20329;19797;19479;18722;18147;17327;16688
3;17736;18105;18813;18309;19078;19669;19943;20221;20339;20651;20952;20840;20303;19684;19439;18630;18057;17304
4;17379;17832;18188;18895;18464;19098;19851;20006;20290;20332;20728;21035;20825;20217;19620;19329;18526;17947
5;17320;17490;17978;18284;19113;18585;19358;19970;20052;20258;20386;20762;20996;20701;20162;19579;19202;18506
6;17006;17447;17604;18141;18423;19257;18922;19447;20059;20045;20326;20433;20765;20890;20640;20073;19455;19138
7;17018;17118;17565;17724;18375;18576;19646;19102;19523;20090;20107;20350;20426;20651;20821;20554;19978;19432
8;17242;17154;17179;17630;17995;18558;18920;19787;19251;19575;20151;20177;20319;20329;20578;20757;20426;19930
9;17537;17358;17229;17263;17859;18202;18903;19115;19941;19388;19648;20194;20185;20230;20275;20532;20662;20346
10;18012;17665;17451;17371;17482;18024;18587;19124;19258;20073;19491;19738;20175;20099;20212;20213;20421;20639
11;17987;18104;17770;17589;17636;17634;18345;18788;19265;19405;20190;19544;19743;20106;20088;20128;20133;20379
12;17464;18093;18160;17900;17830;17817;18003;18550;18951;19395;19500;20252;19570;19671;20097;20035;20064;20045
13;17537;17532;18167;18279;18171;18008;18169;18213;18695;19121;19517;19557;20242;19537;19662;20112;19980;20029
14;16950;17584;17560;18235;18470;18365;18307;18418;18363;18824;19213;19554;19534;20179;19526;19641;20037;19932
15;17517;17001;17650;17594;18437;18626;18715;18484;18642;18524;18934;19265;19551;19492;20163;19474;19592;20041
16;18288;17560;16996;17692;17831;18652;18974;18911;18639;18808;18646;18999;19279;19557;19497;20126;19454;19615
17;18068;18321;17577;17171;17947;18022;18943;19181;19100;18804;18906;18776;19033;19286;19578;19521;20172;19483
18;18899;18180;18405;17915;17518;18204;18404;19234;19401;19307;18952;19042;18812;19083;19384;19739;19753;20276
19;19997;18926;18388;18655;18122;17724;18763;18877;19551;19666;19505;19203;19102;18887;19220;19745;20142;19869
20;20079;20012;19239;18583;18691;18189;18572;19371;19232;19857;19908;19836;19380;19219;18995;19480;20014;20336
21;20809;20181;20508;19447;18728;18769;19201;19243;19852;19575;20189;20245;20044;19467;19373;19329;19722;20248
22;22026;20899;20854;20892;19614;18945;20069;19906;19688;20214;19951;20598;20497;20140;19647;19677;19511;19876
23;23847;22158;21762;21299;21111;19825;20376;20857;20442;20201;20596;20500;20901;20644;20303;19970;19895;19750
24;25681;24033;23211;22247;21525;21409;21153;21154;21370;20741;20561;21159;20810;21021;20858;20627;20172;20111
25;27491;25913;25272;23882;22528;21812;22850;21948;21662;21711;21132;21119;21537;20963;21324;21138;20817;20398
26;30061;27752;27142;25892;24153;22853;23236;23608;22519;22069;22206;21790;21477;21685;21304;21947;21438;21101
27;31912;30315;28989;27848;26164;24458;24311;24039;24107;22960;22438;22916;22198;21652;22142;21734;22320;21774
28;32467;32200;31625;29804;28200;26453;25919;25130;24450;24435;23444;23109;23280;22336;22031;22583;22068;22656
29;33541;32738;33417;32295;30133;28517;27664;26561;25443;24729;24764;24117;23416;23395;22674;22370;22771;22284
30;34301;33818;33807;34147;32611;30444;29707;28339;26778;25642;25006;25362;24475;23558;23687;22972;22527;23000
31;34242;34575;34771;34381;34443;32819;31519;30183;28607;26912;25920;25557;25603;24376;23783;23905;23021;22690
32;35396;34403;35428;35184;34548;34661;33761;31891;30260;28588;27107;26413;25826;25553;24597;23924;23858;23072
33;34754;35664;35333;35853;35283;34738;35522;34120;31898;30395;28797;27582;26488;25782;25690;24669;23911;23914
34;34685;35021;36337;35667;35960;35447;35255;35821;34150;31945;30520;29158;27759;26376;25759;25786;24528;23946
35;35896;34903;35814;36682;35809;36069;36126;35524;35843;34220;32051;30942;29262;27565;26438;25801;25652;24551
36;35439;36134;35794;36254;36859;36031;36863;36469;35620;35946;34346;32343;31009;29156;27599;26503;25640;25616
37;35948;35622;36700;36162;36424;36913;36793;37072;36574;35713;36045;34582;32413;30777;29175;27515;26296;25643
38;33863;36096;36244;36918;36355;36507;37587;36995;37170;36583;35774;36247;34583;32206;30789;29165;27346;26262
39;32588;34006;36578;36442;36943;36448;37254;37807;37062;37223;36617;35933;36220;34416;32233;30721;28931;27206
40;32462;32704;34490;36760;36564;36926;37189;37530;37856;37086;37251;36806;35988;35999;34365;32141;30511;28828
41;31454;32531;33169;34672;36830;36605;37335;37394;37620;37911;37103;37351;36782;35803;35984;34246;31893;30446
42;31186;31488;32901;33284;34718;36954;36919;37479;37442;37682;37914;37327;37342;36578;35763;35898;33980;31810
43;30552;31237;31953;33085;33417;34756;37275;37097;37470;37483;37745;38052;37305;37103;36548;35666;35772;33868
44;30471;30572;31638;32025;33127;33453;35103;37454;37108;37454;37507;37842;38033;37104;36985;36492;35507;35687
45;30575;30513;30900;31783;32098;33147;33788;35243;37479;37143;37462;37540;37825;37867;36987;36888;36301;35453
46;30025;30559;30796;31054;31892;32083;33406;33951;35265;37542;37127;37553;37535;37643;37761;36912;36689;36241
