"Popolazione per età, vista per singola area - Provincia: Trento"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Trento"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;4920;5073;4951;5396;5179;5177;5163;5393;5328;5441;5320;5138;5068;4822;4798;4633;4500;4355
1;5107;4972;5111;5023;5432;5222;5263;5218;5415;5371;5488;5356;5129;5119;4866;4814;4670;4560
2;5022;5130;5031;5133;5089;5421;5232;5304;5249;5446;5400;5539;5350;5161;5139;4874;4847;4721
3;4964;5066;5178;5112;5175;5140;5471;5302;5351;5294;5490;5425;5571;5329;5172;5158;4880;4849
4;4893;5008;5120;5239;5174;5227;5215;5533;5332;5392;5309;5534;5460;5577;5351;5191;5174;4918
5;4890;4933;5062;5180;5321;5213;5271;5256;5555;5384;5403;5318;5550;5462;5566;5368;5202;5195
6;4828;4919;4988;5108;5238;5374;5271;5330;5299;5570;5402;5430;5358;5546;5455;5532;5344;5200
7;4698;4870;4968;5039;5182;5276;5435;5336;5349;5334;5605;5436;5432;5335;5549;5438;5529;5370
8;4689;4744;4919;5035;5104;5220;5336;5490;5361;5377;5376;5619;5459;5404;5344;5548;5445;5520
9;4898;4739;4820;4982;5094;5155;5289;5383;5533;5400;5427;5405;5635;5471;5421;5339;5553;5465
10;4664;4953;4805;4896;5055;5145;5226;5369;5426;5604;5440;5449;5406;5656;5495;5445;5361;5580
11;4753;4703;5006;4848;4969;5096;5207;5301;5429;5444;5654;5465;5481;5416;5658;5513;5479;5401
12;4500;4778;4752;5047;4918;5026;5160;5281;5345;5471;5481;5678;5500;5484;5439;5664;5511;5501
13;4573;4524;4799;4801;5104;4980;5099;5211;5357;5375;5500;5519;5690;5514;5481;5443;5659;5532
14;4489;4602;4560;4840;4860;5139;5053;5179;5247;5402;5391;5527;5544;5686;5540;5486;5456;5707
15;4430;4523;4648;4595;4907;4900;5171;5114;5240;5278;5440;5418;5550;5565;5690;5526;5485;5477
16;4517;4456;4552;4686;4662;4971;4958;5253;5190;5263;5294;5472;5438;5581;5554;5695;5535;5501
17;4451;4548;4482;4574;4732;4713;5053;5028;5305;5241;5303;5330;5500;5443;5625;5565;5711;5565
18;4699;4475;4596;4510;4680;4808;4799;5128;5140;5357;5310;5334;5367;5509;5473;5641;5638;5724
19;4704;4724;4532;4662;4597;4761;4932;4908;5212;5229;5443;5361;5389;5420;5541;5523;5737;5704
20;4720;4748;4801;4647;4726;4654;4912;5037;5025;5297;5301;5508;5426;5401;5470;5548;5581;5761
21;4838;4779;4830;4909;4715;4828;4803;5049;5142;5080;5367;5379;5572;5450;5434;5479;5645;5617
22;5017;4931;4895;4932;5016;4830;4967;4985;5152;5244;5152;5488;5444;5606;5475;5462;5564;5688
23;5463;5145;5111;4993;5035;5119;4997;5142;5092;5252;5364;5260;5589;5504;5678;5497;5570;5589
24;5638;5610;5339;5305;5117;5187;5311;5178;5293;5219;5354;5482;5406;5615;5555;5736;5598;5621
25;6089;5812;5828;5545;5445;5236;5448;5557;5341;5412;5336;5498;5605;5495;5699;5605;5829;5655
26;6641;6259;6039;6035;5681;5550;5435;5597;5676;5514;5534;5454;5660;5639;5567;5730;5698;5883
27;6986;6829;6498;6305;6184;5826;5754;5620;5725;5818;5657;5653;5579;5707;5685;5632;5808;5771
28;7088;7123;7015;6735;6447;6327;6005;5865;5722;5854;5949;5803;5755;5629;5765;5740;5765;5887
29;7068;7230;7347;7238;6907;6591;6508;6184;5944;5829;5945;6067;5873;5819;5658;5815;5808;5817
30;7613;7262;7467;7633;7340;7056;6725;6683;6284;6028;5905;6089;6118;5896;5865;5709;5864;5925
31;7337;7756;7476;7674;7749;7445;7216;6886;6773;6370;6089;6039;6153;6134;5924;5914;5785;5944
32;7783;7393;7874;7588;7711;7830;7506;7231;6943;6822;6370;6189;6098;6162;6148;5953;5976;5842
33;7734;7869;7497;7906;7635;7741;7926;7541;7254;6950;6833;6434;6268;6127;6222;6165;6016;6013
34;7948;7840;8008;7583;7941;7651;7872;8000;7581;7305;6953;6919;6507;6289;6134;6224;6184;6040
35;8260;8034;7983;8157;7679;7973;7817;8017;8088;7651;7289;7006;7004;6497;6289;6165;6275;6235
36;8483;8369;8209;8144;8232;7763;8107;7885;8076;8137;7673;7362;7087;6989;6473;6249;6190;6318
37;8426;8599;8481;8329;8233;8315;7856;8249;7944;8116;8159;7729;7417;7118;7010;6489;6279;6207
38;8092;8532;8728;8587;8415;8300;8409;7979;8321;8013;8158;8209;7767;7445;7124;7032;6515;6344
39;7556;8149;8647;8823;8638;8461;8386;8518;8062;8378;8064;8190;8266;7801;7447;7144;7064;6565
