"Popolazione per età, vista per singola area - Provincia: Treviso"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Treviso"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;7867;8327;8672;9006;9144;9208;9406;9351;9024;8973;8592;8513;8007;7729;7274;7212;6924;6583
1;8230;7977;8430;8756;9012;9168;9244;9413;9338;9021;8942;8618;8436;7971;7716;7301;7211;6966
2;7812;8356;8080;8514;8846;9020;9229;9330;9358;9288;8963;8960;8560;8400;7943;7731;7347;7207
3;7761;7922;8482;8192;8624;8895;9123;9296;9316;9279;9239;8978;8900;8497;8347;7922;7735;7375
4;7514;7854;8029;8594;8325;8677;8969;9167;9273;9296;9241;9232;8927;8841;8449;8361;7923;7734
5;7625;7665;7971;8172;8744;8426;8803;9027;9185;9268;9263;9249;9221;8906;8792;8405;8346;7949
6;7192;7754;7819;8114;8294;8853;8516;8857;9025;9166;9231;9243;9233;9157;8840;8744;8397;8361
7;7315;7319;7889;7944;8242;8413;8950;8556;8854;9038;9129;9223;9202;9171;9094;8830;8728;8403
8;7261;7425;7433;7985;8061;8338;8496;9062;8582;8868;9030;9134;9201;9163;9118;9084;8819;8753
9;7446;7374;7560;7548;8113;8160;8481;8547;9105;8617;8855;9053;9117;9127;9124;9072;9071;8836
10;7411;7542;7494;7714;7657;8176;8286;8578;8555;9110;8618;8897;9061;9038;9078;9133;9043;9081
11;7476;7509;7654;7579;7836;7742;8326;8389;8615;8581;9118;8633;8888;9006;9013;9049;9134;9071
12;7210;7565;7656;7800;7698;7944;7866;8417;8415;8635;8611;9132;8618;8861;8969;9009;9018;9141
13;7118;7283;7697;7771;7927;7788;8082;7962;8441;8480;8654;8637;9167;8595;8813;8932;9010;9044
14;6731;7198;7408;7764;7892;8010;7905;8196;7990;8473;8534;8648;8642;9118;8537;8793;8972;9032
15;6951;6797;7314;7502;7875;7966;8144;8016;8235;8036;8508;8534;8659;8622;9096;8498;8783;8995
16;7515;7007;6960;7453;7625;7963;8081;8239;8060;8301;8084;8534;8545;8650;8600;9073;8482;8832
17;7443;7621;7108;7121;7558;7736;8073;8158;8305;8098;8332;8100;8562;8539;8644;8567;9079;8545
18;7591;7518;7770;7284;7265;7685;7925;8230;8216;8381;8172;8377;8119;8593;8530;8716;8655;9165
19;8059;7681;7732;7946;7436;7386;7948;8116;8322;8344;8469;8245;8431;8130;8618;8655;8954;8779
20;8058;8116;7917;7925;8052;7510;7692;8199;8242;8429;8448;8513;8272;8457;8161;8741;8811;9038
21;8394;8170;8450;8185;8028;8118;7783;7952;8335;8379;8535;8562;8575;8271;8475;8296;8888;8905
22;8698;8557;8559;8732;8324;8186;8492;8081;8054;8457;8466;8639;8575;8615;8281;8559;8463;8996
23;9605;8907;8994;8887;8889;8493;8565;8753;8193;8195;8580;8630;8695;8632;8632;8405;8718;8560
24;10137;9845;9405;9392;9113;9066;8829;8906;8814;8354;8328;8695;8705;8758;8656;8673;8555;8803
25;10886;10454;10520;9865;9611;9287;9556;9150;9059;8910;8452;8406;8769;8674;8729;8758;8857;8662
26;11633;11205;11135;11014;10110;9763;9668;9891;9242;9144;8992;8569;8459;8788;8694;8834;8907;8929
27;12864;11985;11831;11591;11346;10261;10148;10014;9918;9343;9226;9115;8620;8498;8824;8764;8939;8941
28;12839;13220;12648;12392;11923;11535;10679;10444;10134;10000;9443;9287;9138;8649;8546;8901;8910;8994
29;13031;13235;13897;13225;12656;12085;11957;11007;10495;10204;10064;9551;9343;9144;8639;8623;9031;9004
30;13559;13408;13870;14406;13503;12786;12392;12220;11088;10522;10212;10115;9518;9277;9147;8703;8720;9122
31;13756;13868;13913;14165;14543;13561;12997;12585;12221;11034;10504;10244;10127;9526;9272;9229;8804;8805
32;14115;14008;14416;14194;14292;14588;13763;13142;12518;12161;10928;10523;10190;10094;9493;9335;9327;8881
33;13910;14359;14455;14741;14369;14328;14715;13903;12979;12381;12090;10971;10511;10171;10099;9532;9432;9385
34;13983;14244;14798;14784;14911;14354;14468;14806;13807;12918;12332;12078;10990;10438;10106;10101;9619;9529
35;14440;14261;14598;15050;14925;14913;14517;14511;14816;13791;12819;12380;12044;10918;10471;10153;10155;9702
36;14767;14691;14699;14827;15242;14996;15114;14668;14522;14871;13731;12854;12362;11989;10847;10503;10236;10239
37;14633;15002;15090;14913;14934;15289;15163;15224;14709;14512;14797;13726;12891;12335;11949;10841;10540;10280
38;13701;14801;15287;15285;15047;14990;15523;15223;15174;14656;14453;14806;13719;12818;12267;11918;10856;10608
39;13184;13859;15062;15507;15356;15121;15126;15588;15166;15132;14654;14490;14759;13656;12771;12271;11969;10895
40;13086;13269;14100;15241;15596;15376;15279;15210;15550;15156;15095;14657;14477;14708;13613;12766;12286;12009
41;12409;13202;13508;14239;15341;15582;15496;15357;15200;15458;15075;15073;14658;14478;14623;13592;12787;12325
42;12290;12516;13426;13664;14264;15356;15658;15541;15334;15173;15448;15085;15053;14623;14427;14605;13546;12785
43;11564;12379;12723;13519;13696;14280;15431;15697;15500;15347;15081;15463;15060;15019;14550;14414;14569;13555
44;11130;11668;12583;12822;13537;13705;14371;15466;15632;15489;15294;15074;15403;15003;14984;14540;14424;14574
45;11084;11184;11796;12681;12841;13529;13786;14405;15405;15570;15426;15297;15001;15346;14941;14933;14512;14422
46;10937;11151;11346;11938;12698;12861;13561;13801;14356;15374;15496;15415;15270;14937;15289;14902;14897;14479
47;10764;10991;11312;11415;11920;12694;12922;13595;13767;14308;15328;15492;15356;15208;14890;15248;14870;14885
48;10562;10832;11143;11369;11415;11926;12745;12919;13570;13732;14258;15307;15416;15296;15157;14853;15234;14871
49;10286;10580;10955;11241;11361;11417;12019;12781;12872;13556;13655;14220;15252;15392;15241;15147;14839;15190
50;10139;10304;10658;10981;11257;11338;11468;12007;12769;12863;13504;13636;14192;15183;15326;15178;15116;14822
51;10678;10168;10355;10686;10973;11222;11351;11461;11996;12758;12822;13496;13619;14152;15116;15277;15197;15071
52;10385;10654;10257;10370;10697;10981;11234;11321;11447;11941;12740;12816;13458;13574;14109;15083;15252;15140
53;10760;10383;10657;10291;10341;10698;10994;11227;11287;11422;11899;12728;12769;13449;13523;14075;15072;15204
54;10504;10767;10441;10681;10320;10336;10702;10989;11218;11274;11400;11861;12717;12680;13397;13478;14073;15044
55;11593;10515;10795;10476;10651;10301;10349;10707;10948;11199;11241;11403;11851;12671;12644;13335;13482;14032
56;8068;11597;10531;10803;10436;10642;10273;10331;10653;10935;11184;11225;11358;11798;12595;12628;13303;13479
57;9524;8091;11570;10548;10803;10381;10625;10236;10277;10639;10894;11156;11172;11319;11774;12547;12579;13263
58;9667;9506;8097;11576;10524;10768;10371;10613;10180;10245;10597;10886;11110;11138;11305;11709;12533;12565
59;9167;9635;9496;8095;11571;10522;10722;10333;10568;10132;10213;10561;10860;11056;11092;11259;11678;12459
60;9212;9156;9615;9462;8082;11534;10493;10684;10292;10520;10097;10160;10526;10806;10983;11050;11226;11670
61;9961;9181;9138;9598;9421;8026;11484;10454;10627;10242;10469;10063;10131;10471;10733;10939;11011;11195
62;9758;9902;9176;9099;9533;9373;7983;11431;10412;10582;10191;10427;9989;10058;10427;10687;10895;10970
63;9280;9730;9876;9128;9050;9485;9342;7941;11377;10361;10538;10135;10381;9942;9977;10375;10622;10833
64;8504;9245;9711;9814;9079;8974;9426;9280;7919;11337;10347;10479;10029;10303;9897;9918;10337;10553
65;8178;8461;9208;9653;9734;9026;8895;9353;9175;7852;11270;10272;10412;9970;10228;9815;9882;10266
66;8261;8142;8413;9133;9577;9646;8979;8833;9277;9112;7811;11195;10209;10320;9899;10151;9737;9834
67;7703;8195;8093;8360;9070;9499;9571;8916;8765;9176;9048;7755;11112;10128;10225;9845;10090;9671
68;7224;7633;8114;8003;8286;8985;9394;9491;8821;8708;9098;8978;7695;11037;10068;10128;9755;10031
69;7209;7146;7564;8021;7902;8195;8868;9307;9398;8739;8617;9027;8898;7621;10917;9985;10050;9699
70;7190;7111;7054;7480;7925;7809;8107;8820;9207;9276;8643;8541;8922;8779;7544;10835;9872;9937
71;7524;7097;6999;6953;7406;7808;7680;8033;8719;9103;9150;8543;8436;8851;8676;7481;10718;9731
72;6849;7407;6976;6904;6855;7281;7660;7581;7922;8588;8991;9006;8425;8332;8724;8579;7394;10586
73;6940;6721;7281;6857;6777;6701;7171;7569;7429;7794;8459;8857;8883;8311;8201;8588;8465;7292
74;7033;6793;6548;7124;6716;6661;6554;7050;7431;7259;7665;8335;8706;8773;8168;8085;8486;8311
75;6647;6909;6656;6376;6941;6575;6490;6422;6913;7276;7115;7529;8174;8575;8616;8026;7947;8317
76;6528;6498;6730;6500;6223;6773;6416;6364;6287;6781;7121;6969;7366;7990;8408;8436;7877;7761
77;6138;6313;6315;6539;6303;6061;6583;6243;6196;6103;6620;6984;6820;7216;7850;8217;8236;7715
78;6006;5925;6119;6115;6322;6119;5869;6390;6017;6005;5913;6442;6789;6662;6993;7653;8013;8054
79;5544;5788;5724;5912;5889;6118;5892;5656;6172;5842;5811;5722;6258;6590;6450;6837;7398;7798
80;5088;5333;5539;5508;5656;5657;5885;5690;5423;5925;5626;5616;5539;6027;6361;6235;6629;7160
81;4780;4830;5077;5263;5250;5403;5417;5654;5456;5203;5655;5400;5422;5327;5811;6122;5962;6391
82;2565;4495;4598;4844;4964;4987;5120;5128;5374;5182;4971;5418;5155;5186;5088;5593;5844;5721
