"Popolazione per età, vista per singola area - Provincia: Trieste"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Trieste"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;1682;1642;1702;1810;1654;1772;1772;1778;1714;1767;1667;1730;1569;1596;1468;1475;1479;1425
1;1718;1695;1659;1711;1813;1662;1760;1765;1771;1728;1769;1684;1734;1561;1591;1486;1491;1475
2;1656;1724;1701;1663;1706;1810;1664;1771;1770;1775;1704;1779;1706;1732;1576;1593;1487;1502
3;1591;1665;1727;1717;1665;1702;1811;1686;1774;1780;1792;1714;1784;1708;1728;1574;1613;1498
4;1622;1613;1658;1728;1726;1670;1713;1813;1702;1794;1791;1810;1733;1794;1724;1740;1580;1626
5;1631;1632;1628;1661;1742;1727;1684;1727;1822;1717;1798;1803;1820;1750;1797;1734;1743;1577
6;1595;1648;1650;1652;1673;1748;1744;1701;1737;1831;1732;1823;1809;1833;1759;1797;1750;1760
7;1627;1599;1657;1656;1653;1680;1745;1753;1712;1763;1839;1749;1833;1827;1834;1759;1804;1760
8;1643;1628;1609;1665;1676;1655;1696;1768;1763;1722;1767;1848;1761;1840;1836;1834;1764;1834
9;1789;1654;1621;1620;1666;1689;1668;1709;1783;1769;1737;1789;1859;1769;1842;1842;1843;1779
10;1707;1794;1669;1634;1621;1663;1702;1675;1737;1792;1761;1748;1802;1864;1773;1837;1857;1852
11;1718;1701;1791;1671;1647;1637;1687;1724;1697;1743;1792;1774;1745;1804;1874;1770;1835;1879
12;1652;1737;1707;1792;1676;1658;1660;1716;1754;1712;1752;1803;1785;1750;1795;1873;1791;1858
13;1606;1656;1743;1709;1803;1683;1668;1696;1745;1772;1713;1759;1819;1806;1767;1800;1877;1807
14;1520;1607;1651;1747;1721;1810;1705;1688;1714;1755;1782;1720;1782;1841;1805;1771;1815;1904
15;1538;1523;1616;1658;1766;1741;1821;1736;1707;1727;1770;1774;1743;1795;1848;1812;1775;1841
16;1589;1536;1518;1620;1665;1784;1773;1844;1753;1718;1733;1788;1794;1738;1815;1862;1812;1804
17;1555;1591;1537;1515;1632;1681;1802;1789;1874;1771;1737;1744;1807;1807;1752;1826;1883;1830
18;1628;1562;1600;1559;1528;1648;1711;1820;1821;1893;1796;1755;1768;1815;1817;1801;1858;1908
19;1635;1647;1569;1610;1582;1565;1685;1744;1872;1839;1909;1813;1782;1785;1831;1851;1858;1908
20;1642;1638;1668;1586;1622;1597;1615;1742;1804;1921;1880;1931;1837;1813;1806;1889;1927;1899
21;1737;1646;1670;1683;1605;1643;1647;1673;1799;1853;1965;1900;1964;1882;1851;1867;1976;1954
22;1854;1762;1687;1692;1713;1632;1697;1724;1755;1860;1893;1995;1945;1994;1913;1919;1938;2030
23;2206;1881;1789;1716;1718;1747;1695;1745;1787;1819;1917;1935;2031;1969;2022;1996;1972;1968
24;2271;2233;1902;1802;1731;1758;1781;1770;1816;1830;1882;1961;1987;2050;2004;2098;2067;2020
