"Popolazione per età, vista per singola area - Provincia: Udine"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Udine"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;4123;4206;4318;4264;4449;4447;4476;4430;4486;4431;4199;4253;4059;3933;3595;3595;3377;3222
1;4217;4150;4253;4343;4326;4461;4497;4511;4445;4490;4440;4224;4250;4044;3928;3611;3617;3393
2;4112;4272;4195;4295;4380;4351;4524;4541;4528;4421;4507;4488;4247;4233;4058;3938;3622;3630
3;4125;4174;4325;4248;4320;4426;4422;4560;4557;4500;4416;4569;4497;4234;4237;4061;3934;3646
4;3911;4166;4196;4366;4275;4359;4490;4482;4557;4556;4497;4429;4567;4471;4221;4244;4056;3931
5;3985;3962;4213;4210;4402;4314;4428;4534;4480;4547;4563;4543;4446;4542;4467;4188;4246;4064
6;3967;4040;4018;4233;4250;4443;4375;4448;4556;4508;4567;4584;4570;4441;4553;4465;4181;4225
7;3807;4016;4083;4059;4267;4289;4519;4428;4491;4558;4501;4586;4594;4560;4421;4557;4463;4190
8;3837;3862;4067;4115;4098;4307;4315;4568;4451;4485;4575;4523;4592;4605;4539;4421;4556;4455
9;4154;3859;3917;4110;4150;4140;4370;4344;4584;4466;4482;4596;4529;4585;4596;4544;4425;4551
10;4082;4201;3911;3977;4141;4184;4217;4417;4350;4615;4484;4504;4609;4527;4562;4600;4531;4446
11;4138;4119;4229;3965;4015;4176;4255;4277;4428;4380;4640;4509;4542;4615;4526;4572;4603;4538
12;4074;4157;4158;4264;3988;4047;4236;4299;4303;4433;4390;4654;4518;4541;4619;4524;4567;4602
13;4089;4098;4193;4187;4309;4013;4084;4269;4327;4334;4452;4420;4665;4509;4556;4624;4515;4585
14;3809;4104;4145;4231;4199;4346;4069;4153;4284;4334;4364;4496;4451;4688;4508;4558;4623;4527
15;4016;3825;4150;4166;4252;4230;4407;4137;4174;4323;4371;4393;4504;4452;4696;4525;4558;4641
16;4305;4055;3868;4165;4218;4286;4296;4447;4164;4213;4333;4396;4415;4511;4452;4703;4534;4570
17;4484;4340;4072;3891;4215;4261;4324;4351;4485;4195;4242;4357;4420;4443;4513;4460;4706;4556
