"Popolazione per età, vista per singola area - Provincia: Valle d'Aosta/Vallée d'Aoste"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Valle d'Aosta/Vallée d'Aoste"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;1119;1097;1151;1166;1161;1246;1235;1272;1295;1216;1219;1177;1054;1107;977;949;899;884
1;1138;1125;1114;1151;1174;1165;1249;1256;1250;1274;1198;1211;1171;1060;1099;976;963;891
2;1111;1152;1143;1113;1166;1182;1166;1269;1254;1237;1268;1200;1210;1173;1051;1078;982;958
3;1066;1115;1167;1142;1104;1182;1183;1173;1263;1235;1232;1269;1194;1210;1145;1052;1067;969
4;985;1069;1134;1177;1150;1118;1177;1185;1161;1261;1243;1234;1273;1188;1202;1139;1044;1058
5;1078;988;1069;1138;1172;1156;1127;1195;1173;1165;1271;1253;1236;1258;1175;1204;1136;1032
6;998;1097;991;1078;1149;1171;1174;1128;1192;1165;1167;1264;1247;1231;1242;1164;1192;1122
7;991;1004;1117;999;1090;1143;1193;1187;1121;1182;1171;1168;1249;1247;1231;1252;1158;1184
8;950;1002;1010;1132;1007;1099;1154;1193;1193;1127;1188;1169;1164;1235;1238;1227;1243;1163
9;1017;970;1013;1006;1136;1019;1105;1177;1207;1188;1131;1193;1173;1167;1236;1235;1222;1229
10;1009;1027;961;1020;1021;1138;1027;1107;1182;1217;1193;1145;1199;1179;1158;1230;1218;1209
11;1036;1023;1045;980;1015;1024;1133;1046;1113;1178;1217;1197;1147;1196;1171;1157;1230;1216
12;954;1049;1024;1043;995;1017;1029;1148;1050;1124;1180;1221;1199;1150;1187;1173;1152;1239
13;1015;959;1053;1023;1059;1000;1025;1041;1165;1059;1127;1178;1226;1193;1140;1187;1170;1146
14;962;1016;970;1074;1031;1055;1009;1036;1061;1158;1063;1127;1186;1228;1186;1137;1189;1175
15;995;981;1019;970;1083;1042;1061;1032;1045;1059;1163;1065;1134;1180;1213;1180;1121;1180
16;975;1003;982;1033;975;1081;1046;1083;1043;1049;1064;1158;1074;1138;1185;1218;1174;1116
17;975;989;1013;996;1040;983;1096;1054;1087;1043;1051;1068;1165;1072;1142;1186;1216;1181
18;1033;988;989;1018;1012;1061;1008;1119;1062;1104;1040;1065;1075;1155;1069;1164;1204;1230
19;1028;1049;999;1004;1038;1042;1104;1035;1126;1081;1114;1065;1067;1092;1168;1095;1178;1213
20;982;1045;1082;1029;1005;1043;1078;1144;1079;1141;1102;1139;1089;1069;1109;1196;1119;1198
21;1179;1004;1093;1107;1073;1033;1109;1107;1166;1097;1165;1130;1165;1100;1077;1129;1211;1130
22;1138;1203;1046;1132;1160;1106;1068;1144;1129;1179;1126;1188;1150;1158;1099;1102;1153;1214
23;1438;1176;1257;1094;1192;1187;1138;1122;1170;1170;1208;1170;1209;1161;1181;1125;1126;1167
24;1375;1488;1243;1274;1145;1241;1239;1201;1164;1205;1196;1245;1206;1228;1161;1202;1139;1134
25;1519;1410;1538;1287;1341;1166;1286;1264;1240;1215;1226;1228;1285;1221;1222;1168;1225;1140
26;1694;1568;1489;1583;1353;1392;1209;1306;1312;1258;1241;1268;1274;1289;1209;1245;1161;1238
27;1710;1759;1645;1552;1621;1408;1429;1248;1341;1340;1281;1287;1291;1280;1280;1214;1246;1183
28;1824;1754;1833;1722;1621;1683;1444;1477;1249;1366;1373;1313;1310;1272;1248;1286;1222;1271
29;1896;1856;1838;1885;1759;1662;1720;1448;1479;1266;1389;1392;1344;1316;1256;1244;1294;1218
30;1986;1962;1922;1902;1934;1799;1706;1772;1456;1457;1285;1412;1398;1331;1312;1256;1244;1275
31;2002;2026;1992;1998;1971;1960;1836;1725;1768;1435;1459;1310;1425;1393;1329;1294;1245;1261
32;2099;2045;2053;2019;2006;1967;1954;1814;1689;1744;1406;1481;1326;1426;1393;1302;1280;1253
33;2018;2138;2074;2054;2029;2023;2000;1920;1792;1670;1738;1411;1490;1328;1414;1393;1315;1286
34;2035;2049;2161;2066;2068;2009;2018;1978;1913;1771;1644;1743;1427;1476;1326;1402;1399;1311
35;2131;2070;2077;2174;2057;2061;2023;1999;1979;1889;1761;1640;1740;1444;1455;1338;1392;1388
36;2113;2169;2103;2093;2190;2064;2085;2051;2011;1995;1884;1787;1637;1722;1441;1469;1334;1397
37;2236;2152;2196;2129;2115;2185;2080;2098;2062;2010;1987;1890;1784;1629;1705;1439;1457;1343
38;2045;2256;2177;2200;2147;2125;2209;2089;2103;2061;2002;1984;1899;1768;1624;1692;1432;1441
39;1897;2058;2270;2188;2212;2160;2135;2234;2105;2115;2048;2011;2005;1876;1769;1637;1693;1444
40;1924;1913;2070;2290;2205;2224;2171;2152;2251;2106;2108;2057;2018;1999;1860;1761;1633;1701
41;1776;1935;1926;2098;2292;2183;2232;2173;2157;2250;2096;2120;2051;2020;1981;1862;1772;1646
42;1827;1771;1936;1956;2126;2302;2189;2234;2182;2160;2244;2107;2143;2043;2011;1974;1862;1775
43;1689;1841;1787;1953;1964;2138;2331;2187;2226;2185;2160;2246;2098;2122;2029;2002;1954;1852
44;1679;1700;1855;1779;1968;1971;2150;2326;2187;2228;2188;2180;2256;2099;2106;2033;2003;1961
45;1646;1696;1732;1865;1789;1980;1996;2137;2334;2185;2229;2200;2181;2240;2099;2101;2027;2005
46;1669;1668;1704;1733;1863;1798;1987;1992;2136;2330;2180;2231;2211;2167;2213;2079;2108;2024
47;1685;1676;1670;1712;1740;1887;1808;1989;1982;2143;2314;2180;2239;2222;2144;2215;2069;2105
48;1655;1690;1686;1670;1733;1741;1900;1810;1990;1980;2140;2315;2183;2232;2201;2135;2219;2064
49;1557;1655;1691;1692;1677;1731;1746;1891;1805;1982;1971;2152;2319;2185;2236;2195;2128;2204
50;1636;1564;1662;1684;1700;1680;1736;1747;1896;1803;1979;1971;2158;2311;2185;2229;2187;2127
51;1694;1640;1563;1673;1690;1694;1707;1740;1747;1897;1801;1981;1954;2145;2298;2177;2223;2180
52;1697;1693;1647;1570;1670;1683;1701;1717;1735;1741;1903;1810;1977;1946;2130;2293;2158;2208
53;1798;1691;1691;1652;1564;1663;1685;1684;1715;1723;1730;1903;1809;1970;1935;2119;2297;2135
54;1676;1787;1703;1682;1652;1565;1655;1683;1679;1710;1724;1723;1909;1803;1953;1929;2103;2281
55;1614;1683;1780;1712;1675;1647;1566;1649;1681;1696;1709;1736;1721;1900;1793;1942;1929;2094
