"Popolazione per età, vista per singola area - Provincia: Varese"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Varese"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;7223;7417;7528;7980;7927;8261;8239;8421;8462;8318;8150;7922;7930;7527;7391;6910;6663;6479
1;7267;7311;7503;7638;8021;8035;8350;8301;8441;8548;8323;8251;7972;7953;7563;7368;6924;6682
2;7307;7359;7412;7602;7682;8119;8101;8454;8376;8470;8559;8378;8298;8029;7971;7597;7412;7004
3;7159;7411;7556;7496;7680;7775;8189;8126;8489;8402;8463;8654;8398;8331;8049;7922;7619;7433
4;7090;7225;7498;7689;7586;7798;7826;8264;8160;8541;8399;8495;8720;8375;8322;8022;7916;7602
5;7078;7204;7302;7582;7792;7711;7888;7894;8293;8188;8574;8471;8516;8736;8396;8313;8051;7951
6;7007;7148;7288;7421;7649;7861;7782;7940;7950;8304;8241;8618;8525;8495;8730;8388;8330;8073
7;6958;7070;7232;7419;7509;7715;7946;7849;7978;7990;8317;8267;8618;8520;8498;8749;8357;8353
8;7100;7063;7143;7323;7474;7623;7797;7993;7904;8010;8030;8366;8304;8609;8531;8493;8745;8356
9;7383;7182;7133;7236;7426;7584;7703;7866;8036;7919;8038;8053;8375;8295;8606;8516;8512;8768
10;7471;7453;7266;7263;7303;7530;7673;7760;7914;8076;7978;8084;8076;8406;8313;8595;8518;8524
11;7510;7530;7513;7372;7355;7370;7590;7756;7807;7980;8122;8019;8094;8093;8445;8326;8597;8521
12;7232;7542;7575;7607;7448;7399;7395;7679;7790;7860;8024;8181;8045;8087;8104;8446;8318;8632
13;7322;7272;7613;7645;7686;7545;7469;7468;7712;7826;7918;8082;8192;8060;8077;8080;8470;8364
14;7045;7358;7331;7669;7710;7760;7593;7553;7504;7740;7863;7961;8110;8194;8058;8069;8089;8472
15;7086;7102;7402;7402;7699;7781;7809;7665;7615;7543;7784;7909;7992;8114;8224;8059;8074;8107
16;7606;7132;7136;7504;7466;7766;7801;7872;7732;7681;7601;7824;7940;7987;8126;8212;8061;8103
17;7421;7615;7158;7227;7580;7543;7839;7867;7941;7801;7731;7644;7839;7950;7995;8138;8234;8099
18;7902;7443;7669;7246;7338;7720;7658;7950;7923;8017;7882;7800;7710;7866;8000;8043;8213;8269
19;8001;7918;7540;7806;7296;7500;7880;7800;8051;8030;8125;7986;7878;7740;7937;8105;8199;8259
20;8113;8025;8023;7674;7856;7414;7658;8025;7864;8182;8103;8243;8047;7881;7778;8035;8224;8271
21;8308;8162;8163;8235;7767;7973;7566;7870;8079;7979;8278;8208;8308;8058;7915;7850;8157;8310
22;8770;8438;8338;8360;8277;7930;8198;7771;7941;8244;8077;8398;8282;8388;8087;8006;7941;8244
23;9589;8891;8670;8540;8483;8428;8147;8431;7885;8125;8430;8238;8513;8334;8454;8194;8085;8031
24;10269;9715;9239;8938;8674;8649;8652;8400;8569;8104;8273;8547;8360;8617;8421;8509;8306;8235
25;10931;10459;10078;9547;9068;8875;8940;8863;8576;8788;8240;8446;8658;8444;8667;8468;8601;8392
26;12026;11094;10890;10446;9725;9321;9156;9188;9058;8847;8960;8450;8619;8766;8485;8761;8573;8683
27;12341;12182;11485;11259;10597;9955;9602;9364;9337;9327;9025;9186;8622;8669;8882;8632;8838;8709
28;12631;12580;12598;11858;11575;10869;10222;9878;9568;9697;9603;9211;9333;8703;8771;9017;8732;8945
29;13045;12833;12926;12978;12053;11787;11146;10556;10068;9772;9874;9792;9353;9408;8776;8838;9167;8858
30;13056;13240;13273;13358;13194;12344;12120;11532;10711;10357;9980;10070;9904;9420;9464;8848;8898;9314
31;13139;13222;13575;13560;13434;13365;12613;12382;11644;10914;10433;10174;10193;9921;9468;9521;8954;9070
32;13588;13265;13514;13822;13645;13639;13467;12748;12390;11709;10923;10575;10311;10276;9931;9485;9629;9090
33;13589;13634;13524;13718;13894;13709;13708;13566;12775;12424;11697;11045;10680;10327;10301;9987;9607;9707
34;13793;13747;13850;13767;13805;14030;13829;13832;13639;12859;12393;11851;11121;10698;10361;10307;10089;9657
35;14163;13855;13952;14015;13864;13959;14132;13982;13852;13759;12846;12491;11919;11171;10695;10312;10334;10150
36;14646;14360;14083;14233;14097;14078;14123;14277;14017;13937;13822;12975;12550;11933;11192;10701;10322;10415
37;14277;14759;14553;14261;14316;14237;14166;14254;14429;14122;14080;13879;13039;12596;11907;11174;10741;10399
38;13531;14391;14930;14663;14384;14445;14391;14277;14289;14486;14102;14183;13938;13014;12585;11898;11193;10809
39;12754;13626;14527;15072;14742;14442;14592;14499;14292;14395;14515;14192;14238;13906;13015;12602;11932;11302
40;12488;12761;13754;14709;15148;14858;14569;14734;14480;14352;14421;14546;14255;14209;13930;12994;12675;11960
41;12016;12486;12868;13805;14756;15247;14937;14635;14767;14549;14314;14497;14561;14259;14159;13947;13021;12660
42;11767;12074;12612;12976;13865;14866;15321;14986;14655;14846;14581;14404;14518;14582;14264;14105;13976;13063
43;11277;11835;12148;12689;13048;13893;14879;15372;14919;14695;14847;14640;14387;14541;14576;14228;14085;14011
44;11175;11330;11947;12181;12680;13145;13967;14955;15342;14965;14738;14903;14693;14331;14513;14528;14253;14123
45;10936;11224;11410;11998;12215;12726;13152;14066;14965;15388;14970;14803;14943;14714;14311;14532;14572;14221
46;11104;10941;11283;11449;12033;12230;12789;13181;14105;15017;15415;14991;14779;14919;14734;14297;14485;14596
47;10993;11119;11012;11364;11484;12072;12298;12825;13176;14103;14999;15472;15023;14766;14907;14737;14295;14480
48;10789;11008;11160;11083;11346;11509;12163;12343;12798;13219;14114;15012;15455;15046;14706;14922;14751;14303
49;10838;10772;11056;11177;11082;11386;11540;12233;12304;12781;13232;14129;14978;15420;15006;14698;14882;14717
50;10882;10839;10774;11075;11180;11122;11435;11561;12225;12311;12806;13221;14099;14940;15391;15013;14687;14873
51;11368;10898;10890;10823;11054;11237;11156;11413;11561;12251;12312;12839;13192;14063;14895;15331;15004;14693
52;11587;11370;10915;10904;10805;11026;11232;11156;11381;11587;12259;12344;12799;13160;13997;14836;15300;14963
53;11951;11585;11374;10906;10888;10824;11064;11216;11137;11390;11587;12250;12291;12778;13157;13966;14802;15288
54;11611;11925;11589;11367;10879;10874;10841;11083;11186;11133;11368;11565;12253;12262;12747;13140;13960;14780
55;12441;11603;11921;11587;11341;10876;10853;10814;11069;11211;11146;11353;11532;12187;12265;12713;13083;13937
56;9259;12427;11605;11889;11573;11330;10853;10835;10812;11048;11176;11137;11322;11494;12169;12211;12682;13075
57;9616;9249;12406;11590;11866;11547;11303;10833;10811;10831;11018;11151;11108;11308;11482;12129;12185;12625
58;9716;9589;9248;12352;11569;11840;11531;11255;10786;10774;10790;10990;11085;11038;11244;11447;12102;12154
59;10014;9680;9548;9205;12312;11515;11791;11495;11200;10772;10763;10748;10951;11021;10984;11206;11404;12045
60;10528;9972;9648;9530;9148;12293;11454;11754;11419;11148;10708;10737;10692;10912;10948;10922;11153;11330
61;11345;10470;9923;9604;9519;9087;12252;11413;11715;11391;11117;10635;10670;10639;10818;10895;10874;11087
62;11440;11269;10400;9884;9526;9500;9008;12182;11360;11706;11319;11036;10541;10614;10551;10742;10823;10847
63;10868;11352;11181;10371;9832;9480;9429;8956;12115;11293;11653;11251;10940;10489;10552;10481;10696;10750
