"Popolazione per età, vista per singola area - Provincia: Venezia"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Venezia"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;6764;6859;7252;7342;7194;7367;7556;7637;7457;7338;7323;7095;6653;6264;6156;6032;5832;5613
1;6843;6838;6874;7316;7364;7248;7462;7659;7666;7476;7372;7325;7106;6671;6281;6194;6078;5881
2;6847;6931;6931;6928;7335;7430;7314;7516;7683;7665;7433;7347;7353;7099;6644;6320;6207;6125
3;6827;6906;7015;7000;6971;7384;7538;7380;7553;7696;7650;7474;7354;7369;7063;6625;6307;6223
4;6600;6912;6966;7099;7058;7022;7482;7655;7411;7536;7670;7676;7493;7378;7356;7092;6625;6330
5;6457;6688;6977;7054;7177;7106;7120;7583;7666;7422;7539;7691;7702;7505;7367;7371;7099;6673
6;6301;6535;6783;7060;7120;7242;7206;7225;7623;7673;7492;7577;7695;7711;7512;7354;7391;7136
7;6216;6361;6579;6839;7150;7156;7357;7339;7326;7657;7679;7514;7574;7724;7738;7507;7392;7417
8;6371;6284;6421;6669;6944;7195;7233;7445;7392;7358;7678;7714;7507;7586;7701;7732;7524;7407
9;6536;6441;6354;6480;6735;7005;7305;7334;7535;7460;7401;7686;7733;7538;7609;7705;7768;7550
10;6540;6581;6486;6452;6557;6764;7107;7406;7389;7611;7501;7416;7703;7777;7529;7611;7755;7818
11;6718;6589;6659;6558;6519;6625;6833;7199;7480;7435;7661;7521;7444;7734;7783;7531;7627;7773
12;6303;6746;6639;6756;6641;6578;6733;6929;7278;7540;7493;7683;7526;7460;7740;7782;7539;7652
13;6480;6319;6774;6723;6831;6710;6660;6836;6994;7372;7590;7506;7697;7546;7477;7742;7807;7571
14;6171;6505;6355;6850;6786;6895;6789;6754;6940;7066;7422;7637;7521;7751;7549;7450;7777;7846
15;6375;6198;6518;6438;6919;6840;6971;6892;6848;7007;7128;7451;7648;7553;7757;7541;7448;7798
16;6768;6388;6238;6593;6502;6980;6930;7096;6981;6911;7076;7132;7481;7674;7567;7748;7556;7491
17;6564;6789;6428;6344;6677;6576;7035;7042;7218;7074;6983;7111;7158;7515;7683;7587;7767;7600
18;6876;6584;6821;6493;6450;6784;6700;7194;7195;7309;7162;7040;7155;7191;7541;7769;7647;7857
19;7163;6902;6626;6878;6546;6547;6939;6951;7324;7290;7423;7251;7097;7182;7252;7623;7878;7766
20;7450;7172;7002;6700;6944;6652;6710;7167;7084;7453;7373;7535;7288;7162;7202;7338;7783;7994
21;7595;7475;7278;7086;6794;7064;6882;6955;7287;7205;7597;7471;7579;7327;7217;7304;7490;7927
22;8260;7683;7626;7458;7198;6903;7362;7158;7151;7457;7317;7727;7516;7629;7339;7320;7451;7652
23;9268;8326;7881;7814;7576;7355;7200;7676;7320;7349;7566;7463;7833;7636;7677;7440;7445;7627
24;9857;9368;8654;8074;7935;7731;7681;7590;7861;7541;7472;7730;7575;7920;7729;7792;7549;7618
25;10837;9952;9686;8910;8218;8097;8007;8012;7754;8023;7713;7570;7882;7665;8001;7842;7869;7702
26;11494;10928;10226;9934;9067;8420;8384;8296;8187;7938;8130;7803;7705;7989;7748;8135;7944;7955
27;12570;11563;11217;10425;10057;9263;8728;8647;8520;8373;8067;8192;7863;7798;8005;7845;8193;8068
