"Popolazione per età, vista per singola area - Provincia: Verbano-Cusio-Ossola"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Verbano-Cusio-Ossola"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;1259;1203;1324;1327;1240;1314;1220;1270;1308;1243;1205;1184;1106;1101;1023;944;925;864
1;1276;1268;1209;1329;1326;1250;1317;1235;1278;1315;1231;1206;1182;1111;1103;1032;955;918
2;1210;1299;1279;1221;1340;1327;1256;1319;1231;1279;1316;1225;1210;1167;1108;1103;1041;961
3;1289;1220;1315;1294;1218;1341;1331;1280;1326;1238;1276;1321;1251;1213;1171;1105;1110;1058
4;1281;1300;1223;1322;1314;1223;1342;1327;1295;1328;1237;1276;1317;1248;1214;1176;1111;1116
5;1247;1290;1302;1236;1336;1334;1223;1338;1339;1304;1329;1230;1277;1311;1249;1214;1183;1117
6;1236;1258;1287;1313;1242;1349;1359;1234;1361;1342;1308;1332;1242;1288;1317;1244;1224;1185
7;1263;1242;1268;1304;1333;1248;1360;1373;1233;1372;1342;1307;1344;1238;1303;1308;1255;1234
8;1288;1274;1244;1283;1307;1342;1259;1367;1385;1244;1378;1343;1315;1351;1232;1308;1311;1256
9;1205;1297;1282;1264;1299;1315;1343;1279;1382;1390;1244;1381;1350;1314;1358;1246;1308;1311
10;1304;1224;1297;1295;1274;1311;1324;1356;1287;1386;1391;1252;1375;1349;1317;1356;1259;1300
11;1302;1310;1231;1303;1304;1285;1319;1330;1372;1287;1391;1396;1243;1383;1355;1333;1347;1257
12;1223;1307;1318;1239;1318;1300;1304;1330;1341;1374;1292;1395;1386;1240;1386;1360;1322;1344
13;1279;1224;1305;1328;1240;1310;1311;1308;1349;1352;1378;1290;1392;1383;1253;1387;1366;1323
14;1207;1279;1220;1312;1340;1245;1310;1327;1326;1356;1356;1380;1287;1396;1384;1258;1388;1363
15;1242;1208;1283;1229;1319;1336;1256;1320;1348;1326;1360;1357;1385;1294;1386;1394;1255;1396
16;1289;1253;1216;1282;1235;1328;1348;1264;1353;1345;1331;1370;1344;1389;1299;1399;1395;1261
17;1316;1301;1258;1220;1294;1242;1345;1364;1276;1373;1357;1340;1374;1337;1393;1306;1417;1400
18;1359;1321;1309;1274;1242;1304;1276;1369;1374;1291;1388;1362;1344;1383;1348;1449;1341;1429
19;1402;1358;1327;1323;1281;1256;1323;1286;1390;1381;1313;1385;1375;1349;1399;1362;1483;1351
20;1440;1408;1375;1326;1327;1282;1278;1339;1291;1394;1383;1314;1380;1376;1363;1441;1382;1489
21;1485;1430;1429;1388;1344;1328;1306;1300;1360;1299;1402;1403;1314;1384;1382;1399;1446;1415
22;1590;1508;1456;1452;1407;1362;1351;1339;1317;1370;1313;1415;1422;1320;1411;1409;1411;1432
