"Popolazione per età, vista per singola area - Provincia: Verona"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Verona"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;8052;8225;8043;9091;8832;8990;9178;9455;9228;9149;8794;8594;8167;8174;7959;7762;7529;7291
1;8101;8122;8258;8156;9080;8907;9105;9224;9454;9181;9129;8811;8578;8165;8161;7976;7817;7592
2;8165;8192;8168;8306;8282;9083;8998;9178;9153;9397;9122;9177;8826;8534;8169;8147;7996;7872
3;7909;8226;8272;8238;8381;8342;9191;9092;9168;9134;9345;9124;9191;8799;8522;8138;8168;8043
4;7785;7965;8295;8340;8359;8421;8476;9241;9112;9136;9083;9385;9176;9167;8756;8490;8125;8216
5;7706;7871;8019;8339;8423;8399;8543;8595;9182;9086;9127;9130;9397;9164;9144;8704;8479;8182
6;7734;7802;7944;8121;8455;8512;8530;8628;8615;9087;9063;9148;9156;9333;9161;9099;8710;8538
7;7500;7808;7844;8020;8227;8537;8645;8635;8649;8630;9067;9099;9155;9132;9307;9108;9081;8737
8;7492;7582;7869;7897;8130;8309;8677;8729;8649;8643;8620;9100;9101;9120;9126;9273;9117;9103
9;7669;7554;7647;7934;8004;8200;8448;8780;8793;8648;8653;8659;9101;9064;9107;9087;9238;9129
10;7660;7721;7623;7731;8011;8082;8317;8549;8807;8803;8665;8692;8674;9069;9026;9071;9080;9261
11;7707;7707;7739;7673;7874;8095;8202;8438;8592;8841;8827;8678;8705;8670;9029;8987;9054;9122
12;7476;7783;7765;7806;7810;7966;8238;8316;8502;8627;8846;8859;8690;8714;8649;9020;9003;9081
13;7588;7519;7823;7823;7901;7876;8109;8357;8345;8521;8641;8909;8883;8704;8704;8632;9002;9045
14;7090;7635;7559;7856;7877;7939;8016;8235;8424;8399;8572;8674;8907;8885;8698;8711;8654;9040
15;7380;7144;7671;7600;7941;7929;8070;8136;8288;8498;8428;8612;8692;8925;8868;8647;8721;8688
16;7785;7419;7201;7704;7715;8017;8023;8206;8227;8344;8538;8467;8626;8702;8910;8854;8647;8773
17;7639;7828;7414;7258;7810;7834;8142;8131;8311;8281;8389;8564;8467;8647;8716;8911;8868;8699
18;7915;7692;7857;7476;7435;7943;7993;8336;8257;8387;8352;8457;8580;8504;8642;8739;8966;8931
19;8249;7970;7808;7914;7566;7635;8256;8250;8492;8358;8488;8444;8516;8636;8543;8672;8832;9088
20;8717;8319;8083;7921;8032;7724;8015;8576;8424;8600;8483;8628;8507;8568;8678;8628;8828;9021
21;8638;8800;8471;8200;8031;8221;8148;8360;8749;8554;8722;8645;8698;8565;8575;8730;8762;9011
22;9287;8731;9096;8681;8362;8248;8727;8513;8560;8954;8742;8858;8746;8783;8612;8639;8823;8961
23;9707;9406;9116;9342;8890;8613;8799;9157;8704;8805;9169;8964;9001;8862;8879;8696;8776;9016
24;10425;9917;9860;9443;9558;9157;9173;9242;9369;8894;8994;9429;9145;9128;8958;9000;8850;9028
25;11012;10659;10419;10195;9704;9845;9695;9617;9451;9657;9066;9231;9575;9257;9219;9084;9181;9095
26;11892;11252;11163;10760;10545;10004;10448;10122;9838;9692;9876;9304;9413;9688;9359;9376;9213;9447
27;12841;12160;11846;11541;11022;10876;10656;10804;10260;10032;9894;10139;9482;9509;9816;9516;9580;9522
28;12955;13159;12734;12354;11872;11397;11518;11064;10958;10441;10203;10149;10276;9645;9596;9963;9683;9861
29;13423;13214;13705;13178;12644;12182;12049;11841;11213;11074;10625;10408;10296;10375;9805;9696;10145;9954
30;13682;13702;13719;14120;13518;12905;12737;12410;11928;11357;11223;10828;10519;10315;10479;9895;9833;10338
31;13735;13880;14102;14011;14404;13706;13368;12967;12448;11970;11369;11393;10963;10615;10378;10540;9985;10063
32;14242;13961;14232;14339;14164;14601;14147;13586;12969;12519;11993;11524;11472;11052;10651;10476;10632;10132
33;13976;14464;14307;14418;14509;14273;15045;14314;13526;12932;12510;12096;11631;11485;11060;10694;10535;10766
34;14129;14144;14728;14453;14604;14658;14570;15184;14312;13535;12925;12647;12161;11679;11536;11072;10807;10654
35;14652;14306;14424;14876;14632;14720;14930;14698;15173;14271;13547;13012;12720;12162;11661;11559;11109;10905
36;14791;14810;14572;14634;15106;14752;15076;15080;14696;15147;14310;13611;13034;12684;12194;11709;11578;11278
37;14796;14922;15014;14777;14714;15252;15039;15232;15090;14717;15126;14376;13681;13008;12695;12169;11737;11653
