"Popolazione per età, vista per singola area - Provincia: Vibo Valentia"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Vibo Valentia"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;1739;1601;1664;1606;1637;1587;1573;1558;1466;1515;1370;1432;1292;1363;1290;1246;1227;1184
1;1730;1730;1589;1661;1630;1631;1582;1576;1553;1461;1501;1348;1409;1277;1358;1270;1223;1217
2;1747;1720;1732;1590;1662;1602;1622;1568;1578;1542;1436;1484;1345;1414;1263;1336;1262;1216
3;1755;1728;1680;1719;1593;1653;1591;1618;1567;1574;1537;1430;1471;1336;1397;1260;1333;1255
4;1812;1749;1718;1676;1727;1593;1666;1588;1624;1567;1560;1525;1439;1467;1325;1381;1257;1314
5;1820;1821;1743;1700;1673;1720;1592;1674;1593;1625;1556;1557;1540;1443;1472;1322;1379;1243
6;1924;1793;1819;1747;1699;1670;1727;1593;1668;1610;1615;1527;1561;1540;1426;1453;1321;1376
7;1938;1912;1779;1822;1758;1690;1667;1730;1605;1673;1619;1616;1533;1561;1540;1424;1443;1317
8;2033;1920;1892;1761;1819;1751;1688;1665;1736;1601;1679;1596;1619;1540;1552;1531;1426;1452
9;2104;2033;1922;1880;1781;1820;1757;1660;1667;1745;1603;1685;1586;1601;1534;1544;1524;1418
10;2113;2084;2033;1897;1888;1779;1816;1767;1661;1666;1753;1596;1678;1591;1597;1529;1542;1517
11;2252;2097;2089;2025;1894;1881;1783;1811;1770;1662;1662;1748;1597;1682;1587;1593;1522;1539
12;2277;2232;2087;2094;2032;1891;1875;1789;1810;1774;1662;1680;1744;1605;1669;1587;1591;1520
13;2321;2276;2233;2062;2113;2042;1899;1861;1803;1820;1779;1654;1709;1728;1598;1652;1589;1584
14;2222;2314;2260;2228;2060;2106;2043;1885;1866;1802;1818;1766;1661;1714;1727;1581;1638;1590
15;2362;2217;2325;2248;2232;2043;2097;2044;1907;1870;1810;1820;1759;1661;1721;1721;1580;1633
16;2370;2355;2198;2316;2248;2231;2025;2089;2044;1913;1873;1803;1823;1763;1648;1726;1733;1579
17;2468;2352;2343;2195;2316;2241;2228;2015;2102;2044;1912;1868;1798;1833;1770;1653;1773;1741
18;2369;2463;2333;2320;2201;2304;2257;2222;2002;2117;2042;1914;1865;1795;1837;1802;1745;1809
19;2503;2341;2446;2318;2297;2184;2307;2236;2197;1994;2130;2031;1913;1864;1798;1818;1833;1746
20;2514;2475;2329;2392;2276;2275;2185;2279;2224;2186;1996;2115;2030;1894;1868;1788;1811;1822
21;2448;2461;2458;2293;2371;2248;2258;2176;2260;2210;2171;1992;2119;2028;1914;1865;1770;1813
22;2514;2405;2434;2428;2279;2338;2261;2232;2177;2251;2196;2143;1989;2106;2028;1915;1866;1773
23;2452;2470;2390;2382;2403;2231;2339;2235;2217;2172;2235;2179;2115;1975;2086;2006;1886;1864
24;2436;2416;2436;2345;2332;2341;2249;2315;2200;2217;2160;2208;2160;2095;1967;2077;1968;1862
25;2579;2394;2409;2382;2307;2299;2325;2211;2275;2178;2201;2134;2210;2140;2085;1941;2060;1938
26;2605;2553;2397;2362;2343;2256;2286;2285;2172;2237;2159;2170;2097;2164;2136;2050;1943;2033
27;2510;2573;2560;2341;2322;2316;2212;2234;2248;2139;2208;2117;2143;2075;2153;2064;2024;1908
28;2628;2518;2606;2529;2330;2263;2317;2163;2185;2210;2108;2148;2093;2139;2063;2112;2028;1985
29;2516;2584;2537;2534;2528;2285;2238;2277;2126;2141;2174;2046;2119;2036;2114;2024;2079;1984
30;2590;2494;2590;2497;2512;2485;2298;2223;2243;2076;2127;2114;2007;2059;2035;2039;1979;2047
31;2440;2538;2503;2519;2431;2461;2460;2259;2192;2218;2051;2081;2071;1945;2038;1989;2008;1932
32;2534;2381;2514;2404;2443;2349;2432;2412;2198;2119;2150;2007;2042;2040;1942;1964;1960;1975
33;2448;2500;2342;2427;2346;2390;2344;2357;2357;2136;2071;2117;1967;1988;2017;1905;1940;1919
34;2393;2406;2480;2276;2361;2297;2372;2296;2318;2338;2098;2053;2075;1949;1955;1995;1871;1920
35;2569;2344;2396;2431;2241;2287;2297;2339;2305;2292;2306;2076;2023;2056;1938;1923;1975;1851
36;2445;2547;2341;2368;2435;2222;2304;2311;2325;2307;2275;2286;2075;1994;2032;1903;1904;1950
37;2613;2411;2564;2326;2354;2406;2238;2305;2290;2324;2280;2245;2257;2061;1970;1998;1885;1871
38;2473;2607;2408;2534;2311;2337;2442;2230;2299;2300;2319;2263;2215;2222;2044;1974;1991;1867
39;2505;2450;2612;2385;2536;2309;2366;2446;2236;2296;2289;2294;2246;2208;2208;2034;1961;1968
