"Popolazione per età, vista per singola area - Provincia: Vicenza"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Provincia: Vicenza"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;8256;8567;8421;9154;8935;8927;8922;9048;8779;8582;8202;8152;7634;7523;7083;6725;6521;6351
1;8337;8349;8649;8552;9135;8980;8938;8956;9004;8768;8542;8203;8123;7624;7516;7111;6739;6587
2;8179;8475;8449;8741;8650;9158;9024;9007;8980;8946;8767;8518;8206;8037;7588;7464;7110;6759
3;8057;8246;8543;8541;8806;8689;9158;9052;8982;8933;8929;8768;8497;8168;7968;7550;7455;7108
4;8132;8141;8307;8656;8614;8831;8712;9170;9026;8964;8869;8966;8743;8441;8131;7912;7497;7450
5;7952;8246;8232;8414;8706;8658;8862;8762;9162;9014;8885;8888;8945;8692;8380;8056;7867;7494
6;7698;8035;8349;8355;8506;8765;8696;8882;8733;9117;8973;8899;8819;8906;8654;8279;8006;7875
7;7555;7795;8124;8471;8476;8533;8818;8768;8881;8739;9090;8968;8877;8792;8825;8558;8239;7978
8;7871;7664;7878;8222;8557;8540;8614;8889;8780;8863;8732;9082;8934;8841;8741;8757;8505;8228
9;8001;7978;7772;7962;8334;8615;8591;8694;8871;8739;8848;8748;9087;8895;8749;8653;8690;8508
10;7753;8058;8049;7909;8037;8377;8672;8665;8718;8892;8734;8853;8730;9056;8829;8679;8600;8665
11;7779;7861;8154;8169;8013;8096;8446;8769;8728;8714;8893;8746;8812;8671;9004;8784;8634;8576
12;7719;7854;7930;8240;8279;8082;8165;8533;8825;8734;8723;8917;8721;8783;8598;8942;8739;8608
13;7615;7821;7919;8034;8337;8342;8158;8282;8569;8889;8741;8721;8895;8705;8740;8533;8913;8722
14;7045;7702;7869;8004;8109;8434;8400;8269;8312;8580;8917;8768;8717;8887;8684;8721;8516;8920
15;7250;7106;7776;7958;8111;8171;8500;8513;8331;8331;8628;8938;8757;8698;8865;8651;8714;8534
16;7596;7330;7173;7898;8119;8192;8205;8603;8571;8379;8391;8668;8929;8736;8662;8824;8636;8721
17;7616;7686;7414;7323;8015;8213;8275;8306;8699;8613;8426;8407;8692;8911;8726;8632;8829;8632
18;7637;7732;7790;7570;7510;8147;8319;8453;8431;8801;8683;8506;8431;8685;8930;8737;8683;8875
19;7922;7704;7840;7910;7677;7611;8254;8479;8541;8489;8869;8745;8521;8460;8704;8980;8796;8752
20;8280;8017;7861;8017;8042;7774;7789;8434;8566;8615;8526;8938;8754;8531;8498;8726;9033;8894
21;8540;8442;8278;8078;8151;8149;7995;8006;8540;8678;8675;8596;8952;8752;8552;8552;8782;9143
22;8791;8671;8686;8580;8211;8258;8332;8221;8121;8649;8788;8754;8635;8996;8792;8571;8628;8864
23;9655;9019;9014;8988;8770;8359;8498;8613;8379;8211;8748;8845;8846;8659;8966;8858;8621;8711
24;10310;9946;9429;9360;9149;8872;8587;8797;8706;8500;8339;8844;8938;8858;8674;8992;8873;8684
25;10763;10594;10364;9861;9523;9239;9145;8849;8938;8841;8598;8445;8902;8953;8898;8726;9007;8919
26;11627;11042;11066;10789;10026;9677;9477;9430;8932;9035;8878;8702;8481;8938;8934;8960;8722;9072
27;12778;11946;11577;11504;10978;10128;9869;9775;9497;9029;9105;8922;8766;8476;8939;8967;8958;8769
28;12820;13087;12449;12037;11701;11065;10381;10194;9792;9622;9118;9133;9006;8760;8511;8948;8943;9020
29;13197;13062;13521;12907;12202;11837;11304;10646;10238;9837;9577;9153;9186;9008;8707;8470;9003;9037
30;13674;13503;13560;13966;13105;12308;12061;11601;10711;10280;9878;9670;9197;9147;9034;8704;8533;9079
31;13682;13942;13939;13882;14057;13130;12514;12271;11604;10671;10251;9941;9699;9146;9087;9003;8772;8628
32;14173;13834;14281;14210;13947;13995;13171;12667;12245;11586;10591;10298;10007;9698;9170;9096;9013;8789
33;14067;14403;14195;14580;14244;13912;14023;13253;12584;12231;11558;10637;10295;10004;9713;9167;9075;9064
34;14188;14281;14739;14453;14590;14188;14013;14146;13231;12508;12111;11561;10695;10264;10023;9700;9209;9160
35;14754;14366;14573;14957;14474;14532;14242;14125;14145;13224;12409;12180;11578;10686;10208;9983;9710;9272
36;14695;14982;14677;14847;15047;14491;14624;14368;14148;14170;13111;12447;12177;11573;10640;10178;9991;9752
37;14513;14847;15218;14876;14900;15068;14632;14749;14399;14131;14147;13154;12442;12161;11542;10593;10174;10036
38;13727;14637;15015;15379;14929;14899;15154;14724;14689;14411;14039;14159;13138;12429;12088;11480;10605;10156
