"Popolazione per età, vista per singola area - Regioni"

"Ricostruzione della popolazione intercensuaria - Popolazione al 1° gennaio per età"
"Tutte le cittadinanze - Regione: Piemonte"
Età/Anno;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
Età;Totale
0;34254;35583;36292;37123;37156;37713;38541;39218;38965;38090;37363;37149;35618;34448;32789;31621;30680;28493
1;35214;34516;35789;36696;37156;37408;38168;38942;39361;39114;38035;37458;37202;35531;34410;32815;31895;30717
2;34390;35565;34874;35921;36885;37283;37810;38397;39058;39354;39168;38218;37407;37043;35448;34408;32793;32016
3;34003;34666;35962;35199;36222;37074;37670;38166;38519;39140;39401;39359;38251;37239;36900;35336;34333;32836
4;33574;34289;34957;36225;35597;36339;37461;37879;38301;38625;39284;39571;39373;38109;37108;36707;35154;34189
5;33331;33912;34594;35290;36644;35824;36865;37790;38020;38329;38746;39404;39592;39218;38018;36970;36574;35111
6;33149;33639;34249;34997;35644;36927;36480;37120;38002;38073;38461;38885;39489;39478;39095;37855;36821;36465
7;33021;33448;33922;34631;35456;35922;37635;36916;37281;38143;38204;38552;38883;39294;39372;38990;37682;36783
8;33397;33359;33722;34174;35103;35791;36526;38025;37172;37380;38315;38315;38548;38777;39199;39257;38798;37602
9;34134;33685;33617;34039;34610;35492;36459;36938;38366;37431;37537;38447;38345;38421;38655;39126;39068;38698
10;34615;34460;33962;33988;34476;34925;36138;36940;37219;38626;37636;37707;38434;38235;38361;38566;38957;39000
11;34869;34856;34688;34340;34470;34776;35525;36576;37300;37481;38861;37802;37731;38349;38179;38233;38409;38935
12;33708;35063;35027;35041;34753;34843;35386;35977;36920;37597;37687;38985;37796;37663;38329;38131;38139;38333
13;34246;33878;35261;35350;35490;35057;35500;35827;36317;37230;37791;37841;39019;37760;37671;38283;38069;38093
14;32568;34382;34011;35470;35721;35851;35573;35991;36164;36552;37449;37870;37791;38946;37742;37647;38192;38064
15;33722;32736;34547;34213;35870;36024;36475;36071;36428;36459;36775;37548;37883;37749;38904;37684;37597;38192
16;35023;33869;32924;34781;34632;36229;36596;36949;36455;36731;36674;36926;37533;37906;37763;38896;37662;37646
17;35038;35192;34043;33314;35265;34995;36760;37077;37345;36797;36975;36986;36969;37571;37988;37833;39004;37717
18;36562;35285;35505;34661;34010;35720;35775;37417;37569;37775;37152;37268;37084;37121;37743;38448;38476;39243
19;38561;36721;35779;36007;35215;34484;36731;36682;38074;38056;38240;37580;37472;37259;37395;38432;39537;38863
20;38970;38739;37451;36175;36237;35408;35901;37904;37414;38621;38596;38755;37812;37641;37458;38074;39132;39844
21;40305;39234;39809;37882;36582;36468;37141;37131;38771;38160;39204;39181;39124;37998;37880;38174;38802;39665
22;42013;40630;40617;40560;38349;37082;38550;38407;38001;39497;38907;39995;39621;39320;38341;38484;38659;39100
23;45806;42426;42255;41403;40990;38837;39330;39949;39321;38906;40285;39754;40530;39897;39665;38999;39042;39107
24;49029;46346;44380;43170;41906;41648;40927;40765;40880;40101;39666;41176;40387;40793;40291;40356;39599;39491
25;52312;49749;48536;45567;43730;42491;43912;42371;41755;41658;40925;40645;41776;40701;41232;40892;40899;39995
26;57083;52965;52069;49705;46246;44359;44743;45301;43343;42580;42548;41955;41258;42029;41168;42132;41399;41330
27;59959;57675;55350;53386;50391;46825;46643;46196;46138;44136;43222;43592;42572;41531;42587;41793;42648;41827
28;61107;60686;60367;56971;54302;51111;49256;48173;46900;46831;44934;44214;44197;42796;41953;43142;42205;43037
29;63211;61837;63119;61649;57745;54918;53294;50438;48678;47441;47383;45839;44684;44364;43208;42350;43514;42507
30;64975;64002;64235;64594;62468;58562;57121;54698;50946;49186;47996;48276;46355;44874;44701;43558;42581;43847
31;64360;65583;66081;65282;65255;62821;60482;58192;55136;51300;49560;48721;48670;46433;45046;44886;43662;42894
32;67286;64670;67110;66644;65440;65352;64168;61039;58095;55143;51337;50231;49114;48556;46697;45234;44869;43748
33;66247;67724;66217;67822;66722;65589;66562;64661;60882;58074;55089;51985;50477;48989;48612;46851;45317;45017
34;66408;66734;68980;66702;67866;66743;66428;67089;64619;60989;58011;55582;52247;50334;48946;48787;46747;45270
35;69147;66863;68157;69614;67050;68088;67927;66998;67248;64738;61064;58606;55750;52054;50389;48965;48691;46767
36;69039;69883;68532;69073;70143;67518;69545;68892;67376;67615;64946;61499;58793;55603;51995;50504;48820;48719
